#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0450711   0.0450711           0
           2   0.0494773   0.0472742  0.00155781
           3   0.0454487   0.0466657  0.00115127
           4   0.0490386   0.0472589  0.00100473
           5   0.0441507   0.0466373  0.00097736
           6   0.0524647   0.0476085  0.00120393
           7   0.0439666   0.0470882  0.00113882
           8   0.0478536   0.0471839  0.00100048
           9   0.0468932   0.0471516 0.000889837
          10   0.0479633   0.0472328 0.000804546
          11   0.0435509   0.0468981 0.000798001
          12   0.0489746   0.0470711 0.000750029
          13   0.0571112   0.0478434  0.00101485
          14   0.0446403   0.0476146 0.000967805
          15   0.0508023   0.0478271 0.000926323
          16   0.0490507   0.0479036 0.000871578
          17   0.0475833   0.0478848 0.000820513
          18   0.0503706   0.0480229 0.000786464
          19   0.0478326   0.0480129 0.000745135
          20   0.0453527   0.0478799 0.000719652
