#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.18271     1.18271           0
           2     1.20451     1.19361  0.00770762
           3     1.20261     1.19661  0.00569229
           4     1.18115     1.19275  0.00542455
           5     1.16658     1.18751  0.00638333
           6     1.17839     1.18599  0.00549768
           7      1.1626     1.18265  0.00563714
           8     1.18268     1.18265   0.0049325
           9     1.19132     1.18362  0.00447734
          10      1.2033     1.18558  0.00444123
          11     1.17349     1.18448  0.00417141
          12     1.17894     1.18402  0.00384935
          13     1.16587     1.18263  0.00379794
          14     1.15976     1.18099  0.00386207
          15     1.16553     1.17996  0.00373958
          16     1.15806     1.17859   0.0037481
          17      1.1873     1.17911  0.00356246
          18     1.20518     1.18055  0.00364713
          19     1.18042     1.18055  0.00345518
          20     1.14905     1.17897  0.00362351
