#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      2.9685      2.9685           0
           2     2.96583     2.96716 0.000945653
           3     2.95765     2.96399  0.00266558
           4     2.94343     2.95885  0.00488063
           5     2.92217     2.95151  0.00763561
           6     2.89236     2.94165    0.011022
           7     2.85199     2.92885   0.0151621
           8     2.79861     2.91257   0.0201968
           9     2.72959     2.89224    0.026262
          10     2.64267     2.86728   0.0334541
          11     2.53675     2.83723   0.0417824
          12     2.41304     2.80188   0.0511115
          13     2.27585     2.76142   0.0611337
          14     2.13213     2.71647   0.0714046
          15     1.98988     2.66803   0.0814334
          16     1.85666     2.61732   0.0907701
          17     1.73911     2.56566   0.0990461
          18     1.64319     2.51441    0.105976
          19     1.57396     2.46491    0.111359
          20     1.53411     2.41837    0.115106
          21     1.52201     2.37569    0.117272
          22     1.53089     2.33729    0.118061
          23     1.55101      2.3031    0.117774
          24     1.57339      2.2727    0.116725
          25      1.5925     2.24549    0.115183
          26     1.60656     2.22092    0.113344
          27     1.61638     2.19853    0.111336
          28     1.62372       2.178    0.109236
          29     1.63003      2.1591    0.107091
          30     1.63572     2.14166    0.104933
          31     1.64051     2.12549    0.102785
          32     1.64421     2.11045    0.100668
          33     1.64749     2.09642     0.09859
          34     1.65172     2.08334   0.0965539
          35     1.65764     2.07118   0.0945582
          36     1.66406     2.05987   0.0926054
          37     1.66825     2.04929   0.0907054
          38     1.66772     2.03924   0.0888724
          39     1.66191     2.02957   0.0871187
          40     1.65235     2.02014   0.0854497
          41      1.6417     2.01091   0.0838626
          42     1.63255      2.0019   0.0823483
          43     1.62682     1.99318   0.0808939
          44     1.62589     1.98483   0.0794849
          45     1.63112     1.97697   0.0781062
          46      1.6438     1.96973   0.0767434
          47     1.66401     1.96322   0.0753857
          48     1.68963     1.95752   0.0740303
          49      1.7165      1.9526   0.0726827
          50      1.7402     1.94836   0.0713531
          51     1.75792     1.94462   0.0700517
          52     1.76894     1.94124   0.0687859
          53     1.77419     1.93809   0.0675602
          54     1.77523     1.93507   0.0663764
          55     1.77357     1.93214   0.0652345
          56      1.7703     1.92925   0.0641336
          57     1.76595     1.92638   0.0630724
          58     1.76047     1.92352   0.0620498
          59     1.75338     1.92064    0.061065
          60     1.74399      1.9177   0.0601182
          61     1.73177     1.91465   0.0592099
          62     1.71676     1.91146   0.0583408
          63     1.69973     1.90809   0.0575115
          64     1.68176     1.90456   0.0567215
          65     1.66362     1.90085   0.0559699
          66     1.64536     1.89698   0.0552556
          67     1.62669     1.89295   0.0545779
          68      1.6078     1.88875   0.0539361
          69     1.59005     1.88442   0.0533279
          70     1.57581     1.88002    0.052748
          71      1.5675     1.87561   0.0521884
          72     1.56665     1.87132   0.0516397
          73     1.57334     1.86724   0.0510934
          74     1.58634     1.86344   0.0505437
          75     1.60342     1.85998   0.0499886
          76     1.62206     1.85685   0.0494287
          77        1.64     1.85403    0.048867
          78     1.65563     1.85149   0.0483066
          79     1.66788     1.84916    0.047751
          80      1.6758       1.847   0.0472033
          81     1.67823     1.84491   0.0466665
          82     1.67424     1.84283   0.0461438
          83      1.6641     1.84068    0.045638
          84     1.65045     1.83841   0.0451509
          85     1.63783     1.83605   0.0446813
