#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36208    -6.36208           0
           2    -6.35395    -6.35801  0.00287504
           3    -6.33936    -6.35179  0.00542717
           4    -6.31627    -6.34291  0.00870181
           5    -6.28391    -6.33111   0.0126436
           6    -6.23997    -6.31592   0.0174157
           7    -6.18367    -6.29703    0.022995
           8    -6.11159    -6.27385   0.0295802
           9    -6.02213    -6.24588   0.0372379
          10    -5.91654    -6.21295   0.0458187
          11    -5.79191    -6.17467   0.0553791
          12    -5.65528    -6.13139   0.0655306
          13    -5.51172    -6.08372   0.0758708
          14    -5.36966    -6.03272   0.0859012
          15    -5.23579    -5.97959   0.0951967
          16    -5.11957    -5.92584    0.103313
          17    -5.02336    -5.87275    0.110033
          18      -4.955    -5.82176    0.115128
          19    -4.91663    -5.77413    0.118516
          20    -4.90453    -5.73065    0.120302
          21    -4.91496     -5.6918    0.120681
          22     -4.9358    -5.65744    0.119988
          23    -4.95971     -5.6271    0.118544
          24    -4.97917    -5.60011    0.116639
          25    -4.99328    -5.57583    0.114471
          26    -5.00294     -5.5538    0.112169
          27    -5.01047    -5.53368    0.109805
          28    -5.01615    -5.51519    0.107427
          29    -5.02233     -5.4982    0.105059
          30     -5.0267    -5.48248    0.102726
          31    -5.03067    -5.46791     0.10044
          32    -5.03371    -5.45434   0.0982139
          33     -5.0391    -5.44175   0.0960404
          34    -5.04631    -5.43012   0.0939173
          35    -5.05217    -5.41933   0.0918527
          36    -5.05654    -5.40925   0.0898523
          37    -5.05514    -5.39968   0.0879321
          38    -5.04845    -5.39043   0.0861025
          39    -5.03748    -5.38138   0.0843691
          40    -5.02636    -5.37251   0.0827254
          41    -5.01694    -5.36384    0.081161
          42    -5.01053    -5.35542   0.0796633
          43    -5.00983    -5.34739   0.0782151
          44    -5.01375     -5.3398   0.0768041
          45    -5.02637    -5.33284   0.0754125
          46    -5.04655    -5.32662   0.0740295
          47    -5.07304    -5.32122   0.0726507
          48    -5.10032    -5.31662   0.0712828
          49    -5.12539    -5.31272   0.0699348
          50    -5.14264    -5.30931   0.0686188
          51    -5.15387    -5.30627    0.067341
          52    -5.15943    -5.30344   0.0661051
          53    -5.15899    -5.30072    0.064914
          54    -5.15816    -5.29808   0.0637656
          55    -5.15409    -5.29546   0.0626599
          56     -5.1493    -5.29285   0.0615953
          57    -5.14401    -5.29024     0.06057
          58    -5.13638    -5.28759   0.0595838
          59     -5.1269    -5.28486   0.0586361
          60    -5.11424    -5.28202   0.0577277
          61    -5.09828    -5.27901   0.0568599
          62    -5.08118    -5.27582   0.0560323
          63    -5.06273    -5.27243   0.0552448
          64    -5.04462    -5.26887   0.0544962
          65    -5.02565    -5.26513   0.0537861
          66    -5.00774    -5.26123   0.0531124
          67    -4.98878    -5.25717   0.0524751
          68    -4.96907    -5.25293   0.0518741
          69    -4.95511    -5.24861   0.0513016
          70    -4.94594    -5.24429   0.0507506
          71    -4.94538    -5.24008   0.0502101
          72    -4.95215    -5.23608   0.0496718
          73    -4.96392    -5.23235    0.049131
          74    -4.98115    -5.22896   0.0485842
          75    -4.99946     -5.2259   0.0480327
          76    -5.01688    -5.22315   0.0474794
          77    -5.03271    -5.22067   0.0469271
          78    -5.04397    -5.21841   0.0463801
          79    -5.05303    -5.21631   0.0458403
          80    -5.05511     -5.2143   0.0453115
          81    -5.05158    -5.21229   0.0447966
          82    -5.04146    -5.21021   0.0442988
          83    -5.02736      -5.208   0.0438198
          84    -5.01598    -5.20572   0.0433577
          85    -5.00853     -5.2034   0.0429096
          86    -5.00633    -5.20111   0.0424718
          87    -5.00648    -5.19887   0.0420425
          88    -5.00434    -5.19666   0.0416228
          89    -4.99721    -5.19442   0.0412154
          90    -4.98646    -5.19211   0.0408222
          91    -4.97415    -5.18971   0.0404438
          92    -4.96346    -5.18725   0.0400789
          93    -4.95508    -5.18476   0.0397256
          94    -4.95005    -5.18226   0.0393814
          95    -4.94733    -5.17979   0.0390444
          96       -4.95    -5.17739    0.038711
          97    -4.95697    -5.17512   0.0383786
          98    -4.96288    -5.17296    0.038048
          99    -4.96614    -5.17087    0.037721
         100    -4.96532    -5.16881   0.0373998
         101    -4.95607     -5.1667   0.0370887
         102    -4.94099    -5.16449   0.0367911
         103    -4.92225    -5.16214    0.036509
         104    -4.90213    -5.15964   0.0362434
         105    -4.88302    -5.15701   0.0359939
         106    -4.86575    -5.15426    0.035759
         107    -4.85211    -5.15143   0.0355361
         108    -4.84139    -5.14856   0.0353229
         109    -4.83454    -5.14568   0.0351161
         110    -4.83459    -5.14285   0.0349105
         111    -4.84117    -5.14014   0.0347017
         112    -4.85525    -5.13759   0.0344849
         113    -4.87403    -5.13526   0.0342585
         114    -4.89818    -5.13318   0.0340211
         115    -4.92455    -5.13137   0.0337736
         116     -4.9529    -5.12983   0.0335175
         117    -4.98087    -5.12855   0.0332552
         118       -5.01    -5.12755   0.0329885
         119    -5.03971    -5.12681   0.0327196
         120    -5.06684    -5.12631   0.0324507
         121    -5.09219    -5.12603   0.0321837
         122     -5.1109    -5.12591   0.0319202
         123    -5.12174    -5.12587   0.0316607
         124    -5.12749    -5.12589   0.0314054
         125    -5.12886    -5.12591   0.0311541
         126     -5.1283    -5.12593   0.0309069
         127    -5.12583    -5.12593   0.0306635
         128     -5.1243    -5.12591    0.030424
         129    -5.12196    -5.12588   0.0301881
         130    -5.11948    -5.12583    0.029956
         131    -5.11645    -5.12576   0.0297274
         132    -5.11487    -5.12568   0.0295023
         133    -5.11563     -5.1256   0.0292806
         134    -5.11679    -5.12554   0.0290621
         135    -5.11739    -5.12548   0.0288469
         136    -5.11609    -5.12541   0.0286349
         137    -5.11309    -5.12532    0.028426
         138    -5.11058    -5.12521   0.0282202
         139    -5.10992     -5.1251   0.0280174
         140     -5.1114      -5.125   0.0278175
         141    -5.11646    -5.12494   0.0276202
         142    -5.12407    -5.12494   0.0274257
         143    -5.13171    -5.12499    0.027234
         144    -5.13761    -5.12507    0.027045
         145    -5.13931    -5.12517   0.0268587
         146    -5.13462    -5.12524   0.0266748
         147    -5.12632    -5.12524   0.0264933
         148    -5.11402    -5.12517   0.0263144
         149    -5.10054      -5.125   0.0261383
         150    -5.08981    -5.12477   0.0259651
         151    -5.08415     -5.1245   0.0257946
         152     -5.0854    -5.12424   0.0256261
         153    -5.08989    -5.12402   0.0254596
         154    -5.09746    -5.12384   0.0252949
         155    -5.10419    -5.12372    0.025132
         156    -5.10743    -5.12361   0.0249711
         157    -5.10749    -5.12351   0.0248123
         158    -5.10517    -5.12339   0.0246555
         159    -5.10253    -5.12326   0.0245008
         160    -5.10035    -5.12312   0.0243481
         161    -5.09941    -5.12297   0.0241973
         162    -5.10218    -5.12284   0.0240483
         163    -5.10735    -5.12275   0.0239009
         164    -5.11345    -5.12269   0.0237553
         165    -5.12116    -5.12268   0.0236113
         166    -5.12768    -5.12271   0.0234691
         167    -5.13319    -5.12278   0.0233286
         168    -5.14074    -5.12288     0.02319
         169    -5.14699    -5.12303   0.0230532
         170    -5.15421    -5.12321   0.0229184
         171    -5.16138    -5.12343   0.0227854
         172     -5.1683    -5.12369   0.0226544
         173     -5.1744    -5.12399   0.0225254
         174     -5.1785     -5.1243   0.0223981
         175    -5.17976    -5.12462   0.0222724
         176    -5.17899    -5.12493    0.022148
         177    -5.17192    -5.12519   0.0220244
         178    -5.16153     -5.1254   0.0219016
         179    -5.14845    -5.12552   0.0217797
         180    -5.13012    -5.12555   0.0216587
         181    -5.10763    -5.12545   0.0215392
         182      -5.079     -5.1252   0.0214224
         183    -5.04603    -5.12476   0.0213097
         184    -5.00603    -5.12412   0.0212037
         185    -4.95886    -5.12322   0.0211079
         186    -4.90579    -5.12206   0.0210267
         187    -4.85245    -5.12061   0.0209636
         188     -4.8084    -5.11895   0.0209178
         189    -4.78136    -5.11717   0.0208833
         190    -4.77556    -5.11537   0.0208506
         191    -4.78961    -5.11366   0.0208111
         192    -4.82122    -5.11214   0.0207583
         193    -4.86254    -5.11085    0.020691
         194     -4.9085     -5.1098   0.0206107
         195     -4.9528      -5.109   0.0205207
         196    -4.99235     -5.1084   0.0204246
         197    -5.02634    -5.10799   0.0203252
         198    -5.05435    -5.10772   0.0202243
         199    -5.07622    -5.10756   0.0201233
         200    -5.08998    -5.10747   0.0200229
         201    -5.09619    -5.10741   0.0199234
         202    -5.09395    -5.10735   0.0198248
         203    -5.08463    -5.10724   0.0197275
         204    -5.07048    -5.10705   0.0196316
         205    -5.04871    -5.10677   0.0195379
         206    -5.02154    -5.10636   0.0194474
         207    -4.99088     -5.1058   0.0193615
         208    -4.96124     -5.1051   0.0192809
         209     -4.9369     -5.1043   0.0192054
         210    -4.92456    -5.10344    0.019133
         211    -4.92503     -5.1026    0.019061
         212    -4.93818    -5.10182   0.0189869
         213    -4.96044    -5.10116   0.0189093
         214    -4.98683    -5.10062   0.0188285
         215    -5.01354    -5.10022   0.0187453
         216      -5.039    -5.09994   0.0186607
         217    -5.06082    -5.09976   0.0185755
         218    -5.07612    -5.09965   0.0184907
         219    -5.08938     -5.0996   0.0184063
         220    -5.09958     -5.0996   0.0183226
         221    -5.10731    -5.09963   0.0182397
         222    -5.11222    -5.09969   0.0181577
         223    -5.11305    -5.09975   0.0180763
         224     -5.1093    -5.09979   0.0179957
         225    -5.10065     -5.0998   0.0179157
         226    -5.08733    -5.09974   0.0178365
         227    -5.07043    -5.09961   0.0177584
         228    -5.05334    -5.09941   0.0176817
         229    -5.03468    -5.09913   0.0176067
         230    -5.01661    -5.09877   0.0175338
         231    -5.00178    -5.09835    0.017463
         232    -4.98887    -5.09788   0.0173941
         233    -4.97869    -5.09737   0.0173269
         234    -4.97295    -5.09683    0.017261
         235    -4.97459    -5.09631   0.0171954
         236    -4.98367    -5.09584   0.0171292
         237    -4.99812    -5.09542   0.0170619
         238    -5.01259    -5.09508   0.0169937
         239    -5.02311    -5.09478   0.0169253
         240    -5.02744    -5.09449   0.0168571
         241    -5.02482    -5.09421   0.0167896
         242    -5.01962     -5.0939   0.0167231
         243    -5.01156    -5.09356   0.0166577
         244    -5.00359    -5.09319   0.0165935
         245    -4.99882     -5.0928   0.0165303
         246     -4.9979    -5.09242   0.0164676
         247    -4.99996    -5.09204   0.0164051
         248    -5.00605     -5.0917   0.0163427
         249    -5.01361    -5.09138     0.01628
         250    -5.02056     -5.0911   0.0162174
         251    -5.02637    -5.09084   0.0161548
         252    -5.02966     -5.0906   0.0160925
         253    -5.02755    -5.09035   0.0160309
         254    -5.02254    -5.09008     0.01597
         255    -5.01144    -5.08978   0.0159103
         256    -4.99803    -5.08942   0.0158522
         257    -4.98171      -5.089   0.0157961
         258    -4.96802    -5.08853   0.0157418
         259     -4.9603    -5.08803   0.0156888
         260     -4.9567    -5.08753   0.0156366
         261    -4.96223    -5.08705    0.015584
         262    -4.97516    -5.08662   0.0155304
         263    -4.99119    -5.08626   0.0154756
         264    -5.00823    -5.08596   0.0154198
         265    -5.02289    -5.08573   0.0153634
         266    -5.03259    -5.08553    0.015307
         267    -5.03627    -5.08534   0.0152508
         268     -5.0381    -5.08516   0.0151949
         269    -5.03981      -5.085   0.0151393
         270    -5.04382    -5.08484    0.015084
         271     -5.0512    -5.08472   0.0150289
         272    -5.06096    -5.08463   0.0149739
         273    -5.07444    -5.08459   0.0149191
         274    -5.09024    -5.08462   0.0148646
         275    -5.10694     -5.0847   0.0148108
         276    -5.12673    -5.08485   0.0147579
         277    -5.14683    -5.08507   0.0147064
         278    -5.16659    -5.08537   0.0146564
         279    -5.18236    -5.08571    0.014608
         280    -5.19304     -5.0861   0.0145608
         281    -5.19465    -5.08648   0.0145141
         282    -5.18875    -5.08685   0.0144672
         283    -5.17234    -5.08715   0.0144192
         284    -5.14751    -5.08736     0.01437
         285    -5.11447    -5.08746   0.0143199
         286    -5.07642    -5.08742   0.0142699
         287    -5.04048    -5.08725   0.0142211
         288    -5.00747    -5.08698   0.0141744
         289    -4.98325    -5.08662   0.0141299
         290    -4.96706    -5.08621   0.0140872
         291    -4.96134    -5.08578   0.0140453
         292    -4.96386    -5.08536   0.0140034
         293    -4.97649    -5.08499   0.0139606
         294    -4.99705    -5.08469   0.0139163
         295    -5.02392    -5.08448   0.0138706
         296    -5.05467    -5.08438   0.0138242
         297    -5.08227    -5.08437   0.0137776
         298    -5.10644    -5.08445   0.0137316
         299    -5.12242    -5.08458   0.0136862
         300     -5.1296    -5.08473   0.0136414
         301    -5.13119    -5.08488    0.013597
         302    -5.12776    -5.08502   0.0135527
         303    -5.12026    -5.08514   0.0135085
         304    -5.11169    -5.08523   0.0134643
         305    -5.10355    -5.08529   0.0134203
         306    -5.09386    -5.08531   0.0133765
         307     -5.0848    -5.08531   0.0133329
         308    -5.07888    -5.08529   0.0132896
         309    -5.07434    -5.08526   0.0132467
         310    -5.07402    -5.08522    0.013204
         311    -5.07472    -5.08519   0.0131616
         312    -5.07728    -5.08516   0.0131194
         313    -5.07918    -5.08514   0.0130775
         314    -5.07834    -5.08512   0.0130359
         315    -5.07408    -5.08508   0.0129946
         316    -5.06648    -5.08503   0.0129536
         317     -5.0566    -5.08494    0.012913
         318    -5.04854    -5.08482   0.0128729
         319    -5.04429    -5.08469   0.0128332
         320    -5.04559    -5.08457   0.0127937
         321    -5.05041    -5.08447   0.0127543
         322    -5.05484    -5.08437    0.012715
         323    -5.05439    -5.08428    0.012676
         324    -5.05079    -5.08418   0.0126372
         325    -5.04342    -5.08405    0.012599
         326    -5.03366     -5.0839   0.0125613
         327    -5.02369    -5.08371   0.0125242
         328    -5.01544    -5.08351   0.0124878
         329    -5.00552    -5.08327   0.0124521
         330    -4.99712    -5.08301   0.0124171
         331    -4.98908    -5.08272   0.0123828
         332    -4.98012    -5.08241   0.0123494
         333    -4.97174    -5.08208   0.0123167
         334    -4.95766    -5.08171   0.0122855
         335    -4.94151    -5.08129   0.0122559
         336    -4.92466    -5.08082   0.0122283
         337    -4.90672    -5.08031    0.012203
         338    -4.89241    -5.07975   0.0121795
         339    -4.88583    -5.07918    0.012157
         340     -4.8875    -5.07862   0.0121343
         341    -4.89795    -5.07809   0.0121103
         342     -4.9151    -5.07761   0.0120843
         343    -4.93692     -5.0772    0.012056
         344    -4.95838    -5.07685   0.0120259
         345    -4.97851    -5.07657   0.0119944
         346    -4.99282    -5.07633   0.0119622
         347    -5.00273    -5.07612   0.0119296
         348    -5.01177    -5.07593   0.0118967
         349    -5.01858    -5.07577   0.0118638
         350    -5.02691    -5.07563   0.0118307
         351    -5.03631    -5.07551   0.0117975
         352    -5.04304    -5.07542   0.0117644
         353    -5.04761    -5.07534   0.0117313
         354    -5.05022    -5.07527   0.0116984
         355    -5.04673    -5.07519   0.0116657
         356    -5.03913    -5.07509   0.0116334
         357    -5.02787    -5.07496   0.0116016
         358    -5.01649    -5.07479   0.0115703
         359    -5.00363     -5.0746   0.0115398
         360     -4.9944    -5.07437   0.0115099
         361    -4.98917    -5.07414   0.0114804
         362    -4.98971     -5.0739   0.0114511
         363    -4.99366    -5.07368   0.0114216
         364    -5.00436    -5.07349   0.0113919
         365    -5.01473    -5.07333   0.0113618
         366    -5.02613     -5.0732   0.0113315
         367    -5.03478     -5.0731   0.0113011
         368    -5.03916    -5.07301   0.0112707
         369    -5.03731    -5.07291   0.0112406
         370    -5.03351     -5.0728   0.0112107
         371    -5.02812    -5.07268   0.0111812
         372     -5.0223    -5.07255   0.0111519
         373    -5.01634     -5.0724    0.011123
         374    -5.01319    -5.07224   0.0110944
         375    -5.01079    -5.07207   0.0110661
         376    -5.01091    -5.07191   0.0110378
         377    -5.01053    -5.07175   0.0110097
         378    -5.00735    -5.07158   0.0109819
         379    -5.00043    -5.07139   0.0109546
         380    -4.98973    -5.07118   0.0109278
         381    -4.97538    -5.07092   0.0109021
         382    -4.95933    -5.07063   0.0108774
         383    -4.94288     -5.0703   0.0108541
         384    -4.92711    -5.06993   0.0108323
         385    -4.91207    -5.06952   0.0108119
         386    -4.89867    -5.06907   0.0107929
         387    -4.88548     -5.0686   0.0107755
         388    -4.87458     -5.0681   0.0107593
         389    -4.86618    -5.06758   0.0107442
         390    -4.86536    -5.06706   0.0107291
         391    -4.87311    -5.06657   0.0107131
         392      -4.892    -5.06612   0.0106951
         393    -4.91708    -5.06574   0.0106746
         394    -4.94608    -5.06544   0.0106518
         395    -4.97206     -5.0652   0.0106274
         396    -4.99005    -5.06501   0.0106023
         397    -4.99818    -5.06484   0.0105769
         398    -4.99692    -5.06467   0.0105517
         399    -4.98875    -5.06448    0.010527
         400    -4.97734    -5.06426   0.0105029
         401    -4.96323    -5.06401   0.0104798
         402    -4.95305    -5.06374   0.0104573
         403       -4.95    -5.06345   0.0104352
         404    -4.95711    -5.06319   0.0104127
         405    -4.97737    -5.06298   0.0103891
         406     -5.0116    -5.06285   0.0103643
         407    -5.05454    -5.06283   0.0103389
         408    -5.09691    -5.06291   0.0103139
         409    -5.13006    -5.06308     0.01029
         410    -5.15085    -5.06329   0.0102671
         411    -5.15985    -5.06353   0.0102448
         412    -5.15767    -5.06376   0.0102225
         413    -5.14921    -5.06396   0.0101998
         414    -5.13732    -5.06414   0.0101767
         415    -5.12269    -5.06428   0.0101532
         416    -5.10825    -5.06439   0.0101293
         417    -5.09487    -5.06446   0.0101053
         418    -5.08319    -5.06451   0.0100812
         419    -5.07301    -5.06453   0.0100572
         420    -5.06578    -5.06453   0.0100332
         421    -5.06296    -5.06452   0.0100094
         422    -5.06415    -5.06452  0.00998568
         423    -5.06886    -5.06453  0.00996208
         424    -5.07253    -5.06455   0.0099386
         425    -5.07685    -5.06458  0.00991526
         426    -5.07952    -5.06462  0.00989204
         427    -5.08305    -5.06466  0.00986897
