#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.60507    -4.60507           0
           2    -4.54415    -4.57461   0.0215397
           3    -4.44216    -4.53046   0.0388032
           4    -4.29452    -4.47147     0.05879
           5    -4.09811     -4.3968    0.081688
           6    -3.84691    -4.30515    0.107859
           7    -3.53722    -4.19545    0.137342
           8     -3.1615     -4.0662    0.170464
           9    -2.71653    -3.91624    0.207243
          10    -2.20644    -3.74526    0.247184
          11    -1.63333    -3.55327    0.289839
          12    -1.02043     -3.3422    0.333806
          13   -0.391779    -3.11524    0.377478
          14    0.222501    -2.87683    0.419095
          15    0.796888    -2.63192    0.457151
          16     1.30341    -2.38596      0.4903
          17     1.72704    -2.14402    0.517722
          18     2.04644    -1.91121    0.538765
          19     2.25469    -1.69196    0.553228
          20     2.36282    -1.48922    0.561488
          21     2.39094    -1.30445    0.564333
          22     2.37651    -1.13713    0.562939
          23     2.34659   -0.985665    0.558469
          24     2.32196   -0.847847    0.551942
          25     2.30684    -0.72166    0.544098
          26      2.2989   -0.605484    0.535431
          27     2.29258   -0.498149    0.526249
          28     2.28644   -0.398699    0.516765
          29     2.27725   -0.306425    0.507117
          30     2.26992   -0.220547    0.497432
          31     2.26282   -0.140438    0.487793
          32     2.25571  -0.0655586    0.478263
          33     2.24136  0.00434811    0.468851
          34     2.22022   0.0695208    0.459569
          35     2.20045    0.130404    0.450453
          36     2.18762    0.187549     0.44155
          37     2.19239    0.241734    0.432928
          38     2.21411    0.293639    0.424636
          39     2.24792    0.343749    0.416694
          40     2.28265    0.392221    0.409086
          41     2.31125    0.439027    0.401777
          42     2.32874     0.48402    0.394722
          43     2.32854    0.526916    0.387866
          44     2.30992    0.567439    0.381162
          45     2.26424    0.605145    0.374552
          46     2.19361    0.639677    0.367998
          47     2.10453    0.670844    0.361486
          48     2.01342    0.698815    0.355035
          49     1.93218    0.723985    0.348681
          50     1.87356    0.746977    0.342464
          51     1.83502    0.768311    0.336413
          52      1.8141    0.788423    0.330544
          53     1.80882    0.807675    0.324868
          54     1.80802      0.8262     0.31938
          55     1.81482    0.844175    0.314078
          56     1.82474    0.861685    0.308957
          57     1.83777     0.87881    0.304011
          58      1.8579     0.89569    0.299238
          59      1.8856    0.912468    0.294636
          60     1.92382    0.929324    0.290207
          61     1.97251    0.946426    0.285953
          62     2.02683    0.963852    0.281872
          63     2.08528    0.981652    0.277959
          64     2.14403    0.999814    0.274208
          65     2.20495     1.01835    0.270616
          66     2.26513     1.03725    0.267174
          67     2.32677     1.05649    0.263879
          68     2.38604     1.07604    0.260722
          69     2.42794     1.09564    0.257678
          70     2.44983     1.11498    0.254722
          71      2.4436      1.1337    0.251821
          72     2.41183     1.15145    0.248948
          73     2.36114     1.16802    0.246089
          74     2.29507     1.18325    0.243234
          75     2.22524     1.19714    0.240388
          76      2.1587     1.20979    0.237557
          77     2.09931     1.22135    0.234753
          78     2.05376     1.23202    0.231986
          79     2.02008     1.24199    0.229264
          80     2.00795     1.25157    0.226598
