#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.979       1.979           0
           2     1.97722     1.97811 0.000630435
           3     1.97176     1.97599  0.00177705
           4     1.96228     1.97257  0.00325375
           5     1.94811     1.96768  0.00509041
           6     1.92824      1.9611  0.00734801
           7     1.90133     1.95256   0.0101081
           8     1.86574     1.94171   0.0134645
           9     1.81973     1.92816    0.017508
          10     1.76178     1.91152   0.0223027
          11     1.69116     1.89149   0.0278549
          12     1.60869     1.86792   0.0340743
          13     1.51723     1.84094   0.0407558
          14     1.42142     1.81098   0.0476031
          15     1.32659     1.77869   0.0542889
          16     1.23777     1.74488   0.0605134
          17      1.1594     1.71044   0.0660307
          18     1.09546     1.67627   0.0706504
          19      1.0493     1.64328   0.0742393
          20     1.02274     1.61225   0.0767374
          21     1.01468     1.58379   0.0781814
          22     1.02059     1.55819   0.0787075
          23       1.034      1.5354   0.0785158
          24     1.04893     1.51513   0.0778167
          25     1.06167     1.49699    0.076789
          26     1.07104     1.48061    0.075563
          27     1.07758     1.46568    0.074224
          28     1.08248       1.452    0.072824
          29     1.08669      1.4394    0.071394
          30     1.09048     1.42777   0.0699551
          31     1.09367     1.41699   0.0685237
          32     1.09614     1.40697   0.0671119
          33     1.09833     1.39761   0.0657266
          34     1.10115     1.38889   0.0643693
          35     1.10509     1.38079   0.0630388
          36     1.10938     1.37325   0.0617369
          37     1.11217     1.36619   0.0604703
          38     1.11181      1.3595   0.0592483
          39     1.10794     1.35305   0.0580792
          40     1.10156     1.34676   0.0569664
          41     1.09446     1.34061   0.0559084
          42     1.08836      1.3346   0.0548989
          43     1.08454     1.32878   0.0539293
          44     1.08392     1.32322   0.0529899
          45     1.08742     1.31798   0.0520708
          46     1.09587     1.31315   0.0511622
          47     1.10934     1.30881   0.0502571
          48     1.12642     1.30501   0.0493535
          49     1.14433     1.30174   0.0484551
          50     1.16013      1.2989   0.0475687
          51     1.17194     1.29641   0.0467011
          52      1.1793     1.29416   0.0458573
          53      1.1828     1.29206   0.0450402
          54     1.18349     1.29005   0.0442509
          55     1.18238     1.28809   0.0434897
