#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.39358    -3.39358           0
           2    -3.38812    -3.39085  0.00192939
           3    -3.38171     -3.3878  0.00280037
           4    -3.37284    -3.38406  0.00386013
           5    -3.36174     -3.3796   0.0050476
           6    -3.34761    -3.37427  0.00643288
           7    -3.33168    -3.36818  0.00788176
           8    -3.31298    -3.36128  0.00944586
           9    -3.29254    -3.35365   0.0110614
          10    -3.27387    -3.34567   0.0125054
          11    -3.25517    -3.33744   0.0138122
          12    -3.24224    -3.32951   0.0147646
          13    -3.23587     -3.3223   0.0152852
          14    -3.23754    -3.31625   0.0153458
          15    -3.24591    -3.31156   0.0150222
          16    -3.26291    -3.30852   0.0143878
          17    -3.28425    -3.30709   0.0136121
          18    -3.31181    -3.30735   0.0128583
          19    -3.34268    -3.30921   0.0123152
          20    -3.37042    -3.31227   0.0120737
          21    -3.39295    -3.31612   0.0120945
          22    -3.40491    -3.32015   0.0121996
          23     -3.4087      -3.324   0.0122616
          24    -3.40578    -3.32741    0.012215
          25    -3.40078    -3.33034   0.0120738
          26    -3.39637    -3.33288   0.0118735
          27     -3.3941    -3.33515   0.0116482
          28    -3.39243     -3.3372   0.0114104
          29     -3.3923     -3.3391    0.011174
          30    -3.39098    -3.34083   0.0109345
          31    -3.39016    -3.34242    0.010697
          32     -3.3895    -3.34389   0.0104634
          33    -3.39161    -3.34533   0.0102458
          34    -3.39459    -3.34678   0.0100463
          35    -3.39453    -3.34815   0.0098515
          36    -3.39247    -3.34938  0.00965448
          37    -3.38689    -3.35039  0.00944662
          38    -3.38073    -3.35119  0.00923169
          39    -3.37557    -3.35182  0.00901613
          40    -3.37401    -3.35237  0.00880778
          41    -3.37524    -3.35293   0.0086106
          42    -3.37799    -3.35352  0.00842623
          43    -3.38301    -3.35421  0.00825813
          44    -3.38786    -3.35498  0.00810579
          45    -3.39525    -3.35587  0.00797492
          46    -3.40275    -3.35689  0.00786641
          47    -3.40903      -3.358  0.00777687
          48    -3.41068     -3.3591  0.00769191
          49    -3.40889    -3.36011  0.00760176
          50    -3.40244    -3.36096  0.00749671
          51    -3.39595    -3.36165  0.00738105
          52    -3.39049     -3.3622  0.00725992
          53     -3.3848    -3.36263  0.00713545
          54    -3.38293      -3.363  0.00701321
          55    -3.38052    -3.36332  0.00689292
          56      -3.379     -3.3636  0.00677551
          57    -3.37806    -3.36385  0.00666139
          58    -3.37591    -3.36406  0.00654979
          59    -3.37351    -3.36422  0.00644073
          60    -3.37024    -3.36432  0.00633417
          61    -3.36651    -3.36436  0.00623043
          62    -3.36442    -3.36436  0.00612994
          63    -3.36301    -3.36434  0.00603268
          64    -3.36286    -3.36432  0.00593846
          65    -3.36202    -3.36428   0.0058472
          66    -3.36238    -3.36425  0.00575868
          67    -3.36209    -3.36422  0.00567282
          68    -3.36127    -3.36418  0.00558956
          69    -3.36505    -3.36419  0.00550857
          70    -3.37013    -3.36427  0.00543053
          71    -3.37788    -3.36446  0.00535742
          72     -3.3855    -3.36476  0.00529098
          73    -3.39057    -3.36511   0.0052303
          74    -3.39481    -3.36551    0.005175
          75    -3.39604    -3.36592  0.00512198
          76    -3.39482     -3.3663  0.00506868
          77    -3.39271    -3.36664  0.00501445
          78    -3.38834    -3.36692  0.00495787
          79    -3.38515    -3.36715  0.00490047
          80    -3.37931     -3.3673  0.00484157
          81    -3.37335    -3.36738  0.00478238
          82    -3.36723    -3.36738  0.00472406
          83    -3.36326    -3.36733   0.0046674
          84    -3.36554     -3.3673  0.00461188
          85     -3.3707    -3.36734   0.0045578
          86    -3.37625    -3.36745  0.00450598
          87    -3.37901    -3.36758  0.00445614
          88    -3.37758    -3.36769  0.00440695
          89    -3.37315    -3.36776  0.00435786
          90    -3.36885    -3.36777  0.00430946
          91    -3.36608    -3.36775  0.00426214
          92    -3.36608    -3.36773  0.00421585
          93    -3.36772    -3.36773  0.00417052
          94    -3.37089    -3.36777  0.00412629
          95    -3.37357    -3.36783  0.00408331
          96    -3.37771    -3.36793  0.00404207
          97    -3.38164    -3.36807  0.00400287
          98    -3.38125    -3.36821  0.00396428
          99    -3.37807     -3.3683  0.00392549
         100    -3.37412    -3.36836  0.00388667
         101    -3.36741    -3.36835   0.0038482
         102    -3.36139    -3.36829  0.00381108
         103    -3.35778    -3.36818  0.00377544
         104    -3.35697    -3.36808  0.00374068
         105    -3.35842    -3.36798  0.00370618
         106     -3.3602    -3.36791  0.00367195
         107    -3.36282    -3.36786  0.00363794
         108    -3.36559    -3.36784  0.00360431
         109    -3.36937    -3.36786  0.00357127
         110    -3.37598    -3.36793  0.00353957
         111    -3.38319    -3.36807  0.00351035
         112    -3.39069    -3.36827  0.00348482
         113    -3.39577    -3.36851  0.00346246
         114    -3.40035    -3.36879  0.00344334
         115    -3.40311    -3.36909   0.0034263
         116    -3.40562     -3.3694  0.00341121
         117    -3.40675    -3.36972  0.00339695
         118    -3.40847    -3.37005    0.003384
