#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      2.3145      2.3145           0
           2     2.25982     2.28716   0.0193327
           3     2.09921     2.22451   0.0527518
           4     1.84282     2.12909   0.0916214
           5     1.51565      2.0064    0.131963
           6     1.16949     1.86691    0.168245
           7     0.87679     1.72547    0.194796
           8    0.696917      1.5969    0.208604
           9    0.642871      1.4909    0.210644
          10    0.682944      1.4101    0.204488
          11    0.767307     1.35166    0.194069
          12    0.853284     1.31013    0.182286
          13    0.917662     1.27994    0.170746
          14    0.956461     1.25684    0.160105
          15    0.977879     1.23824    0.150508
          16    0.993346     1.22293    0.141877
          17     1.01165     1.21051    0.134075
          18     1.03793     1.20092    0.126969
          19     1.07361     1.19422    0.120463
          20     1.11577     1.19029    0.114503
          21     1.15837     1.18877    0.109061
          22     1.19482     1.18905    0.104104
          23      1.2199     1.19039   0.0995864
          24     1.23111     1.19209   0.0954514
          25     1.22918     1.19357   0.0916449
          26     1.21668     1.19446   0.0881244
          27     1.19618     1.19452   0.0848605
          28     1.17001     1.19365   0.0818343
          29     1.14119     1.19184   0.0790324
          30     1.11429     1.18925   0.0764403
          31     1.09464      1.1862   0.0740354
          32     1.08616     1.18308   0.0717877
          33     1.09074     1.18028   0.0696669
          34     1.10896     1.17818   0.0676494
          35     1.13876     1.17705   0.0657259
          36     1.17285     1.17694   0.0639003
          37      1.2014      1.1776   0.0621767
          38     1.21902     1.17869     0.06055
          39     1.22789     1.17995   0.0590106
          40     1.23396      1.1813   0.0575508
          41     1.24202     1.18278   0.0561662
          42     1.25393     1.18448   0.0548544
          43     1.26779     1.18641   0.0536129
          44     1.27843      1.1885   0.0524352
          45     1.28089     1.19056   0.0513102
          46     1.27342     1.19236   0.0502264
          47     1.25733     1.19374   0.0491767
          48     1.23576     1.19462     0.04816
          49     1.21408     1.19501   0.0471788
          50     1.19918      1.1951   0.0462353
          51     1.19495     1.19509   0.0453287
          52     1.20004     1.19519   0.0444571
          53     1.21144      1.1955   0.0436194
          54     1.22634     1.19607   0.0428153
          55        1.24     1.19687   0.0420443
          56     1.24516     1.19773   0.0413024
          57     1.23599      1.1984   0.0405832
          58     1.21386     1.19867   0.0398844
          59     1.18905      1.1985   0.0392087
          60      1.1748     1.19811   0.0385572
          61     1.17752     1.19777   0.0379266
          62     1.19166     1.19767    0.037315
          63     1.20329     1.19776   0.0367228
          64     1.19903     1.19778    0.036149
          65     1.17543     1.19744   0.0355945
          66     1.14337     1.19662   0.0350646
          67     1.12314     1.19552   0.0345584
          68      1.1304     1.19456   0.0340635
          69     1.16421     1.19412   0.0335727
          70      1.2103     1.19435   0.0330938
          71     1.25125     1.19516   0.0326374
          72     1.27293     1.19624    0.032202
          73     1.26857     1.19723   0.0317761
          74     1.23994      1.1978    0.031352
          75     1.19591     1.19778   0.0309339
          76     1.14983     1.19715   0.0305334
          77     1.11683     1.19611   0.0301546
          78     1.11062     1.19501   0.0297879
          79     1.13688     1.19427     0.02942
          80     1.18721     1.19419   0.0290523
          81     1.24397      1.1948   0.0287002
          82     1.29197     1.19598   0.0283746
          83     1.32438     1.19753   0.0280749
          84     1.33998     1.19923   0.0277919
          85     1.33834     1.20086    0.027513
          86     1.31858     1.20223   0.0272271
          87     1.27908     1.20312   0.0269285
          88     1.21869     1.20329   0.0266231
          89     1.14228     1.20261   0.0263328
          90     1.06559     1.20109   0.0260842
          91     1.01268     1.19902   0.0258796
          92     1.00439      1.1969   0.0256846
          93     1.04533     1.19527   0.0254601
          94     1.12158     1.19449   0.0252013
          95     1.20985     1.19465   0.0249365
          96     1.28721     1.19561   0.0246954
          97     1.33611     1.19706   0.0244832
          98     1.34719     1.19859   0.0242813
          99     1.32118     1.19983   0.0240676
         100     1.26889     1.20052   0.0238368
         101     1.20814      1.2006   0.0236009
         102     1.15812     1.20018   0.0233732
         103     1.13292     1.19953   0.0231554
         104     1.13592     1.19892   0.0229408
         105     1.15902     1.19854   0.0227255
         106     1.18915     1.19845   0.0225113
         107     1.21658     1.19862   0.0223015
         108     1.23843     1.19899   0.0220981
         109     1.25605     1.19951   0.0219016
         110     1.26879     1.20014   0.0217115
         111     1.27079     1.20078   0.0215252
         112     1.25536     1.20126   0.0213386
         113     1.22235     1.20145   0.0211505
         114     1.18017     1.20126   0.0209658
         115     1.14197     1.20075   0.0207899
         116     1.12026     1.20005   0.0206222
         117     1.12136     1.19938   0.0204569
         118     1.14206     1.19889   0.0202893
         119     1.17093     1.19866   0.0201202
         120     1.19461     1.19863   0.0199526
         121     1.20501     1.19868   0.0197877
         122     1.20223     1.19871   0.0196255
         123     1.19193     1.19865   0.0194661
         124      1.1807     1.19851   0.0193096
         125     1.17232      1.1983   0.0191563
         126     1.16701     1.19805   0.0190059
         127     1.16485     1.19779    0.018858
         128     1.16703     1.19755   0.0187122
         129     1.17396     1.19737    0.018568
         130     1.18653     1.19728   0.0184254
         131     1.20815     1.19737   0.0182849
         132     1.24189      1.1977   0.0181495
         133     1.28361     1.19835   0.0180246
         134     1.31971     1.19925   0.0179128
         135     1.33527     1.20026   0.0178084
         136     1.32412     1.20117   0.0177007
         137     1.29076     1.20183   0.0175836
         138     1.24441     1.20213   0.0174589
         139     1.19395     1.20208   0.0173334
         140     1.14884      1.2017   0.0172138
         141     1.12232     1.20113   0.0171009
         142      1.1262     1.20061   0.0169886
         143     1.15791     1.20031   0.0168724
         144     1.20043     1.20031   0.0167552
         145     1.23631     1.20056   0.0166415
         146     1.25582     1.20093   0.0165318
         147     1.25592     1.20131   0.0164236
         148     1.23832     1.20156   0.0163145
         149     1.20928     1.20161   0.0162051
         150      1.1778     1.20145   0.0160979
         151     1.15085     1.20112   0.0159948
         152      1.1304     1.20065   0.0158963
         153     1.11654      1.2001   0.0158019
         154     1.11154     1.19953   0.0157097
         155     1.11878     1.19901    0.015617
         156     1.13879     1.19862   0.0155217
         157     1.16848     1.19843    0.015424
         158      1.2036     1.19846   0.0153264
         159     1.23865     1.19871   0.0152321
         160     1.26597     1.19913   0.0151427
         161     1.27911     1.19963   0.0150568
         162     1.27641      1.2001   0.0149713
         163     1.25732     1.20045   0.0148836
         164     1.21939     1.20057   0.0147933
         165     1.16592     1.20036   0.0147051
         166     1.11256     1.19983    0.014626
         167     1.08056     1.19912   0.0145559
         168     1.08416     1.19843   0.0144853
         169     1.12332     1.19799   0.0144064
         170     1.18421     1.19791   0.0143219
         171     1.24547     1.19819   0.0142409
         172     1.28682      1.1987   0.0141674
         173     1.29653     1.19927   0.0140968
         174     1.27495      1.1997   0.0140225
         175     1.23332     1.19989   0.0139436
         176     1.18778     1.19982   0.0138646
         177     1.15286     1.19956   0.0137888
         178     1.14042     1.19923   0.0137153
         179        1.16     1.19901   0.0136405
         180       1.209     1.19906   0.0135648
         181     1.26412     1.19942   0.0134946
         182     1.29338     1.19994   0.0134303
         183     1.27838     1.20037   0.0133638
         184       1.224      1.2005   0.0132918
         185     1.15381     1.20024   0.0132223
         186     1.09954      1.1997   0.0131623
         187     1.08751      1.1991   0.0131056
         188     1.12308      1.1987   0.0130421
         189     1.18497     1.19863   0.0129733
         190     1.24013     1.19884   0.0129069
         191     1.26572     1.19919   0.0128441
         192     1.26022     1.19951   0.0127811
         193     1.24082     1.19973   0.0127167
         194     1.22874     1.19988    0.012652
         195      1.2336     1.20005   0.0125883
         196     1.25329     1.20032    0.012527
         197     1.28158     1.20073   0.0124702
         198     1.30908     1.20128   0.0124192
         199     1.32454      1.2019   0.0123722
         200     1.32194      1.2025   0.0123249
         201     1.30289       1.203   0.0122737
         202     1.27215     1.20334   0.0122177
         203     1.23291     1.20349   0.0121584
         204     1.18701     1.20341   0.0120991
         205     1.13952     1.20309   0.0120441
         206     1.09946     1.20259   0.0119961
         207     1.07486     1.20197    0.011954
         208     1.06841     1.20133   0.0119138
         209     1.07779     1.20074   0.0118714
         210     1.09805     1.20025    0.011825
         211     1.12382     1.19989   0.0117745
         212     1.15027     1.19966   0.0117213
         213     1.17284     1.19953   0.0116669
         214     1.18688     1.19947   0.0116125
         215     1.18821     1.19942   0.0115586
         216     1.17568     1.19931   0.0115057
         217     1.15449      1.1991   0.0114545
         218     1.13637     1.19881   0.0114056
         219     1.13287     1.19851   0.0113575
         220     1.14634     1.19828   0.0113083
         221     1.16917     1.19814   0.0112579
         222     1.19154     1.19811   0.0112072
         223     1.20848     1.19816   0.0111571
         224     1.22273     1.19827   0.0111078
         225     1.23967     1.19845     0.01106
         226     1.25775     1.19872   0.0110141
         227     1.27044     1.19903   0.0109701
         228     1.27676     1.19937   0.0109273
         229     1.28153     1.19973   0.0108855
         230     1.28829     1.20012    0.010845
         231     1.29657     1.20054   0.0108061
         232     1.30404     1.20098   0.0107687
         233     1.30714     1.20144   0.0107321
         234     1.29971     1.20186   0.0106945
         235     1.27602     1.20217   0.0106536
         236     1.23751     1.20232   0.0106095
         237     1.19434     1.20229   0.0105648
         238     1.15852      1.2021    0.010522
         239     1.13509     1.20182   0.0104817
         240     1.11978     1.20148   0.0104436
         241     1.10564     1.20108   0.0104079
         242     1.09278     1.20064   0.0103745
         243       1.088     1.20017   0.0103421
         244     1.09225     1.19973   0.0103092
         245     1.10089     1.19933    0.010275
