#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.78827    -7.78827           0
           2    -7.59224    -7.69025   0.0693081
           3    -7.31959     -7.5667    0.110958
           4    -6.98024    -7.42009    0.151813
           5    -6.62366     -7.2608     0.18721
           6    -6.32472    -7.10479    0.211239
           7    -6.14217    -6.96727    0.221343
           8    -6.08939    -6.85754    0.219196
           9    -6.13206    -6.77693    0.209138
          10    -6.21905    -6.72114    0.195523
          11    -6.30471    -6.68328    0.181376
          12    -6.36915     -6.6571     0.16814
          13    -6.40698    -6.63786    0.156303
          14    -6.42891    -6.62294    0.145849
          15     -6.4458    -6.61113    0.136603
          16    -6.46608    -6.60206    0.128366
          17    -6.49258    -6.59562    0.120977
          18    -6.53003    -6.59198    0.114311
          19    -6.57092    -6.59087      0.1083
          20    -6.61222    -6.59194     0.10289
          21    -6.64859    -6.59464   0.0980257
          22    -6.66985    -6.59806   0.0936296
          23    -6.68384    -6.60179    0.089633
          24    -6.67911    -6.60501   0.0859562
          25    -6.66547    -6.60743    0.082552
          26     -6.6468    -6.60894   0.0793908
          27    -6.62184    -6.60942   0.0764518
          28    -6.59314    -6.60884   0.0737236
          29    -6.56664    -6.60738   0.0711958
          30    -6.54715    -6.60537   0.0688509
          31    -6.53931    -6.60324   0.0666629
          32    -6.54452    -6.60141   0.0646049
          33    -6.56059    -6.60017    0.062659
          34    -6.59021    -6.59988   0.0608168
          35    -6.62664    -6.60064    0.059084
          36    -6.65461    -6.60214   0.0574618
          37    -6.67239    -6.60404   0.0559401
          38    -6.68017    -6.60604   0.0545039
          39    -6.68592    -6.60809   0.0531448
          40    -6.69447    -6.61025     0.05186
          41    -6.70744    -6.61262   0.0506493
          42    -6.72296    -6.61525   0.0495114
          43    -6.73489    -6.61803   0.0484381
          44    -6.73648    -6.62072    0.047412
          45    -6.72732    -6.62309   0.0464175
          46    -6.70915    -6.62496   0.0454462
          47    -6.68919    -6.62633   0.0444998
          48    -6.66804     -6.6272   0.0435812
          49    -6.65124    -6.62769   0.0426945
          50    -6.64972    -6.62813   0.0418429
          51    -6.65467    -6.62865   0.0410257
          52    -6.66651    -6.62938   0.0402432
          53    -6.68236    -6.63038   0.0394963
          54    -6.69365    -6.63155   0.0387823
          55    -6.69969    -6.63279   0.0380969
          56    -6.69028    -6.63381   0.0374304
          57    -6.66728     -6.6344   0.0367784
          58    -6.63841    -6.63447   0.0361443
          59    -6.62407    -6.63429   0.0355321
          60    -6.62848     -6.6342   0.0349401
          61    -6.64321    -6.63435   0.0343676
          62    -6.65573    -6.63469    0.033815
          63    -6.65173    -6.63496   0.0332793
          64    -6.62875    -6.63486   0.0327595
          65    -6.59467    -6.63425   0.0322613
          66    -6.57398    -6.63333   0.0317855
          67    -6.58396     -6.6326   0.0313196
          68    -6.61775    -6.63238   0.0308598
          69    -6.66552    -6.63286   0.0304163
          70     -6.7079    -6.63393   0.0300006
          71    -6.72638    -6.63523   0.0296063
          72    -6.72027    -6.63641   0.0292187
          73    -6.69436    -6.63721   0.0288292
          74     -6.6512     -6.6374   0.0284402
          75    -6.60327    -6.63694   0.0280647
          76     -6.5678    -6.63603   0.0277101
          77    -6.56149    -6.63506   0.0273672
          78    -6.59086     -6.6345   0.0270222
          79    -6.64303     -6.6346   0.0266803
          80    -6.70074    -6.63543   0.0263596
          81    -6.74932    -6.63684   0.0260717
          82    -6.78003    -6.63858   0.0258122
          83    -6.79532    -6.64047   0.0255701
          84    -6.79435     -6.6423   0.0253313
          85    -6.77664    -6.64388   0.0250825
          86      -6.737    -6.64497   0.0248142
          87    -6.67579    -6.64532   0.0245315
          88    -6.59685    -6.64477   0.0242589
          89    -6.51858    -6.64335   0.0240278
          90    -6.46264    -6.64134   0.0238445
          91    -6.45212    -6.63927    0.023673
          92    -6.49662    -6.63771   0.0234664
          93      -6.575    -6.63704   0.0232238
          94    -6.66494    -6.63734   0.0229786
          95    -6.74363    -6.63846    0.022764
          96    -6.79309    -6.64007   0.0225837
          97    -6.80443    -6.64176   0.0224144
          98    -6.77743    -6.64315   0.0222284
          99    -6.72372    -6.64396   0.0220188
         100    -6.65885    -6.64411   0.0217991
         101    -6.60828    -6.64375   0.0215861
         102    -6.58385    -6.64317   0.0213825
         103    -6.58705    -6.64262   0.0211818
         104    -6.61232    -6.64233   0.0209802
         105     -6.6411    -6.64232   0.0207804
         106    -6.67091    -6.64259   0.0205861
         107    -6.69284    -6.64306    0.020399
         108    -6.70847    -6.64366   0.0202191
         109    -6.72103    -6.64437   0.0200461
         110    -6.72291    -6.64509   0.0198766
         111    -6.70851    -6.64566   0.0197057
         112    -6.67372    -6.64591   0.0195314
         113     -6.6314    -6.64578   0.0193589
         114     -6.5928    -6.64532   0.0191947
         115    -6.56879    -6.64465   0.0190393
         116    -6.57205    -6.64402   0.0188855
         117    -6.59258    -6.64358   0.0187292
         118    -6.62401    -6.64342   0.0185712
         119    -6.64823    -6.64346   0.0184152
         120    -6.65764    -6.64358   0.0182621
         121    -6.65421    -6.64367   0.0181114
         122    -6.64352    -6.64366   0.0179629
         123    -6.63369    -6.64358   0.0178171
         124    -6.62698    -6.64345   0.0176739
         125    -6.62232    -6.64328   0.0175333
         126    -6.62228    -6.64311   0.0173949
         127     -6.6244    -6.64297   0.0172586
         128    -6.63088    -6.64287    0.017124
         129    -6.64311    -6.64287   0.0169913
         130    -6.66597    -6.64305   0.0168615
         131    -6.69917    -6.64348   0.0167382
         132    -6.73983    -6.64421   0.0166273
         133    -6.77498    -6.64519   0.0165314
         134    -6.79027    -6.64628   0.0164434
         135    -6.77909    -6.64726    0.016351
         136    -6.74381    -6.64797   0.0162462
         137    -6.69668    -6.64832   0.0161315
         138    -6.64713    -6.64832   0.0160146
         139    -6.59803    -6.64795   0.0159035
         140    -6.57193    -6.64741   0.0157991
         141    -6.57525     -6.6469   0.0156954
         142    -6.61233    -6.64666   0.0155867
         143    -6.65744    -6.64673   0.0154779
         144    -6.69115    -6.64704   0.0153735
         145    -6.71071    -6.64748   0.0152738
         146    -6.71034    -6.64791   0.0151752
         147    -6.69237    -6.64821    0.015075
         148    -6.66472    -6.64832   0.0149735
         149    -6.63062     -6.6482   0.0148735
         150    -6.60434    -6.64791   0.0147772
         151    -6.58148    -6.64747   0.0146859
         152     -6.5682    -6.64695   0.0145986
         153    -6.56235     -6.6464   0.0145136
         154    -6.57479    -6.64593   0.0144268
         155    -6.59828    -6.64563    0.014337
         156    -6.62558     -6.6455   0.0142457
         157    -6.66256    -6.64561   0.0141554
         158    -6.69746    -6.64593   0.0140696
         159    -6.72267    -6.64642   0.0139894
         160    -6.73428    -6.64697   0.0139127
         161    -6.73222     -6.6475   0.0138364
         162    -6.71152    -6.64789   0.0137566
         163    -6.67449    -6.64805   0.0136732
         164    -6.61935    -6.64788   0.0135909
         165    -6.56513    -6.64738   0.0135178
         166    -6.52831    -6.64666   0.0134554
         167    -6.53351    -6.64598   0.0133919
         168    -6.57482    -6.64556   0.0133188
         169    -6.63926    -6.64552   0.0132401
         170    -6.70008    -6.64584   0.0131661
         171    -6.74177     -6.6464    0.013101
         172    -6.75006    -6.64701   0.0130387
         173    -6.73004    -6.64749   0.0129722
         174    -6.69069    -6.64773      0.0129
         175     -6.6441    -6.64771   0.0128263
         176    -6.60927     -6.6475   0.0127553
         177    -6.59716    -6.64721   0.0126864
         178     -6.6148    -6.64703   0.0126164
         179    -6.66472    -6.64713   0.0125463
         180    -6.71945    -6.64753   0.0124831
         181    -6.75213    -6.64811   0.0124275
         182    -6.73768     -6.6486   0.0123689
         183    -6.68014    -6.64877   0.0123025
         184    -6.60924    -6.64856   0.0122376
         185    -6.55062    -6.64803   0.0121829
