#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     4.29717     4.29717           0
           2     5.26786     4.78251    0.343188
           3     6.66035     5.40846    0.559955
           4     8.35668     6.14551    0.764075
           5     10.0849     6.93339    0.932865
           6     11.4811     7.69134     1.04071
           7     12.2808     8.34698     1.07897
           8     12.4597     8.86107     1.05952
           9     12.2051     9.23263     1.00483
          10     11.7666     9.48602    0.935755
          11     11.3477     9.65526    0.865856
          12     11.0409     9.77073    0.801363
          13     10.8598      9.8545    0.744086
          14     10.7557     9.91887    0.693715
          15     10.6747     9.96926    0.649295
          16     10.5765     10.0072    0.609823
          17     10.4417     10.0328    0.574486
          18     10.2559     10.0452    0.542704
          19     10.0445     10.0451    0.514141
          20     9.83139     10.0344    0.488545
          21     9.64644      10.016     0.46563
          22     9.52645     9.99372    0.444996
          23     9.46149     9.97058     0.42625
          24      9.4749     9.94993    0.408989
          25     9.53876     9.93348     0.39296
          26     9.63786     9.92211    0.378011
          27      9.7676     9.91639    0.364054
          28     9.91206     9.91623    0.351052
          29     10.0437     9.92063    0.338974
          30     10.1368     9.92783    0.327752
          31     10.1717      9.9357    0.317273
          32     10.1426     9.94216    0.307424
          33     10.0551     9.94559    0.298128
          34     9.91185      9.9446    0.289361
          35     9.74954     9.93902    0.281147
          36     9.62657     9.93034    0.273471
          37      9.5545     9.92019    0.266269
          38     9.52062     9.90967    0.259469
          39     9.49059     9.89893    0.253039
          40     9.44476     9.88757    0.246967
          41     9.37992     9.87519    0.241254
          42     9.30983     9.86173    0.235885
          43     9.26379     9.84782    0.230809
          44     9.26775     9.83464    0.225939
          45     9.32254     9.82326    0.221205
          46     9.41685     9.81442    0.216572
          47     9.52427     9.80825    0.212052
          48     9.62761     9.80449    0.207668
          49     9.69624     9.80228    0.203442
          50      9.6991     9.80022    0.199383
          51     9.66267     9.79752    0.195492
          52     9.59527     9.79363    0.191771
          53     9.51135      9.7883    0.188227
          54     9.44412     9.78193    0.184849
          55     9.41513     9.77526    0.181609
          56     9.45998     9.76963    0.178453
          57     9.56705     9.76608    0.175357
          58     9.68962     9.76476    0.172339
          59     9.75028     9.76451    0.169418
          60     9.72931     9.76393    0.166595
          61     9.66622     9.76232    0.163872
          62     9.62563     9.76012    0.161244
          63     9.66722     9.75864    0.158691
          64     9.79443      9.7592    0.156213
          65     9.95244     9.76218    0.153838
          66     10.0327     9.76628    0.151561
          67     9.96423     9.76923    0.149328
          68     9.77747     9.76935    0.147132
          69      9.5398     9.76602    0.145037
          70     9.34024     9.75994    0.143093
          71     9.25388     9.75281    0.141255
          72      9.2959     9.74647    0.139435
          73     9.44652     9.74236    0.137586
          74     9.67212     9.74141     0.13573
          75     9.90614     9.74361    0.133938
          76     10.0685     9.74788    0.132244
          77     10.0868     9.75228      0.1306
          78     9.93629     9.75464    0.128947
          79     9.67517     9.75364    0.127318
          80     9.39244     9.74912    0.125807
          81     9.15913     9.74184    0.124464
          82     9.00991     9.73291    0.123266
          83     8.94364      9.7234    0.122147
          84     8.96559     9.71438    0.121026
          85     9.07952     9.70691    0.119832
          86     9.29896     9.70217    0.118533
          87     9.62123     9.70124    0.117174
          88     10.0168     9.70482    0.115897
          89     10.3953     9.71258    0.114854
          90     10.6421     9.72291    0.114042
          91     10.6566     9.73317    0.113249
          92     10.4179     9.74061    0.112262
          93     10.0205     9.74362    0.111096
          94      9.5798     9.74188    0.109927
          95     9.20605     9.73624    0.108915
          96     8.98266     9.72839    0.108063
          97     8.94975     9.72036    0.107246
          98     9.09983     9.71403    0.106339
          99     9.37273     9.71058    0.105321
         100     9.68297     9.71031    0.104268
         101     9.92264     9.71241    0.103257
         102     10.0308     9.71553    0.102291
         103     10.0009      9.7183    0.101336
         104     9.87268     9.71979    0.100372
         105     9.72332     9.71982   0.0994164
         106     9.58251     9.71852    0.098487
         107     9.47526     9.71625   0.0975928
         108     9.39473     9.71327   0.0967345
         109     9.33832     9.70983   0.0959082
         110     9.34079     9.70648    0.095095
         111     9.42994     9.70399   0.0942709
         112     9.60869     9.70314    0.093433
         113     9.82076     9.70418    0.092612
         114     10.0041     9.70681    0.091837
         115     10.1032     9.71026    0.091103
         116     10.0778     9.71342   0.0903728
         117     9.96376     9.71556   0.0896257
         118     9.80835     9.71635   0.0888696
         119     9.68593     9.71609   0.0881231
         120     9.63117     9.71539   0.0873916
         121     9.63674     9.71474   0.0866718
         122     9.67595     9.71442   0.0859619
         123     9.71662     9.71444   0.0852631
         124     9.74752      9.7147   0.0845759
         125     9.77171     9.71516   0.0839005
         126     9.78075     9.71568   0.0832362
         127       9.773     9.71613   0.0825821
         128     9.74087     9.71633   0.0819371
         129     9.67782     9.71603   0.0813025
         130     9.56385     9.71486   0.0806855
         131     9.39488     9.71241   0.0801066
         132     9.19498     9.70849   0.0795955
         133     9.03431     9.70342   0.0791583
         134     8.98334     9.69805   0.0787498
         135     9.06668     9.69337   0.0783052
         136     9.26121      9.6902   0.0777939
         137     9.51182     9.68889   0.0772369
         138     9.77111     9.68949   0.0766795
         139     10.0036     9.69175   0.0761612
         140     10.1217     9.69482   0.0756791
         141     10.0829     9.69757   0.0751924
         142     9.89576     9.69897   0.0746758
         143     9.67136     9.69878   0.0741538
         144     9.49765     9.69738    0.073652
         145     9.40234     9.69534   0.0731722
         146     9.40399     9.69335   0.0726982
         147     9.49198     9.69198   0.0722166
         148     9.63128     9.69157   0.0717298
         149     9.78983     9.69223   0.0712514
         150     9.91838     9.69374   0.0707924
         151     10.0217     9.69591   0.0703569
         152     10.0842     9.69846   0.0699404
         153     10.1012      9.7011   0.0695327
         154     10.0391     9.70329   0.0691159
         155     9.91537     9.70466   0.0686835
         156       9.758       9.705   0.0682441
         157     9.56875     9.70413   0.0678149
         158     9.39163     9.70215   0.0674145
         159     9.26731     9.69942    0.067046
         160     9.22175     9.69643   0.0666934
         161     9.25644      9.6937   0.0663351
         162     9.38053     9.69177   0.0659538
         163     9.59162     9.69115    0.065552
         164     9.87578     9.69228    0.065162
         165     10.1394     9.69499   0.0648234
         166     10.2879     9.69856   0.0645312
         167     10.2378     9.70179   0.0642255
         168     10.0146     9.70365   0.0638702
         169     9.69414      9.7036   0.0634923
         170     9.39683     9.70179   0.0631445
         171     9.20964     9.69891   0.0628407
         172     9.18867     9.69595   0.0625454
         173     9.31336     9.69373   0.0622229
         174     9.52661     9.69277   0.0618727
         175     9.75433     9.69313   0.0615202
         176     9.91558     9.69439   0.0611836
         177     9.95617     9.69587   0.0608558
         178     9.83948     9.69668   0.0605193
         179     9.57784     9.69601   0.0601848
         180     9.30662     9.69385   0.0598893
         181     9.17197     9.69097   0.0596278
         182     9.26515     9.68863   0.0593461
         183     9.54903     9.68786   0.0590267
         184     9.88788     9.68895   0.0587159
         185     10.1418      9.6914   0.0584495
         186     10.1759       9.694   0.0581933
         187     9.97845     9.69552    0.057902
         188     9.68009     9.69544    0.057594
         189     9.43116     9.69404   0.0573063
         190     9.33217     9.69214   0.0570363
         191     9.38215     9.69052   0.0567608
         192     9.47397     9.68939   0.0564763
         193     9.51878      9.6885   0.0561906
         194     9.47471      9.6874   0.0559118
         195     9.35844     9.68571   0.0556505
         196      9.2131      9.6833   0.0554188
         197     9.07491     9.68022   0.0552235
