#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.543       1.543           0
           2     1.50655     1.52477   0.0128885
           3     1.39947     1.48301   0.0351679
           4     1.22854     1.41939    0.061081
           5     1.01043      1.3376   0.0879755
           6    0.779663     1.24461    0.112163
           7    0.584526     1.15031    0.129864
           8    0.464611      1.0646    0.139069
           9    0.428581    0.993931    0.140429
          10    0.455296    0.940067    0.136326
          11    0.511538     0.90111    0.129379
          12    0.568856    0.873422    0.121524
          13    0.611774    0.853295    0.113831
          14    0.637641    0.837891    0.106737
          15    0.651919    0.825493    0.100339
          16    0.662231    0.815289   0.0945849
          17    0.674432    0.807004   0.0893832
          18     0.69195    0.800612   0.0846457
          19    0.715739    0.796145   0.0803085
          20    0.743845     0.79353   0.0763356
          21    0.772246    0.792516   0.0727073
          22    0.796548      0.7927   0.0694027
          23    0.813266    0.793594   0.0663909
          24    0.820737    0.794725   0.0636343
          25    0.819456    0.795714   0.0610966
          26    0.811121    0.796306   0.0587496
          27    0.797451    0.796349   0.0565737
          28    0.780007    0.795765   0.0545562
          29    0.760792    0.794559   0.0526883
          30    0.742858    0.792836   0.0509602
          31    0.729758    0.790801   0.0493569
          32    0.724108    0.788717   0.0478585
          33    0.727162    0.786852   0.0464446
          34     0.73931    0.785453   0.0450996
          35     0.75917    0.784702   0.0438173
          36    0.781903    0.784625   0.0426002
          37    0.800935    0.785065   0.0414511
          38    0.812678    0.785792   0.0403667
          39    0.818596    0.786633   0.0393404
          40    0.822641    0.787533   0.0383672
          41     0.82801    0.788521   0.0374441
          42    0.835951     0.78965   0.0365696
          43    0.845196    0.790942    0.035742
          44     0.85229    0.792336   0.0349568
          45    0.853926    0.793705   0.0342068
          46    0.848946    0.794906   0.0334842
          47    0.838222    0.795827   0.0327845
          48    0.823841    0.796411   0.0321067
          49    0.809386    0.796676   0.0314525
          50    0.799456    0.796731   0.0308235
          51    0.796635    0.796729   0.0302191
          52    0.800029    0.796793   0.0296381
          53    0.807628    0.796997   0.0290796
          54    0.817563    0.797378   0.0285436
          55    0.826666    0.797911   0.0280295
          56     0.83011    0.798486   0.0275349
          57    0.823994    0.798933   0.0270555
          58    0.809237    0.799111   0.0265896
          59    0.792701    0.799002   0.0261391
          60    0.783198    0.798739   0.0257048
          61    0.785012    0.798514   0.0252844
          62    0.794439    0.798448   0.0248767
          63    0.802192    0.798507   0.0244819
          64    0.799354    0.798521   0.0240994
          65    0.783622    0.798291   0.0237297
          66    0.762249    0.797745   0.0233764
          67    0.748763    0.797014    0.023039
          68    0.753601    0.796376    0.022709
          69    0.776137    0.796083   0.0223818
          70    0.806869    0.796237   0.0220626
          71    0.834169    0.796771   0.0217583
          72    0.848622    0.797491    0.021468
          73    0.845711    0.798152   0.0211841
          74    0.826625    0.798536   0.0209013
          75    0.797274    0.798519   0.0206226
          76    0.766555    0.798099   0.0203556
          77    0.744556    0.797404   0.0201031
          78     0.74041    0.796673   0.0198586
          79     0.75792    0.796182   0.0196133
          80    0.791476    0.796123   0.0193682
          81    0.829316    0.796533   0.0191335
          82    0.861316    0.797323   0.0189164
          83    0.882921    0.798355   0.0187166
          84    0.893323    0.799485   0.0185279
          85    0.892228    0.800576    0.018342
          86    0.879056    0.801489   0.0181514
          87     0.85272    0.802078   0.0179523
          88    0.812458    0.802196   0.0177487
          89    0.761519    0.801739   0.0175552
          90    0.710393    0.800724   0.0173894
          91    0.675123    0.799343    0.017253
          92    0.669591    0.797933   0.0171231
          93    0.696883    0.796847   0.0169734
          94    0.747723    0.796324   0.0168008
          95    0.806569    0.796432   0.0166243
          96    0.858142    0.797075   0.0164636
          97    0.890741     0.79804   0.0163222
          98    0.898127    0.799062   0.0161875
          99    0.880789    0.799887   0.0160451
         100    0.845929    0.800347   0.0158912
         101    0.805426    0.800398    0.015734
         102     0.77208     0.80012   0.0155821
