#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.47377    -5.47377           0
           2    -5.33242    -5.40309   0.0499753
           3    -5.22038    -5.34219   0.0598565
           4    -5.13742      -5.291   0.0630934
           5    -5.10802     -5.2544   0.0601591
           6    -5.15523    -5.23787   0.0523542
           7    -5.26538     -5.2418   0.0450223
           8    -5.39247    -5.26064   0.0431543
           9    -5.48919    -5.28603   0.0452183
          10    -5.53611    -5.31104   0.0471069
          11    -5.53741    -5.33162   0.0471055
          12    -5.51586    -5.34697   0.0456137
          13    -5.48931    -5.35792   0.0433992
          14    -5.47245     -5.3661   0.0410631
          15    -5.46792    -5.37289   0.0388825
          16    -5.47274    -5.37913   0.0369497
          17    -5.48093    -5.38512   0.0352581
          18     -5.4921    -5.39106   0.0337966
          19    -5.49732    -5.39665   0.0324772
          20    -5.49645    -5.40164   0.0312344
          21    -5.49022    -5.40586   0.0300304
          22    -5.47503    -5.40901   0.0288295
          23    -5.46395    -5.41139   0.0276749
          24      -5.448    -5.41292   0.0265637
          25    -5.43629    -5.41385   0.0255176
          26    -5.43012    -5.41448   0.0245438
          27    -5.42566    -5.41489   0.0236383
          28    -5.42313    -5.41519   0.0227959
          29    -5.42545    -5.41554   0.0220126
          30    -5.43287    -5.41612   0.0212864
          31    -5.44467    -5.41704   0.0206197
          32    -5.45836    -5.41833   0.0200157
          33    -5.46984    -5.41989   0.0194699
          34    -5.48124     -5.4217   0.0189807
          35    -5.48788    -5.42359   0.0185324
          36    -5.48176     -5.4252   0.0180879
          37    -5.47098    -5.42644   0.0176413
          38    -5.46116    -5.42736   0.0172007
          39    -5.45802    -5.42814   0.0167776
          40     -5.4605    -5.42895   0.0163776
          41    -5.46542    -5.42984   0.0160023
          42    -5.46903    -5.43077   0.0156485
          43     -5.4671    -5.43162   0.0153074
          44    -5.45804    -5.43222   0.0149712
          45    -5.44643    -5.43253   0.0146419
          46    -5.43573     -5.4326   0.0143237
          47    -5.43186    -5.43259    0.014019
          48    -5.43228    -5.43258   0.0137269
          49    -5.43716    -5.43268   0.0134471
          50    -5.45054    -5.43303   0.0131829
          51    -5.45972    -5.43356   0.0129348
          52    -5.46646    -5.43419   0.0127015
          53    -5.47092    -5.43488   0.0124808
          54    -5.46731    -5.43548   0.0122641
          55    -5.45969    -5.43592    0.012049
          56    -5.44512    -5.43609    0.011835
          57    -5.43129      -5.436   0.0116276
          58    -5.42455     -5.4358   0.0114288
          59    -5.43502    -5.43579   0.0112351
          60    -5.45368    -5.43609   0.0110518
          61    -5.46569    -5.43657   0.0108813
          62    -5.46407    -5.43702   0.0107148
          63    -5.44844     -5.4372   0.0105463
          64    -5.42972    -5.43708   0.0103821
          65    -5.41923    -5.43681   0.0102261
          66    -5.43061    -5.43671   0.0100715
          67    -5.46081    -5.43707  0.00992764
          68    -5.48735    -5.43781  0.00980914
          69    -5.50131    -5.43873  0.00971005
          70     -5.4976    -5.43957  0.00960768
          71    -5.47513    -5.44008   0.0094854
          72    -5.44734    -5.44018  0.00935419
          73     -5.4258    -5.43998  0.00922812
          74    -5.41126    -5.43959  0.00911158
          75    -5.40736    -5.43916  0.00900022
          76    -5.41797    -5.43888  0.00888611
          77    -5.44465    -5.43896  0.00877102
          78    -5.48024    -5.43949  0.00867453
          79    -5.50614    -5.44033  0.00860566
          80    -5.51352    -5.44125  0.00854659
          81    -5.50534    -5.44204  0.00847763
          82    -5.48806     -5.4426   0.0083928
          83    -5.47093    -5.44294  0.00829862
          84    -5.45437    -5.44308  0.00820095
          85     -5.4383    -5.44302  0.00810466
          86    -5.41842    -5.44273  0.00801546
          87    -5.39671     -5.4422  0.00794076
          88    -5.37817    -5.44148   0.0078838
          89    -5.37631    -5.44074  0.00782915
          90    -5.39705    -5.44026   0.0077572
          91    -5.43944    -5.44025  0.00767196
          92    -5.49223    -5.44081  0.00760935
          93    -5.52967    -5.44177  0.00758728
          94    -5.54336    -5.44285  0.00758314
          95    -5.53377    -5.44381  0.00756347
          96    -5.50587    -5.44445  0.00751227
          97    -5.46832     -5.4447  0.00743885
          98    -5.43024    -5.44455   0.0073644
          99    -5.40253    -5.44413  0.00730224
         100    -5.38996    -5.44359  0.00724928
         101    -5.40014    -5.44316  0.00719026
         102    -5.42573    -5.44299   0.0071218
         103    -5.45413    -5.44309  0.00705348
         104    -5.47641    -5.44341  0.00699292
         105    -5.48208    -5.44378  0.00693601
         106    -5.48175    -5.44414  0.00687982
         107    -5.47626    -5.44444  0.00682207
         108    -5.47004    -5.44468  0.00676302
