#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.381879   -0.381879           0
           2   -0.414612   -0.398246   0.0115727
           3   -0.411714   -0.402735  0.00854168
           4   -0.379555    -0.39694  0.00813796
           5    -0.35766   -0.389084  0.00957905
           6   -0.375459   -0.386813  0.00824732
           7   -0.351792    -0.38181  0.00845142
           8   -0.381919   -0.381824  0.00739501
           9   -0.394842    -0.38327  0.00671331
          10   -0.412789   -0.386222  0.00665941
          11   -0.368084   -0.384573  0.00625482
          12   -0.376258    -0.38388  0.00577185
          13   -0.356626   -0.381784   0.0056959
          14   -0.347417   -0.379329  0.00579393
          15   -0.356124   -0.377782   0.0056104
          16   -0.344903   -0.375727  0.00562351
          17   -0.388753   -0.376493  0.00534466
          18   -0.415529   -0.378662  0.00547005
          19   -0.378321   -0.378644  0.00518218
          20   -0.331274   -0.376275  0.00543745
