#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39219     1.39219           0
           2     1.39215     1.39217 1.12542e-05
           3      1.3922     1.39218 1.11193e-05
           4     1.39217     1.39218 8.43553e-06
           5     1.39221     1.39218 8.21159e-06
           6     1.39212     1.39217 1.19179e-05
           7     1.39211     1.39216 1.35278e-05
           8     1.39211     1.39216  1.3606e-05
           9     1.39213     1.39215 1.24016e-05
          10     1.39216     1.39215 1.11747e-05
          11     1.39215     1.39215 1.01768e-05
          12     1.39215     1.39215 9.35666e-06
          13     1.39219     1.39216 8.97534e-06
          14     1.39222     1.39216 9.30584e-06
          15     1.39218     1.39216 8.74753e-06
          16     1.39218     1.39216 8.30454e-06
          17      1.3922     1.39216 8.10974e-06
          18     1.39224     1.39217 8.57641e-06
          19      1.3923     1.39218 1.07029e-05
          20     1.39231     1.39218  1.1985e-05
