#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65457     1.65457           0
           2     1.64657     1.65057  0.00282964
           3     1.66375     1.65497  0.00405217
           4     1.65139     1.65407   0.0031361
           5     1.65277     1.65381  0.00251958
           6     1.64611     1.65253  0.00240463
           7     1.64314     1.65119  0.00240632
           8     1.64055     1.64986  0.00244538
           9      1.6488     1.64974  0.00217651
          10     1.65291     1.65006  0.00198176
          11     1.64673     1.64975  0.00182449
          12     1.63775     1.64875  0.00192729
          13     1.64164     1.64821  0.00185506
          14     1.64415     1.64792  0.00174508
          15     1.64554     1.64776  0.00163593
          16     1.63925     1.64723  0.00161784
          17     1.63097     1.64627   0.0017829
          18     1.65244     1.64661  0.00171646
          19     1.65028     1.64681  0.00163695
          20     1.64083     1.64651  0.00158211
