#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.03479    -5.03479           0
           2    -5.02702    -5.03091  0.00274679
           3    -5.04487    -5.03556  0.00421817
           4    -5.03272    -5.03485  0.00322265
           5    -5.03388    -5.03466  0.00258395
           6    -5.02769     -5.0335  0.00240035
           7    -5.02497    -5.03228   0.0023463
           8    -5.02276    -5.03109  0.00233503
           9    -5.03067    -5.03104  0.00207605
          10    -5.03494    -5.03143  0.00190464
          11    -5.02842    -5.03116    0.001751
          12    -5.01945    -5.03018   0.0018572
          13    -5.02403    -5.02971  0.00177367
          14     -5.0266    -5.02949  0.00166082
          15     -5.0273    -5.02934   0.0015565
          16    -5.02121    -5.02883  0.00154003
          17    -5.01351    -5.02793  0.00169277
          18    -5.03522    -5.02834  0.00164648
          19    -5.03315    -5.02859  0.00157917
          20    -5.02342    -5.02833  0.00152118
