#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.06359     2.06359           0
           2     2.11685     2.09022   0.0188305
           3     2.07196     2.08413    0.013502
           4     2.14111     2.09838   0.0159594
           5      2.0751     2.09372   0.0134292
           6     2.18573     2.10906   0.0179227
           7     2.08549     2.10569   0.0156753
           8      2.0495     2.09867   0.0152081
           9       2.117      2.1007    0.013654
          10     2.09138     2.09977   0.0123204
          11     2.15747     2.10502   0.0122663
          12      2.2302     2.11545   0.0150393
          13     2.10666     2.11477   0.0138976
          14     2.19506     2.12051   0.0140383
          15     2.16961     2.12378   0.0134787
          16     2.09761     2.12215   0.0127351
          17     2.18651     2.12593   0.0125363
          18     2.08978     2.12392   0.0119996
          19     2.04511     2.11977   0.0120638
          20      2.1253     2.12005   0.0114638
