#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10305     1.10305           0
           2     1.09771     1.10038  0.00188643
           3     1.10917     1.10331  0.00270145
           4     1.10093     1.10271  0.00209073
           5     1.10185     1.10254  0.00167972
           6     1.09741     1.10169  0.00160308
           7     1.09543     1.10079  0.00160421
           8      1.0937      1.0999  0.00163025
           9      1.0992     1.09983  0.00145101
          10     1.10194     1.10004  0.00132117
          11     1.09782     1.09984  0.00121632
          12     1.09183     1.09917  0.00128486
          13     1.09443      1.0988  0.00123671
          14      1.0961     1.09861  0.00116339
          15     1.09703     1.09851  0.00109062
          16     1.09283     1.09815  0.00107856
          17     1.08732     1.09751   0.0011886
          18     1.10162     1.09774   0.0011443
          19     1.10019     1.09787   0.0010913
          20     1.09389     1.09767  0.00105474
