#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.38022    -3.38022           0
           2    -3.38045    -3.38033 8.28479e-05
           3    -3.38112     -3.3806  0.00022069
           4    -3.38133    -3.38078   0.0002301
           5    -3.38111    -3.38085 0.000193161
           6    -3.38158    -3.38097 0.000195756
           7    -3.38183    -3.38109 0.000202858
           8    -3.38221    -3.38123 0.000220717
           9    -3.38187     -3.3813  0.00020743
          10    -3.38203    -3.38138 0.000199081
          11    -3.38169     -3.3814 0.000183043
          12     -3.3817    -3.38143 0.000169427
          13    -3.38239     -3.3815 0.000171642
          14    -3.38245    -3.38157  0.00017231
          15    -3.38176    -3.38158 0.000161281
          16    -3.38196    -3.38161 0.000152894
          17    -3.38254    -3.38166 0.000153376
          18    -3.38278    -3.38172 0.000157055
          19    -3.38287    -3.38178 0.000159882
          20    -3.38259    -3.38182 0.000156918
