#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19976     1.19976           0
           2     1.19852     1.19914 0.000439466
           3     1.19872       1.199 0.000314782
           4     1.20002     1.19926 0.000322606
           5     1.20013     1.19943 0.000301556
           6     1.19884     1.19933 0.000267079
           7     1.20011     1.19944 0.000251134
           8     1.19893     1.19938 0.000227845
           9     1.19871      1.1993 0.000214404
          10     1.19832     1.19921 0.000214317
          11     1.19829     1.19912 0.000210393
          12     1.20003      1.1992  0.00020611
          13     1.19957     1.19923 0.000192241
          14     1.19972     1.19926 0.000181656
          15     1.19888     1.19924 0.000171273
          16     1.20177     1.19939 0.000222095
          17     1.19993     1.19943 0.000211289
          18     1.20115     1.19952 0.000220229
          19     1.20182     1.19964  0.00023955
          20     1.20158     1.19974 0.000246275
