#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65188    -6.65188           0
           2    -6.65176    -6.65182 4.29204e-05
           3    -6.65223    -6.65196 0.000114431
           4    -6.65286    -6.65218 0.000214123
           5    -6.65309    -6.65236 0.000235785
           6    -6.65145    -6.65221 0.000240617
           7    -6.65246    -6.65225  0.00020885
           8     -6.6515    -6.65215 0.000202772
           9    -6.65154    -6.65209 0.000191319
          10    -6.65176    -6.65205 0.000174969
          11    -6.65254     -6.6521 0.000164653
          12    -6.65369    -6.65223 0.000197512
          13    -6.65283    -6.65228 0.000187673
          14      -6.652    -6.65226 0.000175293
          15    -6.65064    -6.65215 0.000194093
          16    -6.65154    -6.65211  0.00018564
          17    -6.64905    -6.65193 0.000246912
          18    -6.65049    -6.65185  0.00024585
          19    -6.65021    -6.65176  0.00024761
          20     -6.6498    -6.65167 0.000254055
