#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.57216     9.57216           0
           2     9.59019     9.58118  0.00637598
           3     9.72696     9.62977   0.0399034
           4     9.60229      9.6229    0.030513
           5     9.62224     9.62277   0.0244107
           6     9.67939      9.6322   0.0220912
           7     9.65536     9.63551   0.0191815
           8     9.62399     9.63407   0.0168378
           9      9.5891     9.62908   0.0156908
          10     9.67495     9.63366   0.0147771
          11     9.71438       9.641   0.0151465
          12     9.61459      9.6388   0.0140433
          13     9.73388     9.64611   0.0147452
          14      9.7111     9.65076   0.0144041
          15      9.6864     9.65313   0.0136384
          16     9.72233     9.65746   0.0134542
          17     9.64595     9.65678   0.0126798
          18     9.69406     9.65885   0.0121433
          19     9.69044     9.66051   0.0116175
          20     9.65918     9.66045   0.0110368
