#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.799843    0.799843           0
           2    0.799014    0.799428 0.000292977
           3    0.799147    0.799334 0.000209855
           4    0.800011    0.799504 0.000215071
           5    0.800085     0.79962 0.000201038
           6    0.799224    0.799554 0.000178053
           7    0.800074    0.799628 0.000167423
           8    0.799285    0.799585 0.000151897
           9    0.799138    0.799536 0.000142936
          10     0.79888     0.79947 0.000142878
          11    0.798859    0.799415 0.000140262
          12    0.800022    0.799465 0.000137407
          13    0.799714    0.799484 0.000128161
          14     0.79981    0.799508 0.000121104
          15    0.799256    0.799491 0.000114182
          16    0.801181    0.799597 0.000148063
          17    0.799956    0.799618  0.00014086
          18    0.800768    0.799682  0.00014682
          19    0.801213    0.799762   0.0001597
          20     0.80105    0.799827 0.000164183
