#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45212    -5.45212           0
           2    -5.45324    -5.45268 0.000396545
           3    -5.45351    -5.45295 0.000347743
           4    -5.45285    -5.45293 0.000261881
           5    -5.45296    -5.45293 0.000209592
           6    -5.45262    -5.45288 0.000181252
           7    -5.45235     -5.4528 0.000170549
           8    -5.45257    -5.45278  0.00015177
           9    -5.45283    -5.45278 0.000135049
          10    -5.45344    -5.45285 0.000136525
          11    -5.45425    -5.45298 0.000173997
          12    -5.45366    -5.45303 0.000168614
          13    -5.45326    -5.45305 0.000156563
          14    -5.45229      -5.453 0.000154599
          15    -5.45175    -5.45291 0.000165062
          16    -5.44977    -5.45272 0.000245205
          17    -5.44912     -5.4525 0.000308868
          18    -5.44934    -5.45233  0.00033815
          19    -5.44839    -5.45212 0.000378587
          20    -5.44822    -5.45193 0.000406814
