#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     -1.818989e-16     -1.818989e-16      0.000000e+00
           2      0.000000e+00     -9.094947e-17      6.431099e-17
           3     -1.818989e-16     -1.212660e-16      4.950662e-17
           4     -1.818989e-16     -1.364242e-16      3.938228e-17
           5      0.000000e+00     -1.091394e-16      3.985206e-17
           6      0.000000e+00     -9.094947e-17      3.712997e-17
           7      0.000000e+00     -7.795669e-17      3.402309e-17
           8      0.000000e+00     -6.821210e-17      3.113442e-17
           9      0.000000e+00     -6.063298e-17      2.858266e-17
          10      0.000000e+00     -5.456968e-17      2.635966e-17
          11      0.000000e+00     -4.960880e-17      2.442569e-17
          12      0.000000e+00     -4.547474e-17      2.273737e-17
          13      0.000000e+00     -4.197668e-17      2.125572e-17
          14      0.000000e+00     -3.897834e-17      1.994780e-17
          15      0.000000e+00     -3.637979e-17      1.878644e-17
          16      0.000000e+00     -3.410605e-17      1.774935e-17
          17     -1.818989e-16     -4.279975e-17      1.871365e-17
          18      0.000000e+00     -4.042199e-17      1.782442e-17
          19      0.000000e+00     -3.829451e-17      1.701278e-17
          20      0.000000e+00     -3.637979e-17      1.626954e-17
          21      0.000000e+00     -3.464742e-17      1.558675e-17
          22      0.000000e+00     -3.307253e-17      1.495762e-17
          23      0.000000e+00     -3.163460e-17      1.437624e-17
          24      0.000000e+00     -3.031649e-17      1.383752e-17
          25      0.000000e+00     -2.910383e-17      1.333705e-17
          26      0.000000e+00     -2.798445e-17      1.287098e-17
          27      0.000000e+00     -2.694799e-17      1.243593e-17
          28     -1.818989e-16     -3.248195e-17      1.316564e-17
          29      0.000000e+00     -3.136189e-17      1.275921e-17
          30      0.000000e+00     -3.031649e-17      1.237666e-17
          31      0.000000e+00     -2.933854e-17      1.201598e-17
          32     -1.818989e-16     -3.410605e-17      1.255069e-17
          33      0.000000e+00     -3.307253e-17      1.221284e-17
          34      0.000000e+00     -3.209981e-17      1.189232e-17
          35      0.000000e+00     -3.118268e-17      1.158785e-17
          36      0.000000e+00     -3.031649e-17      1.129829e-17
          37      0.000000e+00     -2.949713e-17      1.102260e-17
          38      0.000000e+00     -2.872089e-17      1.075983e-17
          39      0.000000e+00     -2.798445e-17      1.050911e-17
          40      0.000000e+00     -2.728484e-17      1.026964e-17
          41     -1.818989e-16     -3.105592e-17      1.068914e-17
          42     -1.818989e-16     -3.464742e-17      1.102150e-17
          43      0.000000e+00     -3.384166e-17      1.079460e-17
          44      0.000000e+00     -3.307253e-17      1.057663e-17
          45      0.000000e+00     -3.233759e-17      1.036710e-17
          46      0.000000e+00     -3.163460e-17      1.016553e-17
          47      0.000000e+00     -3.096152e-17      9.971504e-18
          48      0.000000e+00     -3.031649e-17      9.784605e-18
          49     -1.818989e-16     -3.341001e-17      1.006207e-17
          50      0.000000e+00     -3.274181e-17      9.882990e-18
          51      0.000000e+00     -3.209981e-17      9.710035e-18
          52      0.000000e+00     -3.148251e-17      9.542906e-18
          53      0.000000e+00     -3.088850e-17      9.381320e-18
          54      0.000000e+00     -3.031649e-17      9.225014e-18
          55      0.000000e+00     -2.976528e-17      9.073739e-18
          56      0.000000e+00     -2.923376e-17      8.927263e-18
          57      0.000000e+00     -2.872089e-17      8.785364e-18
          58      0.000000e+00     -2.822570e-17      8.647837e-18
          59     -1.818989e-16     -3.083033e-17      8.884852e-18
          60      0.000000e+00     -3.031649e-17      8.751617e-18
          61      0.000000e+00     -2.981950e-17      8.622248e-18
          62      0.000000e+00     -2.933854e-17      8.496583e-18
          63      0.000000e+00     -2.887285e-17      8.374469e-18
          64      0.000000e+00     -2.842171e-17      8.255761e-18
          65      0.000000e+00     -2.798445e-17      8.140320e-18
          66      0.000000e+00     -2.756045e-17      8.028017e-18
          67     -1.818989e-16     -2.986401e-17      8.232056e-18
          68      0.000000e+00     -2.942483e-17      8.122703e-18
          69      0.000000e+00     -2.899838e-17      8.016169e-18
          70      0.000000e+00     -2.858412e-17      7.912349e-18
          71      0.000000e+00     -2.818153e-17      7.811143e-18
          72      0.000000e+00     -2.779012e-17      7.712456e-18
          73      0.000000e+00     -2.740943e-17      7.616195e-18
          74      0.000000e+00     -2.703903e-17      7.522275e-18
          75      0.000000e+00     -2.667851e-17      7.430612e-18
          76      0.000000e+00     -2.632748e-17      7.341128e-18
          77      0.000000e+00     -2.598556e-17      7.253747e-18
          78      0.000000e+00     -2.565241e-17      7.168396e-18
          79      0.000000e+00     -2.532770e-17      7.085008e-18
          80     -1.818989e-16     -2.728484e-17      7.261733e-18
          81      0.000000e+00     -2.694799e-17      7.179890e-18
          82      0.000000e+00     -2.661936e-17      7.099848e-18
          83      0.000000e+00     -2.629864e-17      7.021547e-18
          84      0.000000e+00     -2.598556e-17      6.944934e-18
          85      0.000000e+00     -2.567985e-17      6.869954e-18
          86      0.000000e+00     -2.538125e-17      6.796557e-18
          87      0.000000e+00     -2.508951e-17      6.724694e-18
          88      0.000000e+00     -2.480440e-17      6.654318e-18
          89     -1.818989e-16     -2.656951e-17      6.809632e-18
          90     -1.818989e-16     -2.829539e-17      6.949239e-18
          91     -1.818989e-16     -2.998334e-17      7.074903e-18
          92     -1.818989e-16     -3.163460e-17      7.188118e-18
          93     -1.818989e-16     -3.325034e-17      7.290159e-18
          94      0.000000e+00     -3.289662e-17      7.221181e-18
          95      0.000000e+00     -3.255034e-17      7.153466e-18
          96      0.000000e+00     -3.221127e-17      7.086982e-18
          97      0.000000e+00     -3.187920e-17      7.021696e-18
          98      0.000000e+00     -3.155390e-17      6.957577e-18
          99     -1.818989e-16     -3.307253e-17      7.051088e-18
         100      0.000000e+00     -3.274181e-17      6.988329e-18
         101      0.000000e+00     -3.241763e-17      6.926653e-18
         102      0.000000e+00     -3.209981e-17      6.866032e-18
         103      0.000000e+00     -3.178816e-17      6.806440e-18
         104      0.000000e+00     -3.148251e-17      6.747853e-18
         105      0.000000e+00     -3.118268e-17      6.690246e-18
         106      0.000000e+00     -3.088850e-17      6.633595e-18
         107      0.000000e+00     -3.059982e-17      6.577877e-18
         108      0.000000e+00     -3.031649e-17      6.523070e-18
         109      0.000000e+00     -3.003836e-17      6.469152e-18
         110      0.000000e+00     -2.976528e-17      6.416103e-18
         111      0.000000e+00     -2.949713e-17      6.363901e-18
         112      0.000000e+00     -2.923376e-17      6.312528e-18
         113     -1.818989e-16     -3.058478e-17      6.399606e-18
         114      0.000000e+00     -3.031649e-17      6.349090e-18
         115      0.000000e+00     -3.005287e-17      6.299351e-18
         116      0.000000e+00     -2.979379e-17      6.250372e-18
         117     -1.818989e-16     -3.109384e-17      6.330707e-18
         118      0.000000e+00     -3.083033e-17      6.282539e-18
         119      0.000000e+00     -3.057125e-17      6.235084e-18
         120     -1.818989e-16     -3.183231e-17      6.309363e-18
         121     -1.818989e-16     -3.307253e-17      6.377949e-18
         122     -1.818989e-16     -3.429242e-17      6.441276e-18
         123      0.000000e+00     -3.401362e-17      6.394939e-18
         124      0.000000e+00     -3.373932e-17      6.349247e-18
         125     -1.818989e-16     -3.492460e-17      6.408132e-18
         126     -1.818989e-16     -3.609106e-17      6.462567e-18
         127      0.000000e+00     -3.580688e-17      6.417926e-18
         128      0.000000e+00     -3.552714e-17      6.373879e-18
         129      0.000000e+00     -3.525173e-17      6.330416e-18
         130      0.000000e+00     -3.498057e-17      6.287526e-18
         131      0.000000e+00     -3.471354e-17      6.245197e-18
         132      0.000000e+00     -3.445056e-17      6.203420e-18
         133      0.000000e+00     -3.419153e-17      6.162183e-18
         134      0.000000e+00     -3.393637e-17      6.121477e-18
         135      0.000000e+00     -3.368499e-17      6.081292e-18
         136      0.000000e+00     -3.343731e-17      6.041619e-18
         137      0.000000e+00     -3.319324e-17      6.002447e-18
         138      0.000000e+00     -3.295271e-17      5.963768e-18
         139      0.000000e+00     -3.271564e-17      5.925574e-18
         140      0.000000e+00     -3.248195e-17      5.887854e-18
         141     -1.818989e-16     -3.354165e-17      5.940693e-18
         142     -1.818989e-16     -3.458642e-17      5.990023e-18
         143      0.000000e+00     -3.434456e-17      5.953015e-18
         144      0.000000e+00     -3.410605e-17      5.916451e-18
         145     -1.818989e-16     -3.512531e-17      5.962798e-18
         146     -1.818989e-16     -3.613061e-17      6.006104e-18
         147     -1.818989e-16     -3.712223e-17      6.046551e-18
         148      0.000000e+00     -3.687141e-17      6.010896e-18
         149     -1.818989e-16     -3.784475e-17      6.048847e-18
         150      0.000000e+00     -3.759245e-17      6.013781e-18
         151     -1.818989e-16     -3.854812e-17      6.049413e-18
         152      0.000000e+00     -3.829451e-17      6.014928e-18
         153      0.000000e+00     -3.804422e-17      5.980820e-18
         154      0.000000e+00     -3.779718e-17      5.947083e-18
         155     -1.818989e-16     -3.872687e-17      5.980941e-18
         156      0.000000e+00     -3.847862e-17      5.947751e-18
         157      0.000000e+00     -3.823354e-17      5.914915e-18
         158     -1.818989e-16     -3.914281e-17      5.946958e-18
         159      0.000000e+00     -3.889663e-17      5.914649e-18
         160      0.000000e+00     -3.865352e-17      5.882676e-18
         161     -1.818989e-16     -3.954325e-17      5.913038e-18
         162     -1.818989e-16     -4.042199e-17      5.941474e-18
         163      0.000000e+00     -4.017400e-17      5.910196e-18
         164     -1.818989e-16     -4.103818e-17      5.937001e-18
         165      0.000000e+00     -4.078946e-17      5.906227e-18
         166      0.000000e+00     -4.054374e-17      5.875756e-18
         167      0.000000e+00     -4.030096e-17      5.845585e-18
         168      0.000000e+00     -4.006108e-17      5.815710e-18
         169      0.000000e+00     -3.982403e-17      5.786127e-18
         170      0.000000e+00     -3.958977e-17      5.756831e-18
         171      0.000000e+00     -3.935825e-17      5.727819e-18
         172      0.000000e+00     -3.912942e-17      5.699086e-18
         173      0.000000e+00     -3.890324e-17      5.670630e-18
         174      0.000000e+00     -3.867966e-17      5.642446e-18
         175      0.000000e+00     -3.845863e-17      5.614531e-18
         176     -1.818989e-16     -3.927363e-17      5.641473e-18
         177     -1.818989e-16     -4.007943e-17      5.666855e-18
         178      0.000000e+00     -3.985426e-17      5.639490e-18
         179     -1.818989e-16     -4.064781e-17      5.663541e-18
         180      0.000000e+00     -4.042199e-17      5.636577e-18
         181      0.000000e+00     -4.019866e-17      5.609858e-18
         182     -1.818989e-16     -4.097723e-17      5.632803e-18
         183     -1.818989e-16     -4.174730e-17      5.654416e-18
         184      0.000000e+00     -4.152041e-17      5.628235e-18
         185     -1.818989e-16     -4.227921e-17      5.648732e-18
         186     -1.818989e-16     -4.302986e-17      5.668019e-18
         187      0.000000e+00     -4.279975e-17      5.642377e-18
         188     -1.818989e-16     -4.353964e-17      5.660668e-18
