#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.280000e-01      6.400000e-02      4.525483e-02
           3      8.000000e-01      3.093333e-01      2.025731e-01
           4      3.200000e-02      2.400000e-01      1.633646e-01
           5      1.568000e+00      5.056000e-01      2.711365e-01
           6      2.880000e-01      4.693333e-01      2.283597e-01
           7      2.880000e-01      4.434286e-01      1.972007e-01
           8      1.280000e-01      4.040000e-01      1.764483e-01
           9      5.120000e-01      4.160000e-01      1.572504e-01
          10      3.200000e-02      3.776000e-01      1.461388e-01
          11      3.200000e-02      3.461818e-01      1.361888e-01
          12      1.152000e+00      4.133333e-01      1.404226e-01
          13      3.200000e-02      3.840000e-01      1.326493e-01
          14      3.200000e-02      3.588571e-01      1.255346e-01
          15      8.000000e-01      3.882667e-01      1.205613e-01
          16      3.872000e+00      6.060000e-01      2.392065e-01
          17      3.872000e+00      7.981176e-01      2.922740e-01
          18      3.200000e+00      9.315556e-01      3.049797e-01
          19      3.872000e+00      1.086316e+00      3.258368e-01
          20      3.200000e-02      1.033600e+00      3.137804e-01
          21      2.880000e-01      9.980952e-01      3.008404e-01
          22      1.280000e-01      9.585455e-01      2.897539e-01
          23      3.200000e-02      9.182609e-01      2.799423e-01
          24      3.200000e-02      8.813333e-01      2.707027e-01
          25      0.000000e+00      8.460800e-01      2.621600e-01
          26      1.280000e-01      8.184615e-01      2.535275e-01
          27      5.120000e-01      8.071111e-01      2.443916e-01
          28      2.880000e-01      7.885714e-01      2.363655e-01
          29      5.120000e-01      7.790345e-01      2.284073e-01
          30      1.280000e-01      7.573333e-01      2.218222e-01
          31      0.000000e+00      7.329032e-01      2.160078e-01
          32      0.000000e+00      7.100000e-01      2.104682e-01
          33      3.200000e-02      6.894545e-01      2.050908e-01
          34      0.000000e+00      6.691765e-01      2.000586e-01
          35      5.120000e-01      6.646857e-01      1.943931e-01
          36      5.120000e-01      6.604444e-01      1.890395e-01
          37      2.880000e-01      6.503784e-01      1.841982e-01
          38      8.000000e-01      6.543158e-01      1.793929e-01
          39      3.200000e-02      6.383590e-01      1.755013e-01
          40      2.880000e-01      6.296000e-01      1.713322e-01
          41      0.000000e+00      6.142439e-01      1.678402e-01
          42      1.280000e-01      6.026667e-01      1.642428e-01
          43      2.880000e-01      5.953488e-01      1.605861e-01
          44      2.880000e-01      5.883636e-01      1.570883e-01
          45      5.120000e-01      5.866667e-01      1.536066e-01
          46      0.000000e+00      5.739130e-01      1.507958e-01
          47      2.592000e+00      6.168511e-01      1.535789e-01
          48      1.152000e+00      6.280000e-01      1.507835e-01
          49      2.880000e-01      6.210612e-01      1.478659e-01
          50      0.000000e+00      6.086400e-01      1.454293e-01
          51      0.000000e+00      5.967059e-01      1.430666e-01
          52      3.200000e-02      5.858462e-01      1.407269e-01
          53      1.280000e-01      5.772075e-01      1.383365e-01
          54      1.152000e+00      5.878519e-01      1.361836e-01
          55      8.000000e-01      5.917091e-01      1.337622e-01
          56      1.568000e+00      6.091429e-01      1.325048e-01
          57      8.000000e-01      6.124912e-01      1.302225e-01
          58      4.608000e+00      6.813793e-01      1.450584e-01
          59      3.872000e+00      7.354576e-01      1.523469e-01
          60      3.200000e+00      7.765333e-01      1.552465e-01
          61      2.048000e+00      7.973770e-01      1.540944e-01
          62      1.280000e-01      7.865806e-01      1.519867e-01
          63      1.568000e+00      7.989841e-01      1.500795e-01
          64      5.120000e-01      7.945000e-01      1.478015e-01
          65      2.592000e+00      8.221538e-01      1.480921e-01
          66      1.568000e+00      8.334545e-01      1.462788e-01
          67      2.880000e-01      8.253134e-01      1.443219e-01
          68      1.280000e-01      8.150588e-01      1.425633e-01
          69      1.280000e-01      8.051014e-01      1.408445e-01
          70      1.280000e-01      7.954286e-01      1.391642e-01
          71      1.280000e-01      7.860282e-01      1.375213e-01
          72      1.280000e-01      7.768889e-01      1.359146e-01
          73      5.120000e-01      7.732603e-01      1.341012e-01
          74      0.000000e+00      7.628108e-01      1.326955e-01
          75      3.200000e-02      7.530667e-01      1.312835e-01
          76      3.200000e-02      7.435789e-01      1.298985e-01
          77      1.280000e-01      7.355844e-01      1.284573e-01
          78      8.000000e-01      7.364103e-01      1.268130e-01
          79      1.280000e-01      7.287089e-01      1.254414e-01
          80      0.000000e+00      7.196000e-01      1.242037e-01
          81      1.280000e-01      7.122963e-01      1.228849e-01
          82      0.000000e+00      7.036098e-01      1.216929e-01
          83      8.000000e-01      7.047711e-01      1.202323e-01
          84      2.592000e+00      7.272381e-01      1.208818e-01
          85      3.200000e-02      7.190588e-01      1.197361e-01
          86      8.000000e-01      7.200000e-01      1.183475e-01
          87      3.872000e+00      7.562299e-01      1.224072e-01
          88      1.152000e+00      7.607273e-01      1.210988e-01
          89      5.120000e-01      7.579326e-01      1.197704e-01
          90      2.048000e+00      7.722667e-01      1.192943e-01
          91      2.048000e+00      7.862857e-01      1.188042e-01
          92      2.880000e-01      7.808696e-01      1.176363e-01
          93      3.200000e-02      7.728172e-01      1.166466e-01
          94      3.200000e-02      7.649362e-01      1.156716e-01
          95      2.880000e-01      7.599158e-01      1.145629e-01
          96      1.568000e+00      7.683333e-01      1.136784e-01
          97      5.120000e-01      7.656907e-01      1.125372e-01
          98      2.880000e-01      7.608163e-01      1.114943e-01
          99      5.120000e-01      7.583030e-01      1.103965e-01
         100      3.200000e-02      7.510400e-01      1.095311e-01
         101      1.280000e-01      7.448713e-01      1.086203e-01
         102      3.200000e-02      7.378824e-01      1.077800e-01
         103      5.120000e-01      7.356893e-01      1.067559e-01
         104      1.280000e-01      7.298462e-01      1.058891e-01
         105      8.000000e-01      7.305143e-01      1.048828e-01
         106      5.120000e-01      7.284528e-01      1.039136e-01
         107      1.280000e-01      7.228411e-01      1.030938e-01
         108      1.280000e-01      7.173333e-01      1.022863e-01
         109      5.120000e-01      7.154495e-01      1.013652e-01
         110      2.880000e-01      7.115636e-01      1.005182e-01
         111      1.280000e-01      7.063063e-01      9.975001e-02
         112      2.880000e-01      7.025714e-01      9.892928e-02
         113      3.200000e-02      6.966372e-01      9.823162e-02
         114      1.280000e-01      6.916491e-01      9.749650e-02
         115      3.200000e-02      6.859130e-01      9.681729e-02
         116      3.200000e-02      6.802759e-01      9.614663e-02
         117      2.880000e-01      6.769231e-01      9.538331e-02
         118      3.200000e-02      6.714576e-01      9.473143e-02
         119      1.152000e+00      6.754958e-01      9.402140e-02
         120      1.568000e+00      6.829333e-01      9.353160e-02
         121      1.152000e+00      6.868099e-01      9.283891e-02
         122      5.120000e-01      6.853770e-01      9.208899e-02
         123      2.880000e-01      6.821463e-01      9.139695e-02
         124      1.280000e-01      6.776774e-01      9.076907e-02
         125      2.048000e+00      6.886400e-01      9.070250e-02
         126      1.280000e-01      6.841905e-01      9.009171e-02
         127      5.120000e-01      6.828346e-01      8.939253e-02
         128      8.000000e-01      6.837500e-01      8.869884e-02
         129      1.280000e-01      6.794419e-01      8.811581e-02
         130      1.280000e-01      6.752000e-01      8.754004e-02
         131      5.120000e-01      6.739542e-01      8.688066e-02
         132      2.880000e-01      6.710303e-01      8.627166e-02
         133      5.120000e-01      6.698346e-01      8.563129e-02
         134      3.200000e+00      6.887164e-01      8.704909e-02
         135      2.048000e+00      6.987852e-01      8.698465e-02
         136      1.152000e+00      7.021176e-01      8.640887e-02
         137      2.880000e-01      6.990949e-01      8.583100e-02
         138      2.880000e-01      6.961159e-01      8.526072e-02
         139      8.000000e-01      6.968633e-01      8.465061e-02
         140      2.880000e-01      6.939429e-01      8.409632e-02
         141      1.568000e+00      7.001418e-01      8.372806e-02
         142      1.152000e+00      7.033239e-01      8.319887e-02
         143      2.048000e+00      7.127273e-01      8.314675e-02
         144      8.000000e-01      7.133333e-01      8.257156e-02
         145      1.280000e-01      7.092966e-01      8.210071e-02
         146      3.200000e-02      7.046575e-01      8.166934e-02
         147      1.280000e-01      7.007347e-01      8.120792e-02
         148      8.000000e-01      7.014054e-01      8.066199e-02
         149      1.280000e-01      6.975570e-01      8.021238e-02
         150      1.152000e+00      7.005867e-01      7.973483e-02
         151      2.048000e+00      7.095099e-01      7.970453e-02
         152      1.568000e+00      7.151579e-01      7.938001e-02
         153      5.120000e-01      7.138301e-01      7.887229e-02
         154      8.000000e-01      7.143896e-01      7.836212e-02
         155      3.200000e-02      7.099871e-01      7.798013e-02
         156      1.280000e-01      7.062564e-01      7.756945e-02
         157      3.200000e-02      7.019618e-01      7.719417e-02
         158      2.880000e-01      6.993418e-01      7.675005e-02
         159      1.280000e-01      6.957484e-01      7.635142e-02
         160      1.280000e-01      6.922000e-01      7.595663e-02
         161      1.280000e-01      6.886957e-01      7.556565e-02
         162      3.200000e-02      6.846420e-01      7.520784e-02
         163      0.000000e+00      6.804417e-01      7.486364e-02
         164      3.200000e-02      6.764878e-01      7.451149e-02
         165      8.000000e-01      6.772364e-01      7.406367e-02
         166      5.120000e-01      6.762410e-01      7.362419e-02
         167      1.152000e+00      6.790898e-01      7.323843e-02
         168      5.120000e-01      6.780952e-01      7.280924e-02
         169      1.152000e+00      6.808994e-01      7.243239e-02
         170      3.872000e+00      6.996706e-01      7.439889e-02
         171      5.408000e+00      7.272047e-01      7.889447e-02
         172      2.592000e+00      7.380465e-01      7.917723e-02
         173      2.048000e+00      7.456185e-01      7.908080e-02
         174      3.200000e+00      7.597241e-01      7.987441e-02
