#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.013664    0.013664           0
           2    0.025536      0.0196  0.00419739
           3    0.014888   0.0180293  0.00307813
           4    0.017982   0.0180175  0.00230862
           5    0.010778   0.0165696   0.0022557
           6    0.010284    0.015522  0.00210903
           7     0.02066    0.016256  0.00193125
           8     0.02228    0.017009  0.00183076
           9    0.022646   0.0176353  0.00173117
          10    0.019548   0.0178266  0.00156859
          11     0.01403   0.0174815  0.00146347
          12    0.020102   0.0176998  0.00135771
          13    0.025234   0.0182794  0.00137139
          14    0.017492   0.0182231  0.00127459
          15      0.0169   0.0181349  0.00119267
          16    0.017932   0.0181222  0.00111819
          17    0.020658   0.0182714  0.00106232
          18    0.020078   0.0183718  0.00100803
          19    0.010828   0.0179747  0.00103021
          20    0.013062   0.0177291  0.00100755
           1    0.016284    0.016284           0
           2    0.015352    0.015818 0.000329512
           3    0.025736    0.019124  0.00270826
           4    0.021914   0.0198215  0.00211911
           5    0.021104    0.020078  0.00171074
           6    0.015808   0.0193663  0.00156667
           7    0.027174   0.0204817  0.00169399
           8    0.019296   0.0203335  0.00148872
           9    0.018952     0.02018  0.00133119
          10    0.020612   0.0202232  0.00119877
          11      0.0191   0.0201211  0.00109413
          12    0.024968    0.020525  0.00107493
          13     0.01699   0.0202531  0.00102606
          14    0.011204   0.0196067  0.00113829
          15    0.022412   0.0197937  0.00107766
          16    0.027446    0.020272  0.00111138
          17    0.017192   0.0200908  0.00106067
          18    0.018248   0.0199884  0.00100667
          19    0.024332   0.0202171 0.000979302
          20    0.020634   0.0202379 0.000930559
           1    0.030058    0.030058           0
           2     0.02405    0.027054  0.00212415
           3     0.02392   0.0260093  0.00165315
           4     0.03134    0.027342  0.00169389
           5      0.0257   0.0270136  0.00138658
           6    0.026674    0.026957  0.00115664
           7    0.028738   0.0272114    0.001019
           8    0.030144    0.027578 0.000955288
           9    0.030548    0.027908 0.000904349
          10    0.020972   0.0272144  0.00104663
          11    0.024914   0.0270053 0.000972148
          12    0.016012   0.0260892  0.00125037
          13    0.022984   0.0258503  0.00117679
          14    0.024524   0.0257556  0.00109654
          15    0.021526   0.0254736  0.00105907
          16    0.022384   0.0252805  0.00101033
          17    0.019752   0.0249553  0.00100187
          18    0.026766   0.0250559 0.000951245
          19    0.024222    0.025012 0.000902192
          20    0.020418   0.0247823 0.000885841
           1    0.026428    0.026428           0
           2     0.03025    0.028339  0.00135128
           3    0.032862   0.0298467  0.00152542
           4    0.023762   0.0283255  0.00174481
           5    0.027384   0.0281372  0.00140597
           6    0.029654     0.02839  0.00119415
           7    0.032726   0.0290094  0.00117327
           8    0.026922   0.0287485  0.00105522
           9    0.024874    0.028318  0.00102203
          10    0.017336   0.0272198  0.00138979
          11    0.028422   0.0273291  0.00126773
          12    0.028642   0.0274385   0.0011668
          13    0.032244   0.0278082  0.00113409
          14    0.031618   0.0280803  0.00108524
          15    0.032758   0.0283921  0.00105675
          16    0.026334   0.0282635 0.000998502
          17    0.029758   0.0283514 0.000943628
          18    0.035374   0.0287416 0.000968505
          19    0.033642   0.0289995 0.000951254
          20    0.028692   0.0289841 0.000903815
           1    0.040882    0.040882           0
           2     0.03259    0.036736  0.00293166
           3    0.029072   0.0341813  0.00285845
           4    0.024192    0.031684  0.00304525
           5    0.029262   0.0311996  0.00247443
           6    0.041922   0.0329867  0.00262931
           7     0.03065   0.0326529  0.00227479
           8      0.0354   0.0329963  0.00201619
           9    0.040318   0.0338098   0.0019494
          10     0.03998   0.0344268  0.00184953
          11    0.047116   0.0355804  0.00200918
          12    0.040392   0.0359813  0.00188134
          13    0.046556   0.0367948  0.00190437
          14    0.034228   0.0366114  0.00177715
          15     0.03251    0.036338  0.00167957
          16    0.035352   0.0362764  0.00157573
          17    0.048638   0.0370035  0.00164227
          18     0.03534   0.0369111  0.00155363
          19    0.035718   0.0368483  0.00147313
          20     0.03626   0.0368189  0.00139977
           1    0.053504    0.053504           0
           2    0.044942    0.049223  0.00302712
