#     T:     M_AVE:       ERROR:
         2.5      1.772910e-02      1.007554e-03
         2.3      2.023790e-02      9.305591e-04
         2.1      2.478230e-02      8.858407e-04
         1.9      2.898410e-02      9.038151e-04
         1.7      3.681890e-02      1.399769e-03
         1.5      4.959020e-02      1.380145e-03
         1.3      7.429520e-02      2.288996e-03
         1.1      1.062416e-01      3.418214e-03
         0.9      1.979883e-01      4.789613e-03
         0.7      4.397689e-01      9.923121e-03
         0.5      8.854206e-01      1.312622e-02
