#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.817628e-01     -3.817628e-01      0.000000e+00
           2     -3.794498e-01     -3.806063e-01      8.177973e-04
           3     -3.788506e-01     -3.800211e-01      7.249714e-04
           4     -3.817335e-01     -3.804492e-01      6.581061e-04
           5     -3.812303e-01     -3.806054e-01      5.447115e-04
           6     -3.811072e-01     -3.806890e-01      4.603031e-04
           7     -3.828134e-01     -3.809925e-01      4.843682e-04
           8     -3.825952e-01     -3.811929e-01      4.634014e-04
           9     -3.813480e-01     -3.812101e-01      4.122330e-04
          10     -3.800678e-01     -3.810959e-01      3.865122e-04
          11     -3.801399e-01     -3.810090e-01      3.610124e-04
          12     -3.798419e-01     -3.809117e-01      3.437781e-04
          13     -3.803676e-01     -3.808698e-01      3.198717e-04
          14     -3.801375e-01     -3.808175e-01      3.012705e-04
          15     -3.807054e-01     -3.808101e-01      2.812786e-04
          16     -3.805892e-01     -3.807963e-01      2.640372e-04
          17     -3.807342e-01     -3.807926e-01      2.485308e-04
          18     -3.820428e-01     -3.808621e-01      2.442364e-04
          19     -3.813229e-01     -3.808863e-01      2.325830e-04
          20     -3.809086e-01     -3.808874e-01      2.209565e-04
           1     -4.123144e-01     -4.123144e-01      0.000000e+00
           2     -4.106742e-01     -4.114943e-01      5.798841e-04
           3     -4.097372e-01     -4.109086e-01      6.149499e-04
           4     -4.112300e-01     -4.109890e-01      4.664335e-04
           5     -4.102731e-01     -4.108458e-01      3.945098e-04
           6     -4.086604e-01     -4.104816e-01      4.675802e-04
           7     -4.093276e-01     -4.103167e-01      4.288617e-04
           8     -4.097075e-01     -4.102406e-01      3.819545e-04
           9     -4.093466e-01     -4.101412e-01      3.521948e-04
          10     -4.091305e-01     -4.100402e-01      3.311601e-04
          11     -4.094422e-01     -4.099858e-01      3.054835e-04
          12     -4.089214e-01     -4.098971e-01      2.926216e-04
          13     -4.087480e-01     -4.098087e-01      2.831478e-04
          14     -4.097515e-01     -4.098046e-01      2.629524e-04
          15     -4.097685e-01     -4.098022e-01      2.454333e-04
          16     -4.100936e-01     -4.098204e-01      2.307683e-04
          17     -4.110817e-01     -4.098946e-01      2.288102e-04
          18     -4.115520e-01     -4.099867e-01      2.338919e-04
          19     -4.101731e-01     -4.099965e-01      2.217874e-04
          20     -4.083628e-01     -4.099148e-01      2.252386e-04
           1     -4.446915e-01     -4.446915e-01      0.000000e+00
           2     -4.448692e-01     -4.447804e-01      6.284765e-05
           3     -4.442224e-01     -4.445944e-01      1.575315e-04
           4     -4.436357e-01     -4.443547e-01      2.388263e-04
           5     -4.453004e-01     -4.445438e-01      2.551871e-04
           6     -4.419204e-01     -4.441066e-01      4.522644e-04
           7     -4.455066e-01     -4.443066e-01      4.296097e-04
           8     -4.424714e-01     -4.440772e-01      4.328435e-04
           9     -4.443521e-01     -4.441077e-01      3.858262e-04
          10     -4.438838e-01     -4.440854e-01      3.478927e-04
          11     -4.432971e-01     -4.440137e-01      3.235626e-04
          12     -4.434809e-01     -4.439693e-01      2.996296e-04
          13     -4.443385e-01     -4.439977e-01      2.779240e-04
