#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      1.390157e-01      1.390157e-01      0.000000e+00
           2      1.381779e-01      1.385968e-01      2.962239e-04
           3      1.375891e-01      1.382609e-01      3.379692e-04
           4      1.349446e-01      1.374318e-01      7.614349e-04
           5      1.361326e-01      1.371720e-01      6.519761e-04
           6      1.357232e-01      1.369305e-01      5.863247e-04
           7      1.341581e-01      1.365345e-01      6.221156e-04
           8      1.372508e-01      1.366240e-01      5.507569e-04
           9      1.367512e-01      1.366381e-01      4.897430e-04
          10      1.384187e-01      1.368162e-01      4.720293e-04
          11      1.362430e-01      1.367641e-01      4.319838e-04
          12      1.350627e-01      1.366223e-01      4.186055e-04
          13      1.377782e-01      1.367112e-01      3.957352e-04
          14      1.359943e-01      1.366600e-01      3.707672e-04
          15      1.365982e-01      1.366559e-01      3.460723e-04
          16      1.361434e-01      1.366239e-01      3.259218e-04
          17      1.393377e-01      1.367835e-01      3.436283e-04
          18      1.385303e-01      1.368805e-01      3.379628e-04
          19      1.379694e-01      1.369378e-01      3.249983e-04
          20      1.351275e-01      1.368473e-01      3.211058e-04
           1      1.567625e-01      1.567625e-01      0.000000e+00
           2      1.577929e-01      1.572777e-01      3.642724e-04
           3      1.568486e-01      1.571347e-01      2.694665e-04
           4      1.568319e-01      1.570590e-01      2.124650e-04
           5      1.567186e-01      1.569909e-01      1.805479e-04
           6      1.568625e-01      1.569695e-01      1.517208e-04
           7      1.579829e-01      1.571143e-01      1.867534e-04
           8      1.559907e-01      1.569738e-01      2.096719e-04
           9      1.540775e-01      1.566520e-01      3.560767e-04
          10      1.579516e-01      1.567820e-01      3.433668e-04
          11      1.563676e-01      1.567443e-01      3.142109e-04
          12      1.574137e-01      1.568001e-01      2.929360e-04
          13      1.567594e-01      1.567970e-01      2.704191e-04
          14      1.577260e-01      1.568633e-01      2.591177e-04
          15      1.552485e-01      1.567557e-01      2.632576e-04
          16      1.549306e-01      1.566416e-01      2.703900e-04
          17      1.552677e-01      1.565608e-01      2.662880e-04
          18      1.560045e-01      1.565299e-01      2.532812e-04
          19      1.572759e-01      1.565691e-01      2.429748e-04
          20      1.596965e-01      1.567255e-01      2.766028e-04
           1      1.830136e-01      1.830136e-01      0.000000e+00
           2      1.824167e-01      1.827152e-01      2.110353e-04
           3      1.820011e-01      1.824772e-01      2.399305e-04
           4      1.807920e-01      1.820559e-01      4.068070e-04
           5      1.804526e-01      1.817352e-01      4.337861e-04
           6      1.792898e-01      1.813276e-01      5.187527e-04
           7      1.823618e-01      1.814754e-01      4.652065e-04
           8      1.812539e-01      1.814477e-01      4.078783e-04
           9      1.825145e-01      1.815662e-01      3.793907e-04
          10      1.876971e-01      1.821793e-01      6.744442e-04
          11      1.804278e-01      1.820201e-01      6.316486e-04
          12      1.806930e-01      1.819095e-01      5.886123e-04
          13      1.831751e-01      1.820068e-01      5.513264e-04
          14      1.830973e-01      1.820847e-01      5.174185e-04
          15      1.836956e-01      1.821921e-01      4.939427e-04
          16      1.815428e-01      1.821515e-01      4.647357e-04
          17      1.779979e-01      1.819072e-01      4.974961e-04
          18      1.819419e-01      1.819091e-01      4.698611e-04
          19      1.836185e-01      1.819991e-01      4.536626e-04
          20      1.786451e-01      1.818314e-01      4.609344e-04
           1      2.127676e-01      2.127676e-01      0.000000e+00
           2      2.083494e-01      2.105585e-01      1.562089e-03
           3      2.145045e-01      2.118739e-01      1.495967e-03
           4      2.120618e-01      2.119208e-01      1.122713e-03
           5      2.136392e-01      2.122645e-01      9.493165e-04
           6      2.113191e-01      2.121069e-01      8.040683e-04
           7      2.098829e-01      2.117892e-01      7.493491e-04
           8      2.153112e-01      2.122295e-01      7.742788e-04
           9      2.131378e-01      2.123304e-01      6.947945e-04
          10      2.140833e-01      2.125057e-01      6.470500e-04
          11      2.130497e-01      2.125551e-01      5.901139e-04
          12      2.107213e-01      2.124023e-01      5.603761e-04
          13      2.125098e-01      2.124106e-01      5.173312e-04
          14      2.121457e-01      2.123917e-01      4.807249e-04
          15      2.112369e-01      2.123147e-01      4.547989e-04
          16      2.121599e-01      2.123050e-01      4.264768e-04
          17      2.071170e-01      2.119998e-01      4.987663e-04
          18      2.117734e-01      2.119873e-01      4.712156e-04
          19      2.107607e-01      2.119227e-01      4.508155e-04
          20      2.077109e-01      2.117121e-01      4.749217e-04
           1      2.461631e-01      2.461631e-01      0.000000e+00
           2      2.496494e-01      2.479062e-01      1.232586e-03
           3      2.475508e-01      2.477878e-01      8.273967e-04
           4      2.465878e-01      2.474878e-01      6.727376e-04
           5      2.483378e-01      2.476578e-01      5.592581e-04
           6      2.460665e-01      2.473926e-01      5.251846e-04
           7      2.468872e-01      2.473204e-01      4.550932e-04
           8      2.501823e-01      2.476781e-01      5.201421e-04
           9      2.501031e-01      2.479475e-01      5.275430e-04
          10      2.503865e-01      2.481914e-01      5.281670e-04
          11      2.478720e-01      2.481624e-01      4.809497e-04
          12      2.516153e-01      2.484501e-01      5.198682e-04
          13      2.484952e-01      2.484536e-01      4.798899e-04
          14      2.503750e-01      2.485908e-01      4.648223e-04
          15      2.495290e-01      2.486534e-01      4.380219e-04
          16      2.478201e-01      2.486013e-01      4.137304e-04
          17      2.502672e-01      2.486993e-01      4.008310e-04
          18      2.463544e-01      2.485690e-01      3.991715e-04
          19      2.546742e-01      2.488904e-01      4.907364e-04
          20      2.558790e-01      2.492398e-01      5.773553e-04
           1      2.958687e-01      2.958687e-01      0.000000e+00
           2      2.900920e-01      2.929804e-01      2.042377e-03
           3      2.953067e-01      2.937558e-01      1.501589e-03
           4      2.906394e-01      2.929767e-01      1.312839e-03
           5      2.954830e-01      2.934780e-01      1.141958e-03
           6      2.963398e-01      2.939549e-01      1.046510e-03
           7      2.900011e-01      2.933901e-01      1.038310e-03
           8      2.870994e-01      2.926038e-01      1.168951e-03
           9      2.994522e-01      2.933647e-01      1.262677e-03
          10      2.926560e-01      2.932938e-01      1.138396e-03
          11      2.896531e-01      2.929629e-01      1.081950e-03
          12      2.844515e-01      2.922536e-01      1.201996e-03
          13      2.941295e-01      2.923979e-01      1.118163e-03
          14      3.008247e-01      2.929998e-01      1.189318e-03
          15      2.915010e-01      2.928999e-01      1.114219e-03
          16      2.918003e-01      2.928311e-01      1.046698e-03
          17      2.948507e-01      2.929499e-01      9.918461e-04
          18      2.954712e-01      2.930900e-01      9.465824e-04
          19      2.850908e-01      2.926690e-01      9.859527e-04
          20      2.960337e-01      2.928372e-01      9.509002e-04
           1      3.503058e-01      3.503058e-01      0.000000e+00
           2      3.448523e-01      3.475790e-01      1.928104e-03
           3      3.448725e-01      3.466768e-01      1.481507e-03
           4      3.454572e-01      3.463719e-01      1.142076e-03
           5      3.506295e-01      3.472235e-01      1.189472e-03
           6      3.493401e-01      3.475762e-01      1.042230e-03
           7      3.389676e-01      3.463464e-01      1.447209e-03
           8      3.462139e-01      3.463299e-01      1.266402e-03
           9      3.484433e-01      3.465647e-01      1.147255e-03
          10      3.389940e-01      3.458076e-01      1.257760e-03
          11      3.422333e-01      3.454827e-01      1.184647e-03
          12      3.441580e-01      3.453723e-01      1.091058e-03
          13      3.417997e-01      3.450975e-01      1.041166e-03
          14      3.409979e-01      3.448046e-01      1.007134e-03
          15      3.529029e-01      3.453445e-01      1.075000e-03
          16      3.485570e-01      3.455453e-01      1.026391e-03
          17      3.364822e-01      3.450122e-01      1.095758e-03
          18      3.398077e-01      3.447230e-01      1.072353e-03
          19      3.527710e-01      3.451466e-01      1.096382e-03
          20      3.471919e-01      3.452489e-01      1.046322e-03
           1      3.825144e-01      3.825144e-01      0.000000e+00
           2      3.962703e-01      3.893923e-01      4.863458e-03
           3      3.953258e-01      3.913702e-01      3.622210e-03
           4      3.878895e-01      3.905000e-01      2.819242e-03
           5      4.011876e-01      3.926375e-01      2.956686e-03
           6      3.904415e-01      3.922715e-01      2.486456e-03
           7      4.076537e-01      3.944690e-01      2.946388e-03
           8      4.006971e-01      3.952475e-01      2.678970e-03
           9      3.941281e-01      3.951231e-01      2.384192e-03
          10      3.861392e-01      3.942247e-01      2.308840e-03
          11      4.083358e-01      3.955075e-01      2.429324e-03
          12      4.031540e-01      3.961448e-01      2.308937e-03
          13      3.935722e-01      3.959469e-01      2.139790e-03
          14      4.081187e-01      3.968163e-01      2.156353e-03
          15      4.015320e-01      3.971307e-01      2.035385e-03
          16      4.033166e-01      3.975173e-01      1.944546e-03
          17      4.006342e-01      3.977006e-01      1.838784e-03
          18      3.851120e-01      3.970013e-01      1.864894e-03
          19      3.964768e-01      3.969737e-01      1.766946e-03
          20      4.090404e-01      3.975770e-01      1.778625e-03
           1      4.362704e-01      4.362704e-01      0.000000e+00
           2      4.431948e-01      4.397326e-01      2.448161e-03
           3      4.331013e-01      4.375222e-01      2.433331e-03
           4      4.520765e-01      4.411608e-01      3.641433e-03
           5      4.383871e-01      4.406060e-01      2.955099e-03
           6      4.363569e-01      4.398978e-01      2.546026e-03
           7      4.303378e-01      4.385321e-01      2.522146e-03
           8      4.461967e-01      4.394902e-01      2.381905e-03
           9      4.458809e-01      4.402003e-01      2.220569e-03
          10      4.368111e-01      4.398613e-01      2.024211e-03
          11      4.350620e-01      4.394250e-01      1.886626e-03
          12      4.451140e-01      4.398991e-01      1.787979e-03
          13      4.356223e-01      4.395701e-01      1.680436e-03
          14      4.542292e-01      4.406172e-01      1.858205e-03
          15      4.310259e-01      4.399778e-01      1.841055e-03
          16      4.270138e-01      4.391675e-01      1.895919e-03
          17      4.150886e-01      4.377511e-01      2.252167e-03
          18      4.403948e-01      4.378980e-01      2.131830e-03
          19      4.239125e-01      4.371619e-01      2.142940e-03
          20      4.264518e-01      4.366264e-01      2.101639e-03
           1      4.241287e-01      4.241287e-01      0.000000e+00
           2      4.589866e-01      4.415576e-01      1.232412e-02
           3      4.499109e-01      4.443420e-01      8.524817e-03
           4      4.444888e-01      4.443787e-01      6.393692e-03
           5      4.470773e-01      4.449184e-01      5.137682e-03
           6      4.134443e-01      4.396728e-01      6.423511e-03
           7      4.787461e-01      4.452547e-01      7.551233e-03
           8      3.967057e-01      4.391860e-01      8.710993e-03
           9      4.221325e-01      4.372912e-01      7.946518e-03
          10      4.176835e-01      4.353304e-01      7.389813e-03
          11      4.461729e-01      4.363161e-01      6.783430e-03
          12      4.621469e-01      4.384687e-01      6.550781e-03
          13      4.158947e-01      4.367322e-01      6.272801e-03
          14      4.491255e-01      4.376175e-01      5.886875e-03
          15      4.126059e-01      4.359500e-01      5.725698e-03
          16      4.149333e-01      4.346365e-01      5.516457e-03
          17      4.408423e-01      4.350015e-01      5.204024e-03
          18      4.116284e-01      4.337030e-01      5.074327e-03
          19      4.130454e-01      4.326158e-01      4.922358e-03
          20      3.937680e-01      4.306734e-01      5.044944e-03
           1      3.209444e-01      3.209444e-01      0.000000e+00
           2      3.155354e-01      3.182399e-01      1.912379e-03
           3      3.417728e-01      3.260842e-01      6.530509e-03
           4      3.516664e-01      3.324797e-01      7.393691e-03
           5      2.823096e-01      3.224457e-01      1.074858e-02
           6      3.433905e-01      3.259365e-01      9.507113e-03
           7      3.631022e-01      3.312459e-01      9.516716e-03
           8      3.613371e-01      3.350073e-01      9.039947e-03
           9      3.769395e-01      3.396664e-01      9.157784e-03
          10      3.564925e-01      3.413490e-01      8.395159e-03
          11      3.161138e-01      3.390549e-01      7.939229e-03
          12      3.035947e-01      3.360999e-01      7.808219e-03
          13      3.351820e-01      3.360293e-01      7.207906e-03
          14      2.745280e-01      3.316363e-01      7.919380e-03
          15      2.949247e-01      3.291889e-01      7.760396e-03
          16      2.718775e-01      3.256069e-01      8.059751e-03
          17      3.057601e-01      3.244395e-01      7.669735e-03
          18      3.157198e-01      3.239551e-01      7.258921e-03
          19      2.830733e-01      3.218034e-01      7.188700e-03
          20      2.310926e-01      3.172678e-01      8.135196e-03
