#     T:    CV_AVE:      ERROR:
2.500000e+00      1.368473e-01      3.211058e-04
2.300000e+00      1.567255e-01      2.766028e-04
2.100000e+00      1.818314e-01      4.609344e-04
1.900000e+00      2.117121e-01      4.749217e-04
1.700000e+00      2.492398e-01      5.773553e-04
1.500000e+00      2.928372e-01      9.509002e-04
1.300000e+00      3.452489e-01      1.046322e-03
1.100000e+00      3.975770e-01      1.778625e-03
9.000000e-01      4.366264e-01      2.101639e-03
7.000000e-01      4.306734e-01      5.044944e-03
5.000000e-01      3.172678e-01      8.135196e-03
