#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      8.651184e-01      8.651184e-01      0.000000e+00
           2      8.899152e-01      8.775168e-01      8.766993e-03
           3      9.049712e-01      8.866683e-01      9.486462e-03
           4      8.630128e-01      8.807544e-01      8.766493e-03
           5      8.910592e-01      8.828154e-01      7.251410e-03
           6      8.794560e-01      8.822555e-01      6.064418e-03
           7      9.059488e-01      8.856402e-01      6.069589e-03
           8      8.868608e-01      8.857928e-01      5.312808e-03
           9      8.681760e-01      8.838354e-01      5.070281e-03
          10      8.985520e-01      8.853070e-01      4.772053e-03
          11      9.197408e-01      8.884374e-01      5.265781e-03
          12      8.937056e-01      8.888764e-01      4.845233e-03
          13      8.819568e-01      8.883441e-01      4.501664e-03
          14      8.678464e-01      8.868800e-01      4.411793e-03
          15      9.010928e-01      8.878275e-01      4.218196e-03
          16      9.050448e-01      8.889036e-01      4.089512e-03
          17      8.890512e-01      8.889123e-01      3.848962e-03
          18      8.833360e-01      8.886025e-01      3.647576e-03
          19      8.854736e-01      8.884378e-01      3.459314e-03
          20      8.920800e-01      8.886199e-01      3.291138e-03
           1      1.003466e+00      1.003466e+00      0.000000e+00
           2      1.040530e+00      1.021998e+00      1.310423e-02
           3      1.022791e+00      1.022263e+00      8.738816e-03
           4      1.042776e+00      1.027391e+00      7.917113e-03
           5      1.024463e+00      1.026805e+00      6.355315e-03
           6      1.064659e+00      1.033114e+00      7.824196e-03
           7      1.031963e+00      1.032950e+00      6.708181e-03
           8      1.036805e+00      1.033432e+00      5.886944e-03
           9      1.034904e+00      1.033595e+00      5.235112e-03
          10      1.077357e+00      1.037971e+00      6.279692e-03
          11      1.024144e+00      1.036714e+00      5.833263e-03
          12      1.045271e+00      1.037428e+00      5.390565e-03
          13      1.024334e+00      1.036420e+00      5.069129e-03
          14      1.041670e+00      1.036795e+00      4.720894e-03
          15      1.039212e+00      1.036956e+00      4.408917e-03
          16      1.046913e+00      1.037579e+00      4.177045e-03
          17      1.070294e+00      1.039503e+00      4.352122e-03
          18      9.965061e-01      1.037114e+00      4.720580e-03
          19      1.063555e+00      1.038506e+00      4.672746e-03
          20      1.058009e+00      1.039481e+00      4.539717e-03
           1      1.242179e+00      1.242179e+00      0.000000e+00
           2      1.229074e+00      1.235627e+00      4.633233e-03
           3      1.243981e+00      1.238411e+00      3.835460e-03
           4      1.231606e+00      1.236710e+00      3.232018e-03
           5      1.281086e+00      1.245585e+00      8.348649e-03
           6      1.253552e+00      1.246913e+00      7.062018e-03
           7      1.266370e+00      1.249693e+00      6.577438e-03
           8      1.213850e+00      1.245212e+00      7.119518e-03
           9      1.254790e+00      1.246276e+00      6.407512e-03
          10      1.244470e+00      1.246096e+00      5.769305e-03
          11      1.237516e+00      1.245316e+00      5.297283e-03
          12      1.236316e+00      1.244566e+00      4.908645e-03
          13      1.270307e+00      1.246546e+00      4.914217e-03
          14      1.243408e+00      1.246322e+00      4.568311e-03
          15      1.231503e+00      1.245334e+00      4.369275e-03
          16      1.247187e+00      1.245450e+00      4.097729e-03
          17      1.246669e+00      1.245521e+00      3.857314e-03
          18      1.206950e+00      1.243379e+00      4.196212e-03
          19      1.194874e+00      1.240826e+00      4.688020e-03
          20      1.236478e+00      1.240608e+00      4.458656e-03
           1      1.536478e+00      1.536478e+00      0.000000e+00
           2      1.504642e+00      1.520560e+00      1.125565e-02
           3      1.537322e+00      1.526147e+00      8.781742e-03
           4      1.610267e+00      1.547177e+00      1.936686e-02
           5      1.513179e+00      1.540378e+00      1.664442e-02
           6      1.530678e+00      1.538761e+00      1.394864e-02
           7      1.491886e+00      1.532065e+00      1.346778e-02
