#     T:   X_AVE:       ERROR:
2.500000e+00      8.886199e-01      3.291138e-03
2.300000e+00      1.039481e+00      4.539717e-03
2.100000e+00      1.240608e+00      4.458656e-03
1.900000e+00      1.520003e+00      6.847484e-03
1.700000e+00      1.898573e+00      1.008681e-02
1.500000e+00      2.536785e+00      1.262014e-02
1.300000e+00      3.583709e+00      2.146002e-02
1.100000e+00      5.671340e+00      4.434288e-02
9.000000e-01      1.011250e+01      1.108160e-01
7.000000e-01      2.444984e+01      5.036611e-01
5.000000e-01      7.962382e+01      8.430369e-01
