#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.811280e-01     -3.811280e-01      0.000000e+00
           2     -3.768120e-01     -3.789700e-01      1.525936e-03
           3     -3.811680e-01     -3.797027e-01      1.180147e-03
           4     -3.802960e-01     -3.798510e-01      8.943840e-04
           5     -3.795320e-01     -3.797872e-01      7.177792e-04
           6     -3.808240e-01     -3.799600e-01      6.185999e-04
           7     -3.809800e-01     -3.801057e-01      5.471212e-04
           8     -3.808800e-01     -3.802025e-01      4.872166e-04
           9     -3.804240e-01     -3.802271e-01      4.337025e-04
          10     -3.787120e-01     -3.800756e-01      4.159559e-04
          11     -3.801440e-01     -3.800818e-01      3.781882e-04
          12     -3.824080e-01     -3.802757e-01      3.932272e-04
          13     -3.812520e-01     -3.803508e-01      3.700814e-04
          14     -3.783760e-01     -3.802097e-01      3.695519e-04
          15     -3.793440e-01     -3.801520e-01      3.493928e-04
          16     -3.787360e-01     -3.800635e-01      3.385786e-04
          17     -3.797360e-01     -3.800442e-01      3.192098e-04
          18     -3.787840e-01     -3.799742e-01      3.090587e-04
          19     -3.802440e-01     -3.799884e-01      2.931184e-04
          20     -3.787600e-01     -3.799270e-01      2.848250e-04
           1     -4.121640e-01     -4.121640e-01      0.000000e+00
           2     -4.077920e-01     -4.099780e-01      1.545735e-03
           3     -4.091200e-01     -4.096920e-01      1.056618e-03
           4     -4.084560e-01     -4.093830e-01      8.364262e-04
           5     -4.116880e-01     -4.098440e-01      7.859812e-04
           6     -4.092840e-01     -4.097507e-01      6.605026e-04
           7     -4.072200e-01     -4.093891e-01      6.576841e-04
           8     -4.109920e-01     -4.095895e-01      6.052231e-04
           9     -4.070680e-01     -4.093093e-01      5.993247e-04
          10     -4.100120e-01     -4.093796e-01      5.434958e-04
          11     -4.093800e-01     -4.093796e-01      4.940871e-04
          12     -4.098160e-01     -4.094160e-01      4.542493e-04
          13     -4.092160e-01     -4.094006e-01      4.195675e-04
          14     -4.095640e-01     -4.094123e-01      3.897607e-04
          15     -4.069040e-01     -4.092451e-01      3.980345e-04
          16     -4.095680e-01     -4.092652e-01      3.736688e-04
          17     -4.111800e-01     -4.093779e-01      3.682722e-04
          18     -4.079400e-01     -4.092980e-01      3.563710e-04
          19     -4.091680e-01     -4.092912e-01      3.376803e-04
          20     -4.092320e-01     -4.092882e-01      3.208093e-04
           1     -4.425840e-01     -4.425840e-01      0.000000e+00
           2     -4.426160e-01     -4.426000e-01      1.131371e-05
           3     -4.432960e-01     -4.428320e-01      1.895773e-04
           4     -4.430040e-01     -4.428750e-01      1.469787e-04
           5     -4.445520e-01     -4.432104e-01      3.222116e-04
