#     T:   TE_AVE:      ERROR:
2.500000e+00     -3.799270e-01      2.848250e-04
2.300000e+00     -4.092882e-01      3.208093e-04
2.100000e+00     -4.431690e-01      2.293059e-04
1.900000e+00     -4.827100e-01      3.418468e-04
1.700000e+00     -5.292502e-01      3.327271e-04
1.500000e+00     -5.828478e-01      2.841136e-04
1.300000e+00     -6.464800e-01      2.550605e-04
1.100000e+00     -7.212182e-01      3.487603e-04
9.000000e-01     -8.043806e-01      6.301741e-04
7.000000e-01     -8.913876e-01      7.253786e-04
5.000000e-01     -9.749014e-01      8.843377e-04
