#   N_BLOCK:  ACCEPTANCE:
           1    0.615191
           2    0.616175
           3    0.616471
           4    0.616346
           5    0.616381
           6    0.616393
           7    0.616282
           8    0.616226
           9    0.616273
          10    0.616306
          11    0.616313
          12    0.616403
          13    0.616389
          14    0.616425
          15    0.616448
          16     0.61645
          17    0.616427
          18    0.616383
          19    0.616359
          206.163313e-01
           1    0.585904
           2    0.585923
           3    0.586311
           4    0.586492
           5    0.586588
           6    0.586672
           7    0.586837
           8    0.586771
           9    0.586834
          10    0.586979
          11    0.586984
          12    0.587022
          13     0.58704
          14    0.586952
          15    0.586889
          16     0.58682
          17    0.586796
          18    0.586791
          19    0.586806
          205.868272e-01
           1      0.5532
           2    0.552642
           3    0.552417
           4    0.552272
           5    0.552132
           6     0.55256
           7    0.552603
           8    0.552785
           9    0.552804
          10    0.552883
          11    0.552875
          12    0.552884
          13    0.552819
          14    0.552879
          15    0.552815
          16    0.552788
          17    0.552719
          18    0.552749
          19    0.552747
          205.527227e-01
           1    0.511449
           2    0.512621
           3    0.512957
           4    0.512711
           5    0.512342
           6    0.512408
           7    0.512508
           8    0.512665
           9    0.512566
          10    0.512612
          11    0.512739
          12    0.512702
          13    0.512652
          14    0.512803
          15    0.512866
          16    0.512885
          17    0.512804
          18    0.512799
          19    0.512861
          205.128221e-01
           1    0.466942
           2    0.467721
           3     0.46715
           4    0.467201
           5    0.467028
           6    0.466765
           7    0.466683
           8    0.466846
           9    0.466735
          10    0.466648
          11    0.466683
          12    0.466736
          13    0.467008
          14    0.466905
          15    0.466882
          16      0.4668
          17    0.466804
          18    0.466842
          19    0.466791
          204.667926e-01
           1    0.411342
           2    0.412052
           3    0.411966
           4     0.41253
           5    0.412374
           6    0.412598
           7    0.412711
           8    0.412642
           9    0.412273
          10    0.412268
          11     0.41216
          12    0.412207
          13    0.412331
          14    0.412402
          15    0.412314
          16    0.412291
          17    0.412254
          18    0.412244
          19    0.412173
          204.122060e-01
           1    0.347195
           2     0.34756
           3    0.347565
           4    0.347392
           5    0.347426
           6    0.347346
           7    0.347107
           8    0.347181
           9    0.347378
          10    0.347671
          11    0.347716
          12    0.347859
          13    0.347745
          14    0.347749
          15    0.347793
          16    0.347915
          17    0.348019
          18    0.348121
          19     0.34819
          203.482185e-01
           1    0.271309
           2    0.271712
           3    0.272308
           4    0.272883
           5    0.273009
           6    0.273212
           7    0.273413
           8    0.273666
           9    0.273682
          10    0.273727
          11      0.2739
          12    0.273817
          13    0.273654
          14    0.273456
          15      0.2735
          16    0.273343
          17    0.273299
          18    0.273175
          19    0.273175
          202.730086e-01
           1     0.18791
           2    0.189182
           3    0.187887
           4    0.187524
           5    0.187289
           6    0.187568
           7    0.187398
           8    0.187405
           9    0.187459
          10     0.18759
          11    0.187524
          12    0.187526
          13     0.18777
          14    0.187544
          15    0.187495
          16    0.187588
          17    0.187637
          18    0.187787
          19    0.187825
          201.877809e-01
           1   0.0937882
           2   0.0935771
           3   0.0925126
           4   0.0915746
           5   0.0925682
           6   0.0932923
           7    0.093691
           8   0.0936498
           9   0.0939448
          10   0.0939763
          11   0.0941906
          12     0.09474
          13   0.0947756
          14   0.0945504
          15   0.0947367
          16    0.094664
          17   0.0950305
          18   0.0949667
          19   0.0948726
          209.491826e-02
           1   0.0124191
           2   0.0135329
           3   0.0148235
           4   0.0139851
           5   0.0144218
           6   0.0139998
           7   0.0137882
           8   0.0136744
           9    0.013834
          10   0.0142849
          11   0.0142788
          12   0.0144055
          13   0.0145619
          14   0.0143906
          15   0.0140924
          16   0.0140848
          17   0.0138946
          18   0.0138971
          19   0.0140755
          201.408005e-02
