#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.020742    0.020742           0
           2    0.016688    0.018715  0.00143331
           3    0.024128   0.0205193  0.00175598
           4    0.017276   0.0197085  0.00149249
           5    0.014114   0.0185896  0.00155794
           6    0.019362   0.0187183  0.00130359
           7    0.017272   0.0185117  0.00113362
           8    0.019358   0.0186175  0.00099684
           9    0.014002   0.0181047  0.00100941
          10     0.01279   0.0175732  0.00103901
          11    0.014996   0.0173389 0.000970607
          12    0.015296   0.0171687  0.00090453
          13    0.019178   0.0173232 0.000848053
          14    0.017476   0.0173341 0.000787548
          15    0.018668   0.0174231 0.000740048
          16     0.01806   0.0174629 0.000694865
          17    0.020312   0.0176305 0.000673899
          18    0.018942   0.0177033 0.000640387
          19    0.016344   0.0176318 0.000610666
          20    0.015232   0.0175118 0.000591804
           1     0.02752     0.02752           0
           2    0.022512    0.025016   0.0017706
           3    0.027458     0.02583  0.00135465
           4    0.023702    0.025298  0.00111557
           5    0.016454   0.0235292  0.00181642
           6    0.014622   0.0220447  0.00203169
           7    0.017578   0.0214066  0.00183893
           8    0.019376   0.0211528  0.00162648
           9    0.017928   0.0207944  0.00148471
          10    0.019526   0.0206676  0.00134164
          11     0.01911    0.020526  0.00122712
          12    0.017468   0.0202712  0.00115102
          13       0.023   0.0204811  0.00108145
          14    0.023174   0.0206734  0.00102117
          15    0.017424   0.0204568 0.000975797
          16    0.019078   0.0203706 0.000918607
          17    0.022486   0.0204951 0.000872959
          18    0.022398   0.0206008 0.000830838
          19    0.019854   0.0205615 0.000788039
          20     0.01814   0.0204404 0.000757881
           1    0.022374    0.022374           0
           2    0.025462    0.023918  0.00109177
           3     0.01932   0.0223853  0.00144769
           4    0.028386   0.0238855  0.00169315
           5    0.019218    0.022952  0.00159118
           6    0.023418   0.0230297  0.00132788
           7    0.034332   0.0246443  0.00187884
           8     0.01977    0.024035  0.00173997
           9    0.025006   0.0241429  0.00154998
          10    0.029592   0.0246878  0.00148769
          11    0.025454   0.0247575  0.00135407
          12    0.020446   0.0243982  0.00128802
          13    0.024326   0.0243926  0.00118895
          14    0.026894   0.0245713  0.00111737
          15    0.026538   0.0247024  0.00105055
          16    0.022296    0.024552 0.000995594
          17     0.02613   0.0246448 0.000941347
          18    0.026078   0.0247244  0.00089241
          19     0.02818   0.0249063 0.000863775
          20    0.028552   0.0250886   0.0008396
           1    0.029492    0.029492           0
           2    0.027274    0.028383 0.000784181
           3    0.032802    0.029856  0.00131141
           4    0.033006   0.0306435  0.00119687
           5     0.03447   0.0314088  0.00117701
           6    0.033098   0.0316903  0.00101395
           7    0.035612   0.0322506  0.00101211
           8     0.02312   0.0311093  0.00138711
           9     0.03075   0.0310693  0.00123356
          10    0.026534   0.0306158  0.00119066
          11     0.03592    0.031098  0.00117601
          12    0.036866   0.0315787  0.00117213
          13    0.025524   0.0311129  0.00117085
          14    0.034686   0.0313681  0.00111469
          15    0.030908   0.0313375   0.0010408
          16    0.031576   0.0313524 0.000975854
          17    0.036968   0.0316827 0.000972755
          18    0.026248   0.0313808 0.000964432
          19    0.027072    0.031154 0.000939957
          20    0.028278   0.0310102 0.000903892
           1    0.033078    0.033078           0
           2    0.038082     0.03558  0.00176918
           3    0.039496   0.0368853  0.00158967
           4    0.043884    0.038635  0.00192807
           5    0.044902   0.0398884  0.00190683
           6    0.034646   0.0390147  0.00177797
           7     0.04757   0.0402369  0.00189812
           8    0.032386   0.0392555  0.00189766
           9    0.035374   0.0388242  0.00173512
          10      0.0372   0.0386618  0.00156919
          11    0.037564    0.038562  0.00142971
          12     0.03781   0.0384993  0.00131194
          13    0.034754   0.0382112  0.00124225
          14    0.034224   0.0379264  0.00118572
          15     0.03956   0.0380353  0.00111166
          16    0.038824   0.0380846  0.00104327
          17    0.042998   0.0383736  0.00102116
          18    0.047054   0.0388559  0.00107226
          19    0.041752   0.0390083  0.00102661
          20    0.046302    0.039373  0.00103803
           1    0.056816    0.056816           0
           2     0.05178    0.054298  0.00178049
           3    0.053356    0.053984  0.00121437
           4    0.049712    0.052916  0.00129807
           5    0.054634   0.0532596  0.00108298
           6    0.042674   0.0514953  0.00184617
           7     0.04909   0.0511517  0.00161409
           8     0.05439   0.0515565  0.00146221
           9    0.045906   0.0509287  0.00142818
          10      0.0553   0.0513658   0.0013506
          11    0.050332   0.0512718  0.00123109
          12    0.052158   0.0513457  0.00113071
          13    0.042012   0.0506277  0.00125108
          14    0.057796   0.0511397  0.00126215
          15    0.050618   0.0511049  0.00117849
          16     0.04083   0.0504628  0.00126779
          17    0.059558   0.0509978  0.00130121
          18    0.063792   0.0517086  0.00140976
          19    0.055864   0.0519273  0.00135242
          20    0.049844   0.0518231   0.0012888
           1    0.055814    0.055814           0
           2    0.079032    0.067423   0.0082088
           3    0.068584     0.06781  0.00548165
           4    0.066874    0.067576  0.00411623
           5    0.067548   0.0675704  0.00329299
           6     0.07559    0.068907  0.00300319
           7    0.054458   0.0668429  0.00320598
           8    0.086846   0.0693433  0.00365237
           9    0.068464   0.0692456  0.00324786
          10     0.07991    0.070312  0.00309321
          11    0.071924   0.0704585  0.00281547
          12    0.059236   0.0695233  0.00273176
          13      0.0722   0.0697292  0.00252938
          14    0.075886    0.070169  0.00238663
          15    0.070174   0.0701693  0.00222752
          16     0.07257   0.0703194  0.00209335
          17    0.067112   0.0701307  0.00197869
          18    0.066082   0.0699058  0.00188151
          19    0.086132   0.0707598  0.00196677
          20    0.070168   0.0707302  0.00186865
           1     0.11169     0.11169           0
           2    0.139896    0.125793  0.00997233
           3     0.09973    0.117105  0.00972193
           4    0.106998    0.114578  0.00761274
           5    0.092134     0.11009  0.00729456
           6    0.114464    0.110819  0.00611513
           7    0.089412    0.107761  0.00595732
           8    0.123876    0.109775  0.00554278
           9    0.120284    0.110943  0.00504841
          10    0.117616     0.11161  0.00458747
          11     0.10658    0.111153  0.00419315
          12    0.103844    0.110544  0.00388771
          13     0.11612    0.110973  0.00361224
          14    0.125634     0.11202  0.00350274
          15    0.123242    0.112768  0.00334817
          16    0.113712    0.112827  0.00313943
          17    0.103452    0.112276   0.0030028
          18    0.107742    0.112024  0.00284652
          19    0.094318    0.111092  0.00284515
          20    0.107772    0.110926  0.00270773
           1    0.223872    0.223872           0
           2     0.17543    0.199651   0.0171268
           3    0.209698       0.203   0.0117408
           4    0.247722    0.214181   0.0130878
           5    0.195136    0.210372   0.0110106
           6    0.184624     0.20608  0.00997672
           7    0.194974    0.204494  0.00867672
           8    0.211962    0.205427  0.00764218
           9    0.223124    0.207394  0.00704147
          10    0.154476    0.202102   0.0080848
          11    0.176298    0.199756   0.0076826
          12    0.234222    0.202628  0.00756023
          13    0.228262      0.2046  0.00723125
          14     0.21778    0.205541  0.00677574
          15     0.20755    0.205675  0.00632534
          16    0.181736    0.204179   0.0061044
          17    0.202772    0.204096  0.00574588
          18    0.178024    0.202648  0.00560626
          19    0.208796    0.202971  0.00532053
          20    0.223008    0.203973  0.00514796
           1    0.457502    0.457502           0
           2    0.430524    0.444013  0.00953816
           3    0.388392    0.425473   0.0164194
           4     0.48121    0.439407   0.0172416
