#     T:     M_AVE:       ERROR:
         2.5      1.751180e-02      5.918035e-04
         2.3      2.044040e-02      7.578805e-04
         2.1      2.508860e-02      8.396000e-04
         1.9      3.101020e-02      9.038918e-04
         1.7      3.937300e-02      1.038031e-03
         1.5      5.182310e-02      1.288800e-03
         1.3      7.073020e-02      1.868655e-03
         1.1      1.109258e-01      2.707733e-03
         0.9      2.039733e-01      5.147956e-03
         0.7      4.188820e-01      1.088996e-02
         0.5      8.799351e-01      1.528940e-02
