#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      1.371655e-01      1.371655e-01      0.000000e+00
           2      1.376351e-01      1.374003e-01      1.660463e-04
           3      1.346363e-01      1.364790e-01      7.603717e-04
           4      1.339741e-01      1.358527e-01      7.869755e-04
           5      1.386406e-01      1.364103e-01      8.031741e-04
           6      1.359711e-01      1.363371e-01      6.726388e-04
           7      1.369461e-01      1.364241e-01      5.821454e-04
           8      1.374272e-01      1.365495e-01      5.227065e-04
           9      1.376786e-01      1.366750e-01      4.794462e-04
          10      1.386826e-01      1.368757e-01      4.716676e-04
          11      1.366389e-01      1.368542e-01      4.292799e-04
          12      1.355456e-01      1.367451e-01      4.071211e-04
          13      1.373955e-01      1.367952e-01      3.788655e-04
          14      1.377983e-01      1.368668e-01      3.585146e-04
          15      1.380148e-01      1.369434e-01      3.426848e-04
          16      1.405575e-01      1.371692e-01      3.886474e-04
          17      1.368530e-01      1.371506e-01      3.662307e-04
          18      1.364414e-01      1.371112e-01      3.479977e-04
          19      1.384687e-01      1.371827e-01      3.369363e-04
          20      1.376768e-01      1.372074e-01      3.209941e-04
           1      1.545847e-01      1.545847e-01      0.000000e+00
           2      1.573804e-01      1.559825e-01      9.884382e-04
           3      1.572235e-01      1.563962e-01      7.404795e-04
           4      1.602743e-01      1.573657e-01      1.006680e-03
           5      1.595067e-01      1.577939e-01      8.917708e-04
           6      1.575918e-01      1.577602e-01      7.437782e-04
           7      1.571178e-01      1.576684e-01      6.431606e-04
           8      1.550144e-01      1.573367e-01      6.426606e-04
           9      1.584915e-01      1.574650e-01      5.839228e-04
          10      1.579228e-01      1.575108e-01      5.273224e-04
          11      1.570882e-01      1.574724e-01      4.807815e-04
          12      1.582591e-01      1.575379e-01      4.451641e-04
          13      1.568937e-01      1.574884e-01      4.136696e-04
          14      1.535845e-01      1.572095e-01      4.687765e-04
          15      1.614768e-01      1.574940e-01      5.166858e-04
          16      1.596797e-01      1.576306e-01      5.021269e-04
          17      1.604558e-01      1.577968e-01      4.993340e-04
          18      1.580232e-01      1.578094e-01      4.717516e-04
          19      1.578312e-01      1.578105e-01      4.469240e-04
          20      1.573776e-01      1.577889e-01      4.251016e-04
           1      1.852711e-01      1.852711e-01      0.000000e+00
           2      1.810888e-01      1.831800e-01      1.478667e-03
           3      1.803416e-01      1.822339e-01      1.252405e-03
           4      1.860878e-01      1.831974e-01      1.256399e-03
           5      1.825232e-01      1.830625e-01      1.012327e-03
           6      1.845307e-01      1.833072e-01      8.726786e-04
           7      1.858955e-01      1.836770e-01      8.226214e-04
           8      1.850952e-01      1.838543e-01      7.386490e-04
           9      1.798382e-01      1.834080e-01      7.798010e-04
          10      1.816348e-01      1.832307e-01      7.216996e-04
          11      1.823851e-01      1.831538e-01      6.601720e-04
          12      1.834648e-01      1.831798e-01      6.056660e-04
          13      1.851385e-01      1.833304e-01      5.775147e-04
