#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      9.064208e-01      9.064208e-01      0.000000e+00
           2      8.961312e-01      9.012760e-01      3.637923e-03
           3      8.961184e-01      8.995568e-01      2.802218e-03
           4      9.124672e-01      9.027844e-01      3.497147e-03
           5      8.946992e-01      9.011674e-01      3.149457e-03
           6      8.877648e-01      8.989336e-01      3.323600e-03
           7      8.977472e-01      8.987641e-01      2.853119e-03
           8      8.913744e-01      8.978404e-01      2.641779e-03
           9      8.866704e-01      8.965993e-01      2.623638e-03
          10      9.205168e-01      8.989910e-01      3.274758e-03
          11      8.924032e-01      8.983921e-01      3.031322e-03
          12      9.052000e-01      8.989595e-01      2.831302e-03
          13      9.109936e-01      8.998852e-01      2.760696e-03
          14      8.844064e-01      8.987795e-01      2.776084e-03
          15      8.863136e-01      8.979485e-01      2.712557e-03
          16      9.027968e-01      8.982515e-01      2.559891e-03
          17      9.031584e-01      8.985401e-01      2.425528e-03
          18      9.177392e-01      8.996068e-01      2.514382e-03
          19      8.762720e-01      8.983786e-01      2.665164e-03
          20      9.042944e-01      8.986744e-01      2.548267e-03
           1      1.081736e+00      1.081736e+00      0.000000e+00
           2      1.042230e+00      1.061983e+00      1.396751e-02
           3      1.060329e+00      1.061431e+00      9.322548e-03
           4      1.079619e+00      1.065978e+00      8.024520e-03
           5      1.031970e+00      1.059177e+00      8.844236e-03
           6      1.023351e+00      1.053206e+00      9.166760e-03
           7      1.055633e+00      1.053553e+00      7.863778e-03
           8      1.035266e+00      1.051267e+00      7.205365e-03
           9      1.055774e+00      1.051768e+00      6.422149e-03
          10      1.032517e+00      1.049842e+00      6.061605e-03
          11      1.066339e+00      1.051342e+00      5.693048e-03
          12      1.044118e+00      1.050740e+00      5.250358e-03
          13      1.045843e+00      1.050363e+00      4.859977e-03
          14      1.039449e+00      1.049584e+00      4.574942e-03
          15      1.063732e+00      1.050527e+00      4.366096e-03
          16      1.022729e+00      1.048790e+00      4.425415e-03
          17      1.054687e+00      1.049137e+00      4.178671e-03
          18      1.031487e+00      1.048156e+00      4.059935e-03
          19      1.038572e+00      1.047652e+00      3.877462e-03
          20      1.022017e+00      1.046370e+00      3.889663e-03
           1      1.231141e+00      1.231141e+00      0.000000e+00
           2      1.212173e+00      1.221657e+00      6.706066e-03
           3      1.202141e+00      1.215152e+00      6.942673e-03
           4      1.229914e+00      1.218842e+00      6.109705e-03
           5      1.249571e+00      1.224988e+00      7.355747e-03
           6      1.260592e+00      1.230922e+00      8.180358e-03
           7      1.271390e+00      1.236703e+00      8.821105e-03
           8      1.238383e+00      1.236913e+00      7.720964e-03
           9      1.252813e+00      1.238680e+00      7.062307e-03
          10      1.254891e+00      1.240301e+00      6.539495e-03
          11      1.250029e+00      1.241185e+00      6.004489e-03
          12      1.239339e+00      1.241032e+00      5.506086e-03
          13      1.267293e+00      1.243052e+00      5.440519e-03
          14      1.232771e+00      1.242317e+00      5.101225e-03
          15      1.237076e+00      1.241968e+00      4.773095e-03
          16      1.263642e+00      1.243323e+00      4.663039e-03
          17      1.257088e+00      1.244132e+00      4.458488e-03
          18      1.258238e+00      1.244916e+00      4.279110e-03
          19      1.234613e+00      1.244374e+00      4.088106e-03
          20      1.237295e+00      1.244020e+00      3.898991e-03
           1      1.520535e+00      1.520535e+00      0.000000e+00
           2      1.491366e+00      1.505951e+00      1.031259e-02
           3      1.533059e+00      1.514987e+00      1.008469e-02
           4      1.522646e+00      1.516902e+00      7.743191e-03
           5      1.554331e+00      1.524387e+00      9.121519e-03
           6      1.525749e+00      1.524614e+00      7.604091e-03
           7      1.492627e+00      1.520045e+00      7.770432e-03
           8      1.459806e+00      1.512515e+00      9.789737e-03
           9      1.510634e+00      1.512306e+00      8.704220e-03
          10      1.546916e+00      1.515767e+00      8.494054e-03
          11      1.523848e+00      1.516502e+00      7.753575e-03
          12      1.614448e+00      1.524664e+00      1.056343e-02
          13      1.530328e+00      1.525100e+00      9.759837e-03
          14      1.491787e+00      1.522720e+00      9.348261e-03
          15      1.525512e+00      1.522906e+00      8.726896e-03
          16      1.510147e+00      1.522109e+00      8.217817e-03
          17      1.585634e+00      1.525846e+00      8.541848e-03
          18      1.549600e+00      1.527165e+00      8.168609e-03
          19      1.522653e+00      1.526928e+00      7.742134e-03
          20      1.548469e+00      1.528005e+00      7.429572e-03
           1      1.953612e+00      1.953612e+00      0.000000e+00
           2      1.939452e+00      1.946532e+00      5.006316e-03
           3      1.972409e+00      1.955158e+00      7.793786e-03
           4      1.935059e+00      1.950133e+00      7.287232e-03
           5      1.944205e+00      1.948947e+00      5.925454e-03
           6      1.964275e+00      1.951502e+00      5.460883e-03
           7      1.971621e+00      1.954376e+00      5.384258e-03
           8      1.915005e+00      1.949455e+00      6.586999e-03
