#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      1.373592e-01      1.373592e-01      0.000000e+00
           2      1.371116e-01      1.372354e-01      8.751923e-05
           3      1.375601e-01      1.373436e-01      1.058840e-04
           4      1.346444e-01      1.366688e-01      5.897728e-04
           5      1.388924e-01      1.371135e-01      6.171140e-04
           6      1.376382e-01      1.372010e-01      5.204203e-04
           7      1.374114e-01      1.372310e-01      4.469416e-04
           8      1.374338e-01      1.372564e-01      3.917918e-04
           9      1.390733e-01      1.374583e-01      3.968769e-04
          10      1.382249e-01      1.375349e-01      3.645184e-04
          11      1.367337e-01      1.374621e-01      3.385796e-04
          12      1.378207e-01      1.374920e-01      3.116804e-04
          13      1.368569e-01      1.374431e-01      2.915079e-04
          14      1.379225e-01      1.374774e-01      2.726892e-04
          15      1.364814e-01      1.374110e-01      2.624690e-04
          16      1.367157e-01      1.373675e-01      2.496353e-04
          17      1.352806e-01      1.372448e-01      2.634108e-04
          18      1.369671e-01      1.372293e-01      2.492280e-04
          19      1.360621e-01      1.371679e-01      2.435646e-04
          20      1.385139e-01      1.372352e-01      2.405047e-04
           1      1.570567e-01      1.570567e-01      0.000000e+00
           2      1.560853e-01      1.565710e-01      3.434525e-04
           3      1.535261e-01      1.555560e-01      8.597707e-04
           4      1.609579e-01      1.569065e-01      1.335520e-03
           5      1.571082e-01      1.569468e-01      1.069025e-03
           6      1.553941e-01      1.566880e-01      9.216465e-04
           7      1.541312e-01      1.563228e-01      8.593203e-04
           8      1.556411e-01      1.562376e-01      7.561175e-04
           9      1.573984e-01      1.563665e-01      6.830161e-04
          10      1.562118e-01      1.563511e-01      6.148899e-04
          11      1.588513e-01      1.565784e-01      5.995288e-04
          12      1.581129e-01      1.567062e-01      5.630417e-04
          13      1.578560e-01      1.567947e-01      5.266319e-04
          14      1.551433e-01      1.566767e-01      5.020509e-04
          15      1.615675e-01      1.570028e-01      5.646140e-04
          16      1.598157e-01      1.571786e-01      5.560235e-04
          17      1.582548e-01      1.572419e-01      5.269076e-04
          18      1.549815e-01      1.571163e-01      5.123814e-04
          19      1.590199e-01      1.572165e-01      4.951128e-04
          20      1.570154e-01      1.572064e-01      4.704592e-04
           1      1.831075e-01      1.831075e-01      0.000000e+00
           2      1.794284e-01      1.812679e-01      1.300758e-03
           3      1.818848e-01      1.814736e-01      8.832740e-04
           4      1.848363e-01      1.823143e-01      9.843396e-04
           5      1.837509e-01      1.826016e-01      8.283450e-04
           6      1.819986e-01      1.825011e-01      6.963578e-04
