#     T:    CV_AVE:      ERROR:
2.500000e+00      1.372352e-01      2.405047e-04
2.300000e+00      1.572064e-01      4.704592e-04
2.100000e+00      1.819368e-01      4.302213e-04
1.900000e+00      2.123216e-01      6.029224e-04
1.700000e+00      2.492108e-01      7.119828e-04
1.500000e+00      2.943275e-01      8.476339e-04
1.300000e+00      3.457018e-01      1.344689e-03
1.100000e+00      3.945647e-01      1.658479e-03
9.000000e-01      4.375381e-01      1.594432e-03
7.000000e-01      4.389012e-01      3.315051e-03
5.000000e-01      3.302670e-01      7.161067e-03
