#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      8.973488e-01      8.973488e-01      0.000000e+00
           2      8.908960e-01      8.941224e-01      2.281409e-03
           3      8.851456e-01      8.911301e-01      2.877910e-03
           4      9.021952e-01      8.938964e-01      3.224593e-03
           5      9.131760e-01      8.977523e-01      4.306880e-03
           6      8.845696e-01      8.955552e-01      4.111469e-03
           7      9.193264e-01      8.989511e-01      4.722711e-03
           8      8.982560e-01      8.988642e-01      4.133172e-03
           9      8.766480e-01      8.963957e-01      4.349029e-03
          10      8.935360e-01      8.961098e-01      3.923517e-03
          11      9.148032e-01      8.978092e-01      3.917618e-03
          12      8.973088e-01      8.977675e-01      3.591372e-03
          13      8.738608e-01      8.959285e-01      3.756549e-03
          14      8.997024e-01      8.961981e-01      3.497882e-03
          15      8.701584e-01      8.944621e-01      3.670274e-03
          16      9.104992e-01      8.954644e-01      3.575125e-03
          17      8.725488e-01      8.941164e-01      3.610013e-03
          18      8.880896e-01      8.937816e-01      3.424949e-03
          19      8.940064e-01      8.937934e-01      3.244709e-03
          20      8.924368e-01      8.937256e-01      3.083183e-03
           1      1.046510e+00      1.046510e+00      0.000000e+00
           2      1.003504e+00      1.025007e+00      1.520464e-02
           3      1.026699e+00      1.025571e+00      1.014688e-02
           4      1.060052e+00      1.034191e+00      1.066052e-02
           5      1.042830e+00      1.035919e+00      8.667276e-03
           6      1.022974e+00      1.033761e+00      7.486445e-03
           7      1.057597e+00      1.037166e+00      7.149481e-03
           8      1.032306e+00      1.036559e+00      6.281557e-03
           9      1.056078e+00      1.038728e+00      5.946241e-03
          10      1.061353e+00      1.040990e+00      5.766016e-03
          11      1.034188e+00      1.040372e+00      5.274891e-03
          12      1.012402e+00      1.038041e+00      5.325446e-03
          13      1.041880e+00      1.038336e+00      4.923978e-03
          14      1.002332e+00      1.035765e+00      5.200669e-03
          15      1.048306e+00      1.036601e+00      4.920708e-03
          16      1.016238e+00      1.035328e+00      4.774903e-03
          17      1.036896e+00      1.035420e+00      4.494916e-03
          18      1.038103e+00      1.035569e+00      4.247668e-03
          19      1.046720e+00      1.036156e+00      4.064448e-03
          20      1.034423e+00      1.036069e+00      3.862150e-03
           1      1.250895e+00      1.250895e+00      0.000000e+00
           2      1.239053e+00      1.244974e+00      4.186746e-03
           3      1.242040e+00      1.243996e+00      2.903166e-03
           4      1.205619e+00      1.234402e+00      8.589453e-03
           5      1.253284e+00      1.238178e+00      7.656841e-03
           6      1.204789e+00      1.232613e+00      8.156015e-03
           7      1.247122e+00      1.234686e+00      7.249445e-03
           8      1.222330e+00      1.233141e+00      6.505725e-03
           9      1.246398e+00      1.234614e+00      5.947277e-03
          10      1.224051e+00      1.233558e+00      5.445546e-03
          11      1.234661e+00      1.233658e+00      4.951419e-03
          12      1.236573e+00      1.233901e+00      4.544755e-03
          13      1.232983e+00      1.233831e+00      4.195708e-03
          14      1.246621e+00      1.234744e+00      3.994242e-03
          15      1.221210e+00      1.233842e+00      3.828520e-03
          16      1.246650e+00      1.234642e+00      3.671967e-03
          17      1.218716e+00      1.233706e+00      3.573479e-03
          18      1.266884e+00      1.235549e+00      3.820874e-03
          19      1.216785e+00      1.234561e+00      3.745231e-03
          20      1.229547e+00      1.234310e+00      3.566352e-03
           1      1.481956e+00      1.481956e+00      0.000000e+00
           2      1.509718e+00      1.495837e+00      9.815386e-03
           3      1.486989e+00      1.492888e+00      6.972575e-03
           4      1.556952e+00      1.508904e+00      1.482330e-02
           5      1.531360e+00      1.513395e+00      1.252056e-02
           6      1.463093e+00      1.505011e+00      1.293973e-02
           7      1.519179e+00      1.507035e+00      1.124837e-02
           8      1.513259e+00      1.507813e+00      9.869190e-03
           9      1.470427e+00      1.503659e+00      9.607132e-03
          10      1.531669e+00      1.506460e+00      9.045538e-03
          11      1.472627e+00      1.503384e+00      8.730481e-03
          12      1.539655e+00      1.506407e+00      8.510075e-03
          13      1.497749e+00      1.505741e+00      7.881469e-03
          14      1.526491e+00      1.507223e+00      7.456559e-03
          15      1.525213e+00      1.508422e+00      7.055243e-03
          16      1.520389e+00      1.509170e+00      6.653817e-03
          17      1.524848e+00      1.510093e+00      6.326005e-03
          18      1.528177e+00      1.511097e+00      6.053815e-03
          19      1.491848e+00      1.510084e+00      5.819346e-03
          20      1.518084e+00      1.510484e+00      5.542109e-03
           1      1.963908e+00      1.963908e+00      0.000000e+00
           2      1.924162e+00      1.944035e+00      1.405229e-02
           3      1.913664e+00      1.933911e+00      1.249369e-02
           4      1.929496e+00      1.932808e+00      9.418893e-03
           5      1.945085e+00      1.935263e+00      7.848643e-03
           6      1.945887e+00      1.937034e+00      6.737308e-03
           7      1.894195e+00      1.930914e+00      8.090126e-03
           8      1.928254e+00      1.930581e+00      7.085689e-03
           9      1.883551e+00      1.925356e+00      7.996438e-03
          10      1.900073e+00      1.922828e+00      7.585965e-03
          11      1.940522e+00      1.924436e+00      7.064829e-03
          12      1.863024e+00      1.919318e+00      8.120852e-03
          13      1.851758e+00      1.914121e+00      9.006866e-03
          14      1.922002e+00      1.914684e+00      8.381091e-03
          15      1.918285e+00      1.914924e+00      7.825787e-03
          16      1.935271e+00      1.916196e+00      7.439275e-03
          17      1.852254e+00      1.912435e+00      7.895472e-03
          18      1.922247e+00      1.912980e+00      7.475630e-03
          19      1.891101e+00      1.911828e+00      7.170314e-03
          20      1.919369e+00      1.912205e+00      6.821705e-03
           1      2.598835e+00      2.598835e+00      0.000000e+00
           2      2.498672e+00      2.548753e+00      3.541285e-02
           3      2.503296e+00      2.533601e+00      2.665387e-02
           4      2.582611e+00      2.545853e+00      2.263201e-02
           5      2.471896e+00      2.531062e+00      2.242416e-02
           6      2.555760e+00      2.535178e+00      1.906087e-02
           7      2.563864e+00      2.539276e+00      1.677263e-02
