#     T:   X_AVE:       ERROR:
2.500000e+00      8.937256e-01      3.083183e-03
2.300000e+00      1.036069e+00      3.862150e-03
2.100000e+00      1.234310e+00      3.566352e-03
1.900000e+00      1.510484e+00      5.542109e-03
1.700000e+00      1.912205e+00      6.821705e-03
1.500000e+00      2.530902e+00      9.903418e-03
1.300000e+00      3.573118e+00      1.506308e-02
1.100000e+00      5.611455e+00      3.010927e-02
9.000000e-01      1.035933e+01      7.768035e-02
7.000000e-01      2.496518e+01      3.080140e-01
5.000000e-01      7.822952e+01      8.634083e-01
