#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.805840e-01     -3.805840e-01      0.000000e+00
           2     -3.784240e-01     -3.795040e-01      7.636753e-04
           3     -3.778760e-01     -3.789613e-01      6.749257e-04
           4     -3.817000e-01     -3.796460e-01      7.796211e-04
           5     -3.793920e-01     -3.795952e-01      6.253497e-04
           6     -3.798480e-01     -3.796373e-01      5.225422e-04
           7     -3.822040e-01     -3.800040e-01      5.620023e-04
           8     -3.824280e-01     -3.803070e-01      5.675851e-04
           9     -3.805640e-01     -3.803356e-01      5.052379e-04
          10     -3.791240e-01     -3.802144e-01      4.690157e-04
          11     -3.812520e-01     -3.803087e-01      4.357601e-04
          12     -3.787600e-01     -3.801797e-01      4.181224e-04
          13     -3.790600e-01     -3.800935e-01      3.947301e-04
          14     -3.798880e-01     -3.800789e-01      3.668081e-04
          15     -3.803800e-01     -3.800989e-01      3.429032e-04
          16     -3.805400e-01     -3.801265e-01      3.225779e-04
          17     -3.789400e-01     -3.800567e-01      3.110615e-04
          18     -3.815200e-01     -3.801380e-01      3.042178e-04
          19     -3.812320e-01     -3.801956e-01      2.936047e-04
          20     -3.800400e-01     -3.801878e-01      2.790275e-04
           1     -4.118000e-01     -4.118000e-01      0.000000e+00
           2     -4.103120e-01     -4.110560e-01      5.260874e-04
           3     -4.088080e-01     -4.103067e-01      7.052245e-04
           4     -4.096880e-01     -4.101520e-01      5.456152e-04
           5     -4.090880e-01     -4.099392e-01      4.761854e-04
           6     -4.091360e-01     -4.098053e-01      4.152115e-04
           7     -4.093360e-01     -4.097383e-01      3.612684e-04
           8     -4.097840e-01     -4.097440e-01      3.161550e-04
           9     -4.097680e-01     -4.097467e-01      2.810379e-04
          10     -4.081680e-01     -4.095888e-01      2.939479e-04
          11     -4.087600e-01     -4.095135e-01      2.767133e-04
          12     -4.074600e-01     -4.093423e-01      3.019645e-04
          13     -4.093440e-01     -4.093425e-01      2.787365e-04
          14     -4.097280e-01     -4.093700e-01      2.601835e-04
