#     T:   TE_AVE:      ERROR:
2.500000e+00     -3.801878e-01      2.790275e-04
2.300000e+00     -4.094900e-01      2.031647e-04
2.100000e+00     -4.433164e-01      2.229999e-04
1.900000e+00     -4.828012e-01      1.837187e-04
1.700000e+00     -5.289538e-01      2.337576e-04
1.500000e+00     -5.829910e-01      2.247436e-04
1.300000e+00     -6.461448e-01      2.726839e-04
1.100000e+00     -7.206810e-01      3.665597e-04
9.000000e-01     -8.050816e-01      3.586087e-04
7.000000e-01     -8.919724e-01      4.403528e-04
5.000000e-01     -9.733250e-01      9.052509e-04
