#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.800000e+00      1.800000e+00      0.000000e+00
           2      1.800000e+00      1.800000e+00      0.000000e+00
           3      1.800000e+00      1.800000e+00      0.000000e+00
           4      1.800000e+00      1.800000e+00      0.000000e+00
           5      1.800000e+00      1.800000e+00      1.332800e-08
           6      1.800000e+00      1.800000e+00      1.216675e-08
           7      1.800000e+00      1.800000e+00      1.781029e-08
           8      1.800000e+00      1.800000e+00      1.666000e-08
           9      1.800000e+00      1.800000e+00      1.570720e-08
          10      1.800000e+00      1.800000e+00      1.490116e-08
          11      1.800000e+00      1.800000e+00      1.797148e-08
          12      1.800000e+00      1.800000e+00      1.720638e-08
          13      1.800000e+00      1.800000e+00      1.653135e-08
          14      1.800000e+00      1.800000e+00      1.593001e-08
          15      1.800000e+00      1.800000e+00      1.538985e-08
          16      1.800000e+00      1.800000e+00      1.490116e-08
          17      1.800000e+00      1.800000e+00      1.445625e-08
          18      1.800000e+00      1.800000e+00      1.216675e-08
          19      1.800000e+00      1.800000e+00      1.184224e-08
          20      1.800000e+00      1.800000e+00      1.053671e-08
