#        BLOCK:    ACTUAL_PE:          PE_AVE:           ERROR: 
           1     -4.130362e-01     -4.130362e-01      0.000000e+00
           2     -4.184409e-01     -4.157385e-01      1.910829e-03
           3     -4.131490e-01     -4.148754e-01      1.455854e-03
           4     -4.102523e-01     -4.137196e-01      1.481242e-03
           5     -4.066747e-01     -4.123106e-01      1.729849e-03
           6     -4.096617e-01     -4.118691e-01      1.496820e-03
           7     -4.162892e-01     -4.125006e-01      1.409900e-03
           8     -4.120696e-01     -4.124467e-01      1.234692e-03
           9     -4.136695e-01     -4.125826e-01      1.104954e-03
          10     -4.143698e-01     -4.127613e-01      1.008809e-03
          11     -4.138965e-01     -4.128645e-01      9.223624e-04
          12     -4.130427e-01     -4.128793e-01      8.456184e-04
          13     -4.170839e-01     -4.132028e-01      8.401495e-04
          14     -4.162316e-01     -4.134191e-01      8.075137e-04
          15     -4.133323e-01     -4.134133e-01      7.537002e-04
          16     -4.147532e-01     -4.134971e-01      7.112307e-04
          17     -4.144951e-01     -4.135558e-01      6.718124e-04
          18     -4.159623e-01     -4.136895e-01      6.476559e-04
          19     -4.122891e-01     -4.136158e-01      6.177484e-04
          20     -4.127018e-01     -4.135701e-01      5.885488e-04
