#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.386964e+00      1.386964e+00      0.000000e+00
           2      1.381559e+00      1.384261e+00      1.910829e-03
           3      1.386851e+00      1.385125e+00      1.455854e-03
           4      1.389748e+00      1.386280e+00      1.481242e-03
           5      1.393325e+00      1.387689e+00      1.729849e-03
           6      1.390338e+00      1.388131e+00      1.496820e-03
           7      1.383711e+00      1.387499e+00      1.409900e-03
           8      1.387930e+00      1.387553e+00      1.234692e-03
           9      1.386330e+00      1.387417e+00      1.104954e-03
          10      1.385630e+00      1.387239e+00      1.008809e-03
          11      1.386104e+00      1.387136e+00      9.223624e-04
          12      1.386957e+00      1.387121e+00      8.456184e-04
          13      1.382916e+00      1.386797e+00      8.401495e-04
          14      1.383768e+00      1.386581e+00      8.075137e-04
          15      1.386668e+00      1.386587e+00      7.537002e-04
          16      1.385247e+00      1.386503e+00      7.112307e-04
          17      1.385505e+00      1.386444e+00      6.718124e-04
          18      1.384038e+00      1.386311e+00      6.476559e-04
          19      1.387711e+00      1.386384e+00      6.177484e-04
          20      1.387298e+00      1.386430e+00      5.885488e-04
