# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      1.092595e-03      1.064930e-03
9.048626e-01      1.329768e-01      1.474496e-02
9.694956e-01      9.900117e-01      6.534659e-02
1.034129e+00      1.869117e+00      7.379248e-02
1.098762e+00      2.090424e+00      8.668184e-02
1.163395e+00      1.937007e+00      7.842393e-02
1.228028e+00      1.728695e+00      5.232821e-02
1.292661e+00      1.535731e+00      4.615446e-02
1.357294e+00      1.329467e+00      5.695612e-02
1.421927e+00      1.189188e+00      4.720074e-02
1.486560e+00      1.062885e+00      3.847989e-02
1.551193e+00      1.066008e+00      4.746421e-02
1.615826e+00      1.033675e+00      3.968981e-02
1.680459e+00      9.986098e-01      3.998485e-02
1.745092e+00      9.943630e-01      5.047576e-02
1.809725e+00      9.666821e-01      3.834757e-02
1.874358e+00      1.008764e+00      3.599311e-02
1.938991e+00      9.695106e-01      3.056253e-02
2.003624e+00      9.841787e-01      3.135156e-02
2.068257e+00      9.617057e-01      3.543680e-02
2.132890e+00      9.344759e-01      2.802845e-02
2.197523e+00      9.757893e-01      2.481560e-02
2.262156e+00      9.806949e-01      3.501231e-02
2.326789e+00      9.797465e-01      3.188426e-02
2.391423e+00      9.716448e-01      2.545459e-02
2.456056e+00      9.736692e-01      2.216293e-02
2.520689e+00      1.017550e+00      2.467919e-02
2.585322e+00      9.977621e-01      2.903609e-02
2.649955e+00      9.977503e-01      1.871117e-02
2.714588e+00      1.001750e+00      2.094800e-02
2.779221e+00      9.733943e-01      2.571510e-02
2.843854e+00      1.018399e+00      1.943430e-02
2.908487e+00      9.718954e-01      2.194418e-02
2.973120e+00      1.002088e+00      2.397993e-02
3.037753e+00      1.015752e+00      2.241629e-02
3.102386e+00      1.037567e+00      2.060048e-02
3.167019e+00      1.019739e+00      2.244077e-02
3.231652e+00      9.843587e-01      1.589666e-02
3.296285e+00      9.606941e-01      1.611404e-02
3.360918e+00      9.674808e-01      2.212753e-02
3.425551e+00      9.694514e-01      2.113687e-02
3.490184e+00      9.743502e-01      1.948894e-02
3.554817e+00      9.520466e-01      1.932973e-02
3.619450e+00      9.623120e-01      2.109803e-02
3.684083e+00      9.930755e-01      2.023937e-02
3.748716e+00      1.002149e+00      1.385003e-02
3.813349e+00      9.944282e-01      1.558046e-02
3.877982e+00      9.879178e-01      1.601195e-02
3.942615e+00      9.765728e-01      2.305555e-02
4.007249e+00      9.822710e-01      1.760291e-02
4.071882e+00      9.797166e-01      1.828534e-02
4.136515e+00      9.758790e-01      1.756619e-02
4.201148e+00      9.837228e-01      1.553137e-02
4.265781e+00      9.673790e-01      1.587853e-02
4.330414e+00      9.664179e-01      1.393829e-02
4.395047e+00      9.657400e-01      1.701304e-02
4.459680e+00      9.766261e-01      1.513118e-02
4.524313e+00      9.996679e-01      1.426439e-02
4.588946e+00      9.900495e-01      1.737801e-02
4.653579e+00      1.003632e+00      1.522000e-02
4.718212e+00      9.841958e-01      1.368308e-02
4.782845e+00      9.950284e-01      1.211688e-02
4.847478e+00      1.006438e+00      1.386181e-02
4.912111e+00      1.009364e+00      1.795716e-02
4.976744e+00      9.962880e-01      1.568145e-02
5.041377e+00      9.865564e-01      1.145577e-02
5.106010e+00      1.022508e+00      1.424241e-02
5.170643e+00      1.014300e+00      1.057530e-02
5.235276e+00      1.030317e+00      1.182106e-02
5.299909e+00      9.944459e-01      1.032326e-02
5.364542e+00      9.923764e-01      1.205656e-02
5.429175e+00      9.806752e-01      1.174624e-02
5.493808e+00      1.004169e+00      1.275919e-02
5.558442e+00      9.986470e-01      1.514871e-02
5.623075e+00      1.014222e+00      1.455772e-02
5.687708e+00      9.929304e-01      1.437233e-02
5.752341e+00      9.988957e-01      1.689686e-02
5.816974e+00      9.848020e-01      1.489617e-02
5.881607e+00      1.002535e+00      1.153938e-02
5.946240e+00      1.005442e+00      8.119313e-03
6.010873e+00      1.014003e+00      1.005061e-02
6.075506e+00      1.004081e+00      9.159954e-03
6.140139e+00      1.011626e+00      1.010925e-02
6.204772e+00      1.002450e+00      1.096250e-02
6.269405e+00      1.002844e+00      1.431114e-02
6.334038e+00      9.995272e-01      1.188514e-02
6.398671e+00      9.821752e-01      1.042618e-02
