#        BLOCK:          R:        ACTUAL_GOFR:          GOFR_AVE:           ERROR: 
           1      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.463304e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.292661e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.938991e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.585322e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.231652e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.877982e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.524313e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.170643e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.816974e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.463304e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.109634e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.755965e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.402295e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      9.048626e-01      1.429803e-01      1.429803e-01      0.000000e+00
           1      9.694956e-01      7.376233e-01      7.376233e-01      0.000000e+00
           1      1.034129e+00      1.798932e+00      1.798932e+00      0.000000e+00
           1      1.098762e+00      2.086923e+00      2.086923e+00      0.000000e+00
           1      1.163395e+00      1.645687e+00      1.645687e+00      0.000000e+00
           1      1.228028e+00      1.304608e+00      1.304608e+00      0.000000e+00
           1      1.292661e+00      1.565720e+00      1.565720e+00      0.000000e+00
           1      1.357294e+00      1.012896e+00      1.012896e+00      0.000000e+00
           1      1.421927e+00      8.767994e-01      8.767994e-01      0.000000e+00
           1      1.486560e+00      9.988415e-01      9.988415e-01      0.000000e+00
           1      1.551193e+00      9.941661e-01      9.941661e-01      0.000000e+00
           1      1.615826e+00      1.332074e+00      1.332074e+00      0.000000e+00
           1      1.680459e+00      1.045773e+00      1.045773e+00      0.000000e+00
           1      1.745092e+00      9.482323e-01      9.482323e-01      0.000000e+00
           1      1.809725e+00      1.093300e+00      1.093300e+00      0.000000e+00
           1      1.874358e+00      1.119525e+00      1.119525e+00      0.000000e+00
           1      1.938991e+00      1.049084e+00      1.049084e+00      0.000000e+00
           1      2.003624e+00      9.544971e-01      9.544971e-01      0.000000e+00
           1      2.068257e+00      9.804745e-01      9.804745e-01      0.000000e+00
           1      2.132890e+00      9.175159e-01      9.175159e-01      0.000000e+00
           1      2.197523e+00      1.157962e+00      1.157962e+00      0.000000e+00
           1      2.262156e+00      9.344550e-01      9.344550e-01      0.000000e+00
           1      2.326789e+00      1.158959e+00      1.158959e+00      0.000000e+00
