#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.783340e+00      1.783340e+00      0.000000e+00
           2      1.819615e+00      1.801477e+00      1.282525e-02
           3      1.778711e+00      1.793889e+00      1.055921e-02
           4      1.791081e+00      1.793187e+00      7.942696e-03
           5      1.813220e+00      1.797193e+00      7.295073e-03
           6      1.804244e+00      1.798368e+00      6.173136e-03
           7      1.762637e+00      1.793264e+00      7.094398e-03
           8      1.783132e+00      1.791998e+00      6.319635e-03
           9      1.801826e+00      1.793090e+00      5.711026e-03
          10      1.801061e+00      1.793887e+00      5.195263e-03
          11      1.803144e+00      1.794728e+00      4.790640e-03
          12      1.810727e+00      1.796061e+00      4.573168e-03
          13      1.777744e+00      1.794652e+00      4.433150e-03
          14      1.799630e+00      1.795008e+00      4.130728e-03
          15      1.835428e+00      1.797703e+00      4.651971e-03
          16      1.836732e+00      1.800142e+00      4.959711e-03
          17      1.862887e+00      1.803833e+00      5.883117e-03
          18      1.838030e+00      1.805733e+00      5.855002e-03
          19      1.831462e+00      1.807087e+00      5.701298e-03
          20      1.855935e+00      1.809529e+00      5.916303e-03
