#        BLOCK:    ACTUAL_PE:          PE_AVE:           ERROR: 
           1     -3.570060e-01     -3.570060e-01      0.000000e+00
           2     -3.932493e-01     -3.751276e-01      1.281395e-02
           3     -3.523871e-01     -3.675475e-01      1.054906e-02
           4     -3.647950e-01     -3.668593e-01      7.934207e-03
           5     -3.869896e-01     -3.708854e-01      7.297692e-03
           6     -3.779715e-01     -3.720664e-01      6.176236e-03
           7     -3.363288e-01     -3.669610e-01      7.096958e-03
           8     -3.568501e-01     -3.656972e-01      6.321376e-03
           9     -3.755069e-01     -3.667872e-01      5.712198e-03
          10     -3.746533e-01     -3.675738e-01      5.194858e-03
          11     -3.767886e-01     -3.684115e-01      4.789665e-03
          12     -3.843702e-01     -3.697414e-01      4.571428e-03
          13     -3.514262e-01     -3.683325e-01      4.431561e-03
          14     -3.733396e-01     -3.686902e-01      4.129428e-03
          15     -4.091772e-01     -3.713893e-01      4.653384e-03
          16     -4.104595e-01     -3.738312e-01      4.962051e-03
          17     -4.366116e-01     -3.775242e-01      5.886104e-03
          18     -4.118076e-01     -3.794288e-01      5.859154e-03
          19     -4.052651e-01     -3.807886e-01      5.706389e-03
          20     -4.297769e-01     -3.832380e-01      5.923484e-03
