#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      5.264703e-02      5.264703e-02      0.000000e+00
           2      5.386985e-02      5.325844e-02      4.323330e-04
           3      5.241583e-02      5.297757e-02      3.683252e-04
           4      5.295438e-02      5.297177e-02      2.762895e-04
           5      5.368807e-02      5.311503e-02      2.554875e-04
           6      5.335886e-02      5.315567e-02      2.161142e-04
           7      5.193957e-02      5.298194e-02      2.453248e-04
           8      5.264834e-02      5.294024e-02      2.181745e-04
           9      5.324591e-02      5.297420e-02      1.965586e-04
          10      5.321057e-02      5.299784e-02      1.783183e-04
          11      5.333112e-02      5.302814e-02      1.646614e-04
          12      5.356541e-02      5.307291e-02      1.569086e-04
          13      5.246716e-02      5.302632e-02      1.515995e-04
          14      5.319767e-02      5.303856e-02      1.412642e-04
          15      5.446037e-02      5.313334e-02      1.605279e-04
          16      5.442927e-02      5.321434e-02      1.697025e-04
          17      5.531729e-02      5.333804e-02      1.997817e-04
          18      5.445756e-02      5.340024e-02      1.981277e-04
          19      5.422985e-02      5.344390e-02      1.924511e-04
          20      5.503802e-02      5.352361e-02      1.986496e-04
