#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.188893e+00      1.188893e+00      0.000000e+00
           2      1.213077e+00      1.200985e+00      8.550165e-03
           3      1.185807e+00      1.195926e+00      7.039475e-03
           4      1.194054e+00      1.195458e+00      5.295131e-03
           5      1.208813e+00      1.198129e+00      4.863382e-03
           6      1.202829e+00      1.198912e+00      4.115424e-03
           7      1.175092e+00      1.195509e+00      4.729599e-03
           8      1.188755e+00      1.194665e+00      4.213090e-03
           9      1.201217e+00      1.195393e+00      3.807351e-03
          10      1.200708e+00      1.195924e+00      3.463508e-03
          11      1.202096e+00      1.196486e+00      3.193760e-03
          12      1.207151e+00      1.197374e+00      3.048779e-03
          13      1.185162e+00      1.196435e+00      2.955433e-03
          14      1.199753e+00      1.196672e+00      2.753819e-03
          15      1.223619e+00      1.198468e+00      3.101314e-03
          16      1.224488e+00      1.200095e+00      3.306474e-03
          17      1.241924e+00      1.202555e+00      3.922078e-03
          18      1.225353e+00      1.203822e+00      3.903335e-03
          19      1.220975e+00      1.204725e+00      3.800865e-03
          20      1.237290e+00      1.206353e+00      3.944202e-03
