#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.426334e+00      1.426334e+00      0.000000e+00
           2      1.426365e+00      1.426350e+00      1.129912e-05
           3      1.426324e+00      1.426341e+00      1.021814e-05
           4      1.426286e+00      1.426327e+00      1.410896e-05
           5      1.426231e+00      1.426308e+00      2.067786e-05
           6      1.426272e+00      1.426302e+00      1.807602e-05
           7      1.426309e+00      1.426303e+00      1.551806e-05
           8      1.426282e+00      1.426300e+00      1.379838e-05
           9      1.426319e+00      1.426302e+00      1.241855e-05
          10      1.426408e+00      1.426313e+00      1.500923e-05
          11      1.426355e+00      1.426317e+00      1.412740e-05
          12      1.426356e+00      1.426320e+00      1.333026e-05
          13      1.426317e+00      1.426320e+00      1.230638e-05
          14      1.426290e+00      1.426318e+00      1.160794e-05
          15      1.426251e+00      1.426313e+00      1.166306e-05
          16      1.426273e+00      1.426311e+00      1.120902e-05
          17      1.426275e+00      1.426309e+00      1.074447e-05
          18      1.426222e+00      1.426304e+00      1.117152e-05
          19      1.426197e+00      1.426298e+00      1.190957e-05
          20      1.426158e+00      1.426291e+00      1.321984e-05
