# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      1.257233e-03      1.535127e-04
9.048626e-01      1.463926e-01      1.705881e-03
9.694956e-01      1.059902e+00      4.548452e-03
1.034129e+00      2.028137e+00      9.305381e-03
1.098762e+00      2.252480e+00      8.388187e-03
1.163395e+00      2.071227e+00      8.456895e-03
1.228028e+00      1.842014e+00      6.240903e-03
1.292661e+00      1.619250e+00      4.750407e-03
1.357294e+00      1.460016e+00      6.195491e-03
1.421927e+00      1.334721e+00      3.242595e-03
1.486560e+00      1.253152e+00      3.645029e-03
1.551193e+00      1.189231e+00      3.401566e-03
1.615826e+00      1.143874e+00      2.484511e-03
1.680459e+00      1.109983e+00      2.983415e-03
1.745092e+00      1.089756e+00      2.697615e-03
1.809725e+00      1.069858e+00      2.978577e-03
1.874358e+00      1.065885e+00      2.570625e-03
1.938991e+00      1.056675e+00      2.375226e-03
2.003624e+00      1.053604e+00      2.868079e-03
2.068257e+00      1.053426e+00      2.422946e-03
2.132890e+00      1.051112e+00      2.585194e-03
2.197523e+00      1.044373e+00      2.303083e-03
2.262156e+00      1.043421e+00      2.094526e-03
2.326789e+00      1.035454e+00      1.630647e-03
2.391423e+00      1.034593e+00      1.494684e-03
2.456056e+00      1.024544e+00      1.933134e-03
2.520689e+00      1.023368e+00      1.749532e-03
2.585322e+00      1.020037e+00      1.529304e-03
2.649955e+00      1.013823e+00      1.770315e-03
2.714588e+00      1.011512e+00      1.454243e-03
2.779221e+00      1.006801e+00      1.542607e-03
2.843854e+00      1.002551e+00      2.050261e-03
2.908487e+00      1.001750e+00      1.834290e-03
2.973120e+00      1.003040e+00      1.311215e-03
3.037753e+00      1.001905e+00      1.282504e-03
3.102386e+00      1.001957e+00      1.372105e-03
3.167019e+00      9.979376e-01      1.210421e-03
3.231652e+00      9.979013e-01      1.512430e-03
3.296285e+00      9.951150e-01      1.304334e-03
3.360918e+00      9.950723e-01      1.415608e-03
3.425551e+00      9.946998e-01      1.385632e-03
3.490184e+00      9.955025e-01      9.612875e-04
3.554817e+00      9.926440e-01      1.284448e-03
3.619450e+00      9.913062e-01      1.481730e-03
3.684083e+00      9.930647e-01      1.227357e-03
3.748716e+00      9.930203e-01      1.232661e-03
3.813349e+00      9.894949e-01      1.213977e-03
3.877982e+00      9.903893e-01      1.390785e-03
3.942615e+00      9.896256e-01      1.126461e-03
4.007249e+00      9.895777e-01      9.818661e-04
4.071882e+00      9.895102e-01      1.348261e-03
4.136515e+00      9.882398e-01      1.030154e-03
4.201148e+00      9.883554e-01      1.140222e-03
4.265781e+00      9.883719e-01      1.076748e-03
4.330414e+00      9.873409e-01      7.499723e-04
4.395047e+00      9.889959e-01      1.177339e-03
4.459680e+00      9.861825e-01      1.088326e-03
4.524313e+00      9.870846e-01      7.813595e-04
4.588946e+00      9.863731e-01      6.806545e-04
4.653579e+00      9.875950e-01      9.482390e-04
4.718212e+00      9.870535e-01      1.084690e-03
4.782845e+00      9.848191e-01      9.399149e-04
4.847478e+00      9.874010e-01      9.236352e-04
4.912111e+00      9.872400e-01      8.658327e-04
4.976744e+00      9.878384e-01      1.037887e-03
5.041377e+00      9.866485e-01      9.360214e-04
5.106010e+00      9.858300e-01      7.637212e-04
5.170643e+00      9.868563e-01      8.781822e-04
5.235276e+00      9.850230e-01      9.856924e-04
5.299909e+00      9.866780e-01      8.221372e-04
5.364542e+00      9.867117e-01      8.362348e-04
5.429175e+00      9.858077e-01      6.993038e-04
5.493808e+00      9.847140e-01      8.410116e-04
5.558442e+00      9.843936e-01      7.704716e-04
5.623075e+00      9.863612e-01      8.642958e-04
5.687708e+00      9.867229e-01      9.823798e-04
5.752341e+00      9.864198e-01      8.467871e-04
5.816974e+00      9.843448e-01      7.849013e-04
5.881607e+00      9.861724e-01      9.525875e-04
5.946240e+00      9.848680e-01      7.025577e-04
6.010873e+00      9.868712e-01      4.527190e-04
6.075506e+00      9.850764e-01      6.184538e-04
6.140139e+00      9.853356e-01      6.224566e-04
6.204772e+00      9.860427e-01      7.473644e-04
6.269405e+00      9.855768e-01      8.464314e-04
6.334038e+00      9.857080e-01      6.573989e-04
6.398671e+00      9.858659e-01      7.733674e-04
