#        BLOCK:          R:        ACTUAL_GOFR:          GOFR_AVE:           ERROR: 
           1      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.463304e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.292661e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.938991e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.585322e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.231652e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.877982e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.524313e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.170643e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.816974e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.463304e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.109634e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.755965e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.402295e-01      2.993412e-04      2.993412e-04      0.000000e+00
           1      9.048626e-01      1.466132e-01      1.466132e-01      0.000000e+00
           1      9.694956e-01      1.052839e+00      1.052839e+00      0.000000e+00
           1      1.034129e+00      1.959064e+00      1.959064e+00      0.000000e+00
           1      1.098762e+00      2.193648e+00      2.193648e+00      0.000000e+00
           1      1.163395e+00      2.148226e+00      2.148226e+00      0.000000e+00
           1      1.228028e+00      1.839309e+00      1.839309e+00      0.000000e+00
           1      1.292661e+00      1.666353e+00      1.666353e+00      0.000000e+00
           1      1.357294e+00      1.444380e+00      1.444380e+00      0.000000e+00
           1      1.421927e+00      1.313906e+00      1.313906e+00      0.000000e+00
           1      1.486560e+00      1.244402e+00      1.244402e+00      0.000000e+00
           1      1.551193e+00      1.219910e+00      1.219910e+00      0.000000e+00
           1      1.615826e+00      1.134344e+00      1.134344e+00      0.000000e+00
           1      1.680459e+00      1.114626e+00      1.114626e+00      0.000000e+00
           1      1.745092e+00      1.089818e+00      1.089818e+00      0.000000e+00
           1      1.809725e+00      1.050232e+00      1.050232e+00      0.000000e+00
           1      1.874358e+00      1.058758e+00      1.058758e+00      0.000000e+00
           1      1.938991e+00      1.055009e+00      1.055009e+00      0.000000e+00
           1      2.003624e+00      1.054655e+00      1.054655e+00      0.000000e+00
           1      2.068257e+00      1.060975e+00      1.060975e+00      0.000000e+00
           1      2.132890e+00      1.051931e+00      1.051931e+00      0.000000e+00
           1      2.197523e+00      1.025769e+00      1.025769e+00      0.000000e+00
           1      2.262156e+00      1.048479e+00      1.048479e+00      0.000000e+00
           1      2.326789e+00      1.045648e+00      1.045648e+00      0.000000e+00
