# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      1.702075e-05      8.613955e-06
8.720877e-01      1.309092e-03      1.039791e-04
8.977374e-01      2.445485e-02      3.226959e-04
9.233870e-01      1.676314e-01      1.333839e-03
9.490367e-01      5.718119e-01      2.167502e-03
9.746863e-01      1.212881e+00      3.635853e-03
1.000336e+00      1.878768e+00      4.090478e-03
1.025986e+00      2.344390e+00      4.515570e-03
1.051635e+00      2.553898e+00      5.085667e-03
1.077285e+00      2.549451e+00      4.362581e-03
1.102934e+00      2.400144e+00      3.826874e-03
1.128584e+00      2.194886e+00      3.871749e-03
1.154234e+00      1.971633e+00      5.075428e-03
1.179883e+00      1.756911e+00      3.424279e-03
1.205533e+00      1.565453e+00      3.931524e-03
1.231183e+00      1.389741e+00      2.557593e-03
1.256832e+00      1.244761e+00      3.774342e-03
1.282482e+00      1.121364e+00      3.410420e-03
1.308132e+00      1.019477e+00      3.591988e-03
1.333781e+00      9.355823e-01      2.259675e-03
1.359431e+00      8.641791e-01      2.267092e-03
1.385081e+00      8.106592e-01      2.078402e-03
1.410730e+00      7.651839e-01      2.162869e-03
1.436380e+00      7.318138e-01      1.816951e-03
1.462029e+00      7.049546e-01      2.506919e-03
1.487679e+00      6.841206e-01      2.350398e-03
1.513329e+00      6.774977e-01      2.232660e-03
1.538978e+00      6.671276e-01      1.851695e-03
1.564628e+00      6.653881e-01      2.166804e-03
1.590278e+00      6.757422e-01      1.725291e-03
1.615927e+00      6.860356e-01      1.973639e-03
1.641577e+00      7.045095e-01      2.164826e-03
1.667227e+00      7.253815e-01      1.763855e-03
1.692876e+00      7.509266e-01      2.481659e-03
1.718526e+00      7.820476e-01      2.217713e-03
1.744175e+00      8.200993e-01      2.234832e-03
1.769825e+00      8.586174e-01      1.872334e-03
1.795475e+00      9.015970e-01      2.407400e-03
1.821124e+00      9.415660e-01      1.518252e-03
1.846774e+00      9.836969e-01      2.216810e-03
1.872424e+00      1.023597e+00      1.977753e-03
1.898073e+00      1.062823e+00      2.152036e-03
1.923723e+00      1.100815e+00      2.511980e-03
1.949373e+00      1.135192e+00      1.493550e-03
1.975022e+00      1.164454e+00      1.306676e-03
2.000672e+00      1.191009e+00      2.184915e-03
2.026321e+00      1.208599e+00      1.766112e-03
2.051971e+00      1.216435e+00      2.054228e-03
2.077621e+00      1.215404e+00      2.323070e-03
2.103270e+00      1.205245e+00      2.859003e-03
2.128920e+00      1.192006e+00      1.315700e-03
2.154570e+00      1.172765e+00      1.375461e-03
2.180219e+00      1.147017e+00      1.552723e-03
2.205869e+00      1.120336e+00      1.703052e-03
2.231519e+00      1.092480e+00      1.031789e-03
2.257168e+00      1.063018e+00      1.531937e-03
2.282818e+00      1.032138e+00      1.479838e-03
2.308468e+00      1.004880e+00      1.421017e-03
2.334117e+00      9.799884e-01      1.784744e-03
2.359767e+00      9.567128e-01      2.060502e-03
2.385416e+00      9.409989e-01      1.968260e-03
2.411066e+00      9.255184e-01      1.643533e-03
2.436716e+00      9.116342e-01      1.488660e-03
2.462365e+00      9.014771e-01      1.271297e-03
2.488015e+00      8.936744e-01      1.529100e-03
2.513665e+00      8.901011e-01      1.645768e-03
2.539314e+00      8.905431e-01      1.449099e-03
