#        BLOCK:          R:        ACTUAL_GOFR:          GOFR_AVE:           ERROR: 
           1      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.720877e-01      1.192168e-03      1.192168e-03      0.000000e+00
           1      8.977374e-01      2.386156e-02      2.386156e-02      0.000000e+00
           1      9.233870e-01      1.656650e-01      1.656650e-01      0.000000e+00
           1      9.490367e-01      5.638714e-01      5.638714e-01      0.000000e+00
           1      9.746863e-01      1.208514e+00      1.208514e+00      0.000000e+00
           1      1.000336e+00      1.855704e+00      1.855704e+00      0.000000e+00
           1      1.025986e+00      2.325462e+00      2.325462e+00      0.000000e+00
           1      1.051635e+00      2.563934e+00      2.563934e+00      0.000000e+00
           1      1.077285e+00      2.562394e+00      2.562394e+00      0.000000e+00
           1      1.102934e+00      2.400082e+00      2.400082e+00      0.000000e+00
           1      1.128584e+00      2.177205e+00      2.177205e+00      0.000000e+00
           1      1.154234e+00      1.952538e+00      1.952538e+00      0.000000e+00
           1      1.179883e+00      1.740027e+00      1.740027e+00      0.000000e+00
           1      1.205533e+00      1.566739e+00      1.566739e+00      0.000000e+00
           1      1.231183e+00      1.389664e+00      1.389664e+00      0.000000e+00
           1      1.256832e+00      1.260045e+00      1.260045e+00      0.000000e+00
           1      1.282482e+00      1.139222e+00      1.139222e+00      0.000000e+00
           1      1.308132e+00      1.063269e+00      1.063269e+00      0.000000e+00
           1      1.333781e+00      9.584582e-01      9.584582e-01      0.000000e+00
           1      1.359431e+00      8.841407e-01      8.841407e-01      0.000000e+00
           1      1.385081e+00      8.252214e-01      8.252214e-01      0.000000e+00
           1      1.410730e+00      7.623701e-01      7.623701e-01      0.000000e+00
           1      1.436380e+00      7.257580e-01      7.257580e-01      0.000000e+00
           1      1.462029e+00      6.957656e-01      6.957656e-01      0.000000e+00
           1      1.487679e+00      6.800610e-01      6.800610e-01      0.000000e+00
           1      1.513329e+00      6.688490e-01      6.688490e-01      0.000000e+00
           1      1.538978e+00      6.616686e-01      6.616686e-01      0.000000e+00
           1      1.564628e+00      6.506728e-01      6.506728e-01      0.000000e+00
           1      1.590278e+00      6.709986e-01      6.709986e-01      0.000000e+00
           1      1.615927e+00      6.939410e-01      6.939410e-01      0.000000e+00
           1      1.641577e+00      7.084321e-01      7.084321e-01      0.000000e+00
           1      1.667227e+00      7.169001e-01      7.169001e-01      0.000000e+00
           1      1.692876e+00      7.580256e-01      7.580256e-01      0.000000e+00
           1      1.718526e+00      7.867505e-01      7.867505e-01      0.000000e+00
           1      1.744175e+00      8.164533e-01      8.164533e-01      0.000000e+00
           1      1.769825e+00      8.467095e-01      8.467095e-01      0.000000e+00
           1      1.795475e+00      8.821692e-01      8.821692e-01      0.000000e+00
           1      1.821124e+00      9.313634e-01      9.313634e-01      0.000000e+00
           1      1.846774e+00      9.724281e-01      9.724281e-01      0.000000e+00
           1      1.872424e+00      1.025416e+00      1.025416e+00      0.000000e+00
           1      1.898073e+00      1.069829e+00      1.069829e+00      0.000000e+00
           1      1.923723e+00      1.100343e+00      1.100343e+00      0.000000e+00
           1      1.949373e+00      1.145114e+00      1.145114e+00      0.000000e+00
           1      1.975022e+00      1.177237e+00      1.177237e+00      0.000000e+00
           1      2.000672e+00      1.203881e+00      1.203881e+00      0.000000e+00
           1      2.026321e+00      1.212525e+00      1.212525e+00      0.000000e+00
           1      2.051971e+00      1.223242e+00      1.223242e+00      0.000000e+00
           1      2.077621e+00      1.210114e+00      1.210114e+00      0.000000e+00
           1      2.103270e+00      1.186513e+00      1.186513e+00      0.000000e+00
           1      2.128920e+00      1.197373e+00      1.197373e+00      0.000000e+00
           1      2.154570e+00      1.173115e+00      1.173115e+00      0.000000e+00
           1      2.180219e+00      1.144587e+00      1.144587e+00      0.000000e+00
           1      2.205869e+00      1.132128e+00      1.132128e+00      0.000000e+00
           1      2.231519e+00      1.100411e+00      1.100411e+00      0.000000e+00
           1      2.257168e+00      1.067120e+00      1.067120e+00      0.000000e+00
           1      2.282818e+00      1.030025e+00      1.030025e+00      0.000000e+00
           1      2.308468e+00      1.012012e+00      1.012012e+00      0.000000e+00
           1      2.334117e+00      9.733699e-01      9.733699e-01      0.000000e+00
           1      2.359767e+00      9.525847e-01      9.525847e-01      0.000000e+00
           1      2.385416e+00      9.277165e-01      9.277165e-01      0.000000e+00
           1      2.411066e+00      9.169567e-01      9.169567e-01      0.000000e+00
           1      2.436716e+00      9.161006e-01      9.161006e-01      0.000000e+00
           1      2.462365e+00      8.940184e-01      8.940184e-01      0.000000e+00
           1      2.488015e+00      8.807401e-01      8.807401e-01      0.000000e+00
           1      2.513665e+00      8.806062e-01      8.806062e-01      0.000000e+00
           1      2.539314e+00      8.954163e-01      8.954163e-01      0.000000e+00
           2      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.720877e-01      1.513136e-03      1.352652e-03      1.134794e-04
           2      8.977374e-01      2.407809e-02      2.396982e-02      7.655476e-05
           2      9.233870e-01      1.743907e-01      1.700279e-01      3.084994e-03
           2      9.490367e-01      5.759413e-01      5.699064e-01      4.267364e-03
           2      9.746863e-01      1.218014e+00      1.213264e+00      3.358624e-03
           2      1.000336e+00      1.866128e+00      1.860916e+00      3.685416e-03
           2      1.025986e+00      2.337740e+00      2.331601e+00      4.340921e-03
           2      1.051635e+00      2.538773e+00      2.551353e+00      8.895921e-03
           2      1.077285e+00      2.544869e+00      2.553632e+00      6.196090e-03
           2      1.102934e+00      2.396506e+00      2.398294e+00      1.264479e-03
           2      1.128584e+00      2.208625e+00      2.192915e+00      1.110847e-02
           2      1.154234e+00      1.983699e+00      1.968118e+00      1.101704e-02
           2      1.179883e+00      1.771200e+00      1.755614e+00      1.102128e-02
           2      1.205533e+00      1.561925e+00      1.564332e+00      1.701913e-03
           2      1.231183e+00      1.403214e+00      1.396439e+00      4.790729e-03
           2      1.256832e+00      1.254944e+00      1.257494e+00      1.803424e-03
           2      1.282482e+00      1.142561e+00      1.140892e+00      1.180362e-03
           2      1.308132e+00      1.013470e+00      1.038369e+00      1.760658e-02
           2      1.333781e+00      9.279042e-01      9.431812e-01      1.080244e-02
           2      1.359431e+00      8.659496e-01      8.750451e-01      6.431552e-03
           2      1.385081e+00      8.011134e-01      8.131674e-01      8.523467e-03
           2      1.410730e+00      7.579936e-01      7.601819e-01      1.547344e-03
           2      1.436380e+00      7.264590e-01      7.261085e-01      2.478353e-04
           2      1.462029e+00      6.964589e-01      6.961123e-01      2.451265e-04
           2      1.487679e+00      6.885295e-01      6.842952e-01      2.994055e-03
           2      1.513329e+00      6.661048e-01      6.674769e-01      9.702049e-04
           2      1.538978e+00      6.605950e-01      6.611318e-01      3.795766e-04
           2      1.564628e+00      6.511346e-01      6.509037e-01      1.632592e-04
           2      1.590278e+00      6.630764e-01      6.670375e-01      2.800924e-03
           2      1.615927e+00      6.771028e-01      6.855219e-01      5.953215e-03
           2      1.641577e+00      6.834927e-01      6.959624e-01      8.817422e-03
           2      1.667227e+00      7.202204e-01      7.185602e-01      1.173916e-03
