#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.654574e+00      1.654574e+00      0.000000e+00
           2      1.646571e+00      1.650573e+00      2.829639e-03
           3      1.663750e+00      1.654965e+00      4.052171e-03
           4      1.651391e+00      1.654071e+00      3.136096e-03
           5      1.652775e+00      1.653812e+00      2.519577e-03
           6      1.646109e+00      1.652528e+00      2.404627e-03
           7      1.643139e+00      1.651187e+00      2.406322e-03
           8      1.640551e+00      1.649857e+00      2.445381e-03
           9      1.648796e+00      1.649739e+00      2.176513e-03
          10      1.652906e+00      1.650056e+00      1.981762e-03
          11      1.646733e+00      1.649754e+00      1.824485e-03
          12      1.637749e+00      1.648754e+00      1.927286e-03
          13      1.641641e+00      1.648207e+00      1.855062e-03
          14      1.644147e+00      1.647917e+00      1.745078e-03
          15      1.645538e+00      1.647758e+00      1.635927e-03
          16      1.639248e+00      1.647226e+00      1.617836e-03
          17      1.630974e+00      1.646270e+00      1.782905e-03
          18      1.652437e+00      1.646613e+00      1.716457e-03
          19      1.650282e+00      1.646806e+00      1.636946e-03
          20      1.640833e+00      1.646507e+00      1.582108e-03
