#        BLOCK:    ACTUAL_PE:          PE_AVE:           ERROR: 
           1     -5.463137e+00     -5.463137e+00      0.000000e+00
           2     -5.455368e+00     -5.459253e+00      2.746791e-03
           3     -5.473215e+00     -5.463907e+00      4.218169e-03
           4     -5.461071e+00     -5.463198e+00      3.222655e-03
           5     -5.462228e+00     -5.463004e+00      2.583950e-03
           6     -5.456033e+00     -5.461842e+00      2.400346e-03
           7     -5.453315e+00     -5.460624e+00      2.346296e-03
           8     -5.451110e+00     -5.459435e+00      2.335035e-03
           9     -5.459016e+00     -5.459388e+00      2.076049e-03
          10     -5.463284e+00     -5.459778e+00      1.904639e-03
          11     -5.456770e+00     -5.459504e+00      1.751003e-03
          12     -5.447794e+00     -5.458529e+00      1.857200e-03
          13     -5.452373e+00     -5.458055e+00      1.773670e-03
          14     -5.454946e+00     -5.457833e+00      1.660820e-03
          15     -5.455643e+00     -5.457687e+00      1.556501e-03
          16     -5.449552e+00     -5.457179e+00      1.540028e-03
          17     -5.441856e+00     -5.456277e+00      1.692768e-03
          18     -5.463568e+00     -5.456682e+00      1.646475e-03
          19     -5.461494e+00     -5.456936e+00      1.579174e-03
          20     -5.451771e+00     -5.456677e+00      1.521180e-03
