#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      3.803564e-02      3.803564e-02      0.000000e+00
           2      3.429451e-02      3.616507e-02      1.322692e-03
           3      4.274513e-02      3.835843e-02      1.996185e-03
           4      3.670055e-02      3.794396e-02      1.539566e-03
           5      3.723728e-02      3.780262e-02      1.238123e-03
           6      3.417580e-02      3.719815e-02      1.170058e-03
           7      3.238307e-02      3.651028e-02      1.188019e-03
           8      3.089107e-02      3.580788e-02      1.229753e-03
           9      3.541016e-02      3.576369e-02      1.093907e-03
          10      3.743917e-02      3.593124e-02      9.972652e-04
          11      3.450290e-02      3.580139e-02      9.150192e-04
          12      2.978996e-02      3.530044e-02      9.662152e-04
          13      3.159055e-02      3.501506e-02      9.330833e-04
          14      3.305648e-02      3.487516e-02      8.768593e-04
          15      3.398895e-02      3.481608e-02      8.203900e-04
          16      3.071704e-02      3.455989e-02      8.081276e-04
          17      2.650759e-02      3.408623e-02      8.886276e-04
          18      3.681315e-02      3.423772e-02      8.520753e-04
          19      3.606239e-02      3.433376e-02      8.126232e-04
          20      3.153514e-02      3.419383e-02      7.839472e-04
