#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.103050e+00      1.103050e+00      0.000000e+00
           2      1.097714e+00      1.100382e+00      1.886426e-03
           3      1.109166e+00      1.103310e+00      2.701447e-03
           4      1.100927e+00      1.102714e+00      2.090731e-03
           5      1.101850e+00      1.102541e+00      1.679718e-03
           6      1.097406e+00      1.101685e+00      1.603085e-03
           7      1.095426e+00      1.100791e+00      1.604215e-03
           8      1.093701e+00      1.099905e+00      1.630254e-03
           9      1.099197e+00      1.099826e+00      1.451009e-03
          10      1.101937e+00      1.100037e+00      1.321175e-03
          11      1.097822e+00      1.099836e+00      1.216324e-03
          12      1.091833e+00      1.099169e+00      1.284857e-03
          13      1.094428e+00      1.098804e+00      1.236708e-03
          14      1.096098e+00      1.098611e+00      1.163385e-03
          15      1.097025e+00      1.098505e+00      1.090618e-03
          16      1.092832e+00      1.098151e+00      1.078557e-03
          17      1.087316e+00      1.097513e+00      1.188603e-03
          18      1.101625e+00      1.097742e+00      1.144305e-03
          19      1.100188e+00      1.097871e+00      1.091297e-03
          20      1.093888e+00      1.097671e+00      1.054739e-03
